    Log Ratio   Theta 1   Theta 2   Theta 3
0   -6.415938  0.016927  0.141766  0.609032
1   -4.969974  1.106428  1.537410  1.692929
2   -4.024461  0.353349  0.566536  1.057709
3   -3.767821  0.039627  0.348411  0.498117
4   -3.074968  0.369084  1.622759  2.108275
5   -2.697701  0.088850  1.011702  2.336842
6   -2.597984  0.370891  0.875284  1.733723
7   -2.048959  0.252242  0.428962  1.105655
8   -1.880612  0.300132  1.103933  2.072954
9   -1.395206  0.013278  1.057709  1.891729
10  -1.381679  0.514159  0.915780  1.378495
11  -1.177876  0.339930  0.348411  0.757448
12  -1.157369  0.034338  0.110997  0.416702
13  -0.847095  0.015105  0.048955  1.653522
14  -0.748541  0.098581  0.960464  1.892877
15  -0.281093  0.064378  0.163042  1.501214
16   0.027971  0.084489  0.414436  0.907593
17   0.131680  0.077920  0.339930  1.321117
18   0.635094  0.233836  0.451948  0.689319
19   0.692197  0.141897  0.161375  0.558599
20   0.740147  0.505950  0.643501  1.969319
21   0.905824  0.073210  0.525936  0.762147
22   0.954227  0.414436  0.454207  0.509071
23   1.012997  0.027983  0.357359  0.370891
24   1.033020  0.074964  1.484058  2.183058
25   1.132283  0.138395  1.540823  1.791785
26   1.207404  1.449099  1.611639  1.692929
27   1.280324  0.003792  0.320211  0.625610
28   1.510229  0.064378  0.259332  1.231504
29   1.716593  0.053520  0.646758  1.570796
30   1.851995  0.170798  0.214289  0.855595
31   1.876585  0.039627  0.321751  0.878154
32   2.131197  0.090824  0.224757  0.847157
33   2.139904  0.013979  0.518387  0.543082
34   2.427815  0.141897  0.236849  1.040581
35   2.433258  0.086852  0.215818  2.422303
36   2.536957  0.079762  0.583373  1.011794
37   2.643856  0.620249  0.762147  1.405648
38   2.671576  0.109029  0.456295  1.179626
39   2.680560  0.167296  0.463648  0.558599
40   2.778241  0.293768  1.484058  2.042657
41   3.185788  0.597618  0.689319  1.065737
42   3.225062  0.429179  1.733723  2.179828
43   3.247486  0.076772  0.429179  2.179828
44   3.271151  0.256151  1.253432  1.414194
45   3.283512  0.015105  0.321538  0.858949
46   3.303042  0.040843  1.070203  1.892877
47   3.310192  0.097766  0.744804  0.991341
48   3.321808  0.074964  0.458606  1.070203
49   3.435878  0.907627  1.216419  2.422303
50   3.504108  0.370891  0.454207  0.836631
51   3.599493  0.048955  0.364517  1.501214
52   3.608700  0.042798  0.443138  1.651755
53   3.671673  0.013979  0.460205  1.663388
54   3.788220  0.349303  0.463648  1.414194
55   3.836588  0.251582  0.609032  1.678224
56   3.853926  0.161375  0.418224  0.785398
57   3.967033  0.021803  0.192701  1.487452
58   3.975442  0.162302  0.923293  1.527200
59   4.043048  0.580658  0.830959  1.587680
60   4.073765  0.249679  1.527108  1.910509
61   4.250099  0.187842  0.270947  0.440396
62   4.709877  0.352990  0.658949  0.827746
63   4.748785  0.144154  0.430872  0.816638
64   4.830539  0.112286  0.584560  1.011702
65   5.196090  0.271252  0.830959  1.226734
66   5.199575  0.077920  0.462874  1.928105
67   5.439462  0.144154  0.923293  1.156514
68   5.490357  0.053520  0.518387  0.639240
69   5.606500  0.658949  1.106686  1.162307
70   5.653744  0.192701  0.534857  0.735571
71   6.646727  0.440396  0.973240  1.770436
72  50.000000  0.103082  0.416702  0.643501
73  50.247933  0.456295  1.499217  2.414784
74  51.306311  1.216419  1.350140  1.499217
75  51.657357  0.079762  0.349303  1.203101
76        inf  0.040843  0.332739  2.042657
77        inf  0.097766  0.214289  0.850878
78        inf  0.210510  0.875284  1.678224
79        inf  0.256151  0.271252  1.082960
80        inf  0.260777  0.525936  1.206373
81        inf  0.270947  1.630650  1.770436
82        inf  0.358771  0.463648  1.353923
83        inf  0.375122  0.493072  1.253432
84        inf  0.493072  0.669072  0.873775
85        inf  0.509071  0.764253  2.401618
