T1,T2,F1_T,F1,MCC_T,MCC
0.00,0.00,0,0.00,0,0.00
0.00,0.01,0,0.00,0,0.00
0.00,0.02,0,0.00,0,0.00
0.00,0.03,0,0.00,0,0.00
0.00,0.04,0,0.00,0,0.00
0.00,0.05,0,0.00,0,0.00
0.00,0.06,0,0.00,0,0.00
0.00,0.07,0,0.00,0,0.00
0.00,0.08,0,0.00,0,0.00
0.00,0.09,0,0.00,0,0.00
0.00,0.10,0,0.00,0,0.00
0.00,0.11,0,0.00,0,0.00
0.00,0.12,0,0.00,0,0.00
0.00,0.13,0,0.00,0,0.00
0.00,0.14,0,0.00,0,0.00
0.00,0.15,0,0.00,0,0.00
0.00,0.16,0,0.00,0,0.00
0.00,0.17,0,0.00,0,0.00
0.00,0.18,0,0.00,0,0.00
0.00,0.19,0,0.00,0,0.00
0.00,0.20,0,0.00,0,0.00
0.00,0.21,0,0.00,0,0.00
0.00,0.22,0,0.00,0,0.00
0.00,0.23,0,0.00,0,0.00
0.00,0.24,0,0.00,0,0.00
0.00,0.25,0,0.00,0,0.00
0.00,0.26,0,0.00,0,0.00
0.00,0.27,0,0.00,0,0.00
0.00,0.28,0,0.00,0,0.00
0.00,0.29,0,0.00,0,0.00
0.00,0.30,0,0.00,0,0.00
0.00,0.31,0,0.00,0,0.00
0.00,0.32,0,0.00,0,0.00
0.00,0.33,0,0.00,0,0.00
0.00,0.34,0,0.00,0,0.00
0.00,0.35,0,0.00,0,0.00
0.00,0.36,0,0.00,0,0.00
0.00,0.37,0,0.00,0,0.00
0.00,0.38,0,0.00,0,0.00
0.00,0.39,0,0.00,0,0.00
0.00,0.40,0,0.00,0,0.00
0.00,0.41,0,0.00,0,0.00
0.00,0.42,0,0.00,0,0.00
0.00,0.43,0,0.00,0,0.00
0.00,0.44,0,0.00,0,0.00
0.00,0.45,0,0.00,0,0.00
0.00,0.46,0,0.00,0,0.00
0.00,0.47,0,0.00,0,0.00
0.00,0.48,0,0.00,0,0.00
0.00,0.49,0,0.00,0,0.00
0.00,0.50,0,0.00,0,0.00
0.00,0.51,0,0.00,0,0.00
0.00,0.52,0,0.00,0,0.00
0.00,0.53,0,0.00,0,0.00
0.00,0.54,0,0.00,0,0.00
0.00,0.55,0,0.00,0,0.00
0.00,0.56,0,0.00,0,0.00
0.00,0.57,0,0.00,0,0.00
0.00,0.58,0,0.00,0,0.00
0.00,0.59,0,0.00,0,0.00
0.00,0.60,0,0.00,0,0.00
0.00,0.61,0,0.00,0,0.00
0.00,0.62,0,0.00,0,0.00
0.00,0.63,0,0.00,0,0.00
0.00,0.64,0,0.00,0,0.00
0.00,0.65,0,0.00,0,0.00
0.00,0.66,0,0.00,0,0.00
0.00,0.67,0,0.00,0,0.00
0.00,0.68,0,0.00,0,0.00
0.00,0.69,0,0.00,0,0.00
0.00,0.70,0,0.00,0,0.00
0.00,0.71,0,0.00,0,0.00
0.00,0.72,0,0.00,0,0.00
0.00,0.73,0,0.00,0,0.00
0.00,0.74,0,0.00,0,0.00
0.00,0.75,0,0.00,0,0.00
0.00,0.76,0,0.00,0,0.00
0.00,0.77,0,0.00,0,0.00
0.00,0.78,0,0.00,0,0.00
0.00,0.79,0,0.00,0,0.00
0.00,0.80,0,0.00,0,0.00
0.00,0.81,0,0.00,0,0.00
0.00,0.82,0,0.00,0,0.00
0.00,0.83,0,0.00,0,0.00
0.00,0.84,0,0.00,0,0.00
0.00,0.85,0,0.00,0,0.00
0.00,0.86,0,0.00,0,0.00
0.00,0.87,0,0.00,0,0.00
0.00,0.88,0,0.00,0,0.00
0.00,0.89,0,0.00,0,0.00
0.00,0.90,0,0.00,0,0.00
0.00,0.91,0,0.00,0,0.00
0.00,0.92,0,0.00,0,0.00
0.00,0.93,0,0.00,0,0.00
0.00,0.94,0,0.00,0,0.00
0.00,0.95,0,0.00,0,0.00
0.00,0.96,0,0.00,0,0.00
0.00,0.97,0,0.00,0,0.00
0.00,0.98,0,0.00,0,0.00
0.00,0.99,0,0.00,0,0.00
0.01,0.00,0,0.00,0,0.00
0.01,0.01,0,3.32,0,4.30
0.01,0.02,0,5.19,0,6.56
0.01,0.03,0,8.67,0,9.79
0.01,0.04,0,12.43,0,13.16
0.01,0.05,0,16.44,0,15.47
0.01,0.06,0,19.85,0,16.76
0.01,0.07,0,21.30,0,16.93
0.01,0.08,0,20.26,0,14.60
0.01,0.09,0,21.09,0,14.28
0.01,0.10,0,22.46,0,14.77
0.01,0.11,0,22.37,0,14.12
0.01,0.12,0,23.30,0,14.68
