T1,T2,FAR_T,FAR,FRR_T,FRR,EER
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.06,0,0.00,0,100.00,50.00
0.00,0.06,0,0.00,0,100.00,50.00
0.00,0.06,0,0.00,0,100.00,50.00
0.00,0.06,0,0.00,0,100.00,50.00
0.00,0.06,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.07,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.08,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.09,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.11,0,0.00,0,100.00,50.00
0.00,0.11,0,0.00,0,100.00,50.00
0.00,0.11,0,0.00,0,100.00,50.00
0.00,0.11,0,0.00,0,100.00,50.00
0.00,0.11,0,0.00,0,100.00,50.00
