T1,T2,T3,FAR,FRR,EER
0.100,0.020,0,11.18,39.78,25.48
0.100,0.120,43,10.42,40.22,25.32
0.100,0.220,102,15.71,40.22,27.97
0.100,0.320,175,17.04,46.89,31.97
0.100,0.420,214,29.91,37.78,33.84
0.100,0.520,307,14.07,56.67,35.37
0.100,0.620,349,15.42,56.67,36.04
0.100,0.720,409,9.18,64.44,36.81
0.100,0.820,400,20.22,53.56,36.89
0.100,0.920,412,24.47,51.56,38.01
0.100,1.020,445,19.47,57.33,38.40
0.100,1.120,500,9.31,67.56,38.43
0.100,1.220,509,10.09,66.00,38.04
0.100,1.320,502,14.71,60.67,37.69
0.100,1.420,503,17.47,58.00,37.73
0.200,0.020,0,17.13,33.11,25.12
0.200,0.120,64,11.93,34.89,23.41
0.200,0.220,154,17.02,35.56,26.29
0.200,0.320,263,14.84,46.89,30.87
0.200,0.420,333,19.69,45.33,32.51
0.200,0.520,422,12.58,53.78,33.18
0.200,0.620,457,16.71,50.00,33.36
0.200,0.720,495,16.93,50.22,33.58
0.200,0.820,518,19.04,48.22,33.63
0.200,0.920,527,24.89,44.00,34.44
0.200,1.020,528,32.62,35.78,34.20
0.200,1.120,526,40.84,29.33,35.09
0.200,1.220,535,43.16,26.67,34.91
0.200,1.320,556,39.60,28.89,34.24
0.200,1.420,611,20.33,48.89,34.61
0.300,0.020,0,21.87,30.00,25.93
0.300,0.120,84,11.64,34.67,23.16
0.300,0.220,191,19.27,31.33,25.30
0.300,0.320,302,20.49,38.44,29.47
0.300,0.420,400,17.71,43.78,30.74
0.300,0.520,432,30.44,32.22,31.33
0.300,0.620,507,20.98,41.78,31.38
0.300,0.720,537,24.11,36.67,30.39
0.300,0.820,578,19.71,41.56,30.63
0.300,0.920,570,32.93,28.89,30.91
0.300,1.020,613,22.29,38.67,30.48
0.300,1.120,595,37.00,26.22,31.61
0.300,1.220,628,27.87,32.67,30.27
0.300,1.320,642,27.11,33.78,30.44
0.300,1.420,634,35.02,26.44,30.73
0.400,0.020,15,16.98,34.67,25.82
0.400,0.120,106,8.93,35.78,22.36
0.400,0.220,224,18.91,32.89,25.90
0.400,0.320,351,18.18,40.00,29.09
0.400,0.420,459,13.22,47.11,30.17
0.400,0.520,487,25.40,33.33,29.37
0.400,0.620,553,19.53,38.67,29.10
0.400,0.720,592,18.56,38.44,28.50
0.400,0.820,617,19.49,36.44,27.97
0.400,0.920,642,18.80,37.33,28.07
0.400,1.020,666,17.36,38.22,27.79
0.400,1.120,667,21.80,34.89,28.34
0.400,1.220,668,26.13,30.00,28.07
0.400,1.320,697,19.16,36.89,28.02
0.400,1.420,714,17.42,38.22,27.82
0.500,0.020,15,18.16,32.89,25.52
0.500,0.120,113,11.93,32.22,22.08
0.500,0.220,254,17.56,32.89,25.22
0.500,0.320,368,23.47,33.33,28.40
0.500,0.420,473,19.07,39.56,29.31
0.500,0.520,526,23.07,34.22,28.64
0.500,0.620,591,16.78,39.33,28.06
0.500,0.720,606,24.76,31.56,28.16
0.500,0.820,624,28.58,26.44,27.51
0.500,0.920,676,17.58,37.78,27.68
0.500,1.020,684,20.38,34.00,27.19
0.500,1.120,678,27.84,27.56,27.70
0.500,1.220,689,28.33,24.89,26.61
0.500,1.320,706,25.53,25.78,25.66
0.500,1.420,706,29.20,22.89,26.04
0.600,0.020,18,15.13,35.11,25.12
0.600,0.120,125,12.22,31.11,21.67
0.600,0.220,271,20.51,29.56,25.03
0.600,0.320,403,21.00,34.44,27.72
0.600,0.420,487,22.58,33.11,27.84
0.600,0.520,557,20.89,33.78,27.33
0.600,0.620,606,20.18,33.33,26.76
0.600,0.720,625,26.22,25.33,25.78
0.600,0.820,654,25.13,25.33,25.23
0.600,0.920,705,15.24,35.78,25.51
0.600,1.020,717,16.00,34.22,25.11
0.600,1.120,726,17.60,32.89,25.24
0.600,1.220,706,28.47,20.67,24.57
0.600,1.320,731,22.82,26.44,24.63
0.600,1.420,748,20.27,28.89,24.58
0.700,0.020,19,15.20,34.00,24.60
0.700,0.120,139,11.40,32.44,21.92
0.700,0.220,287,22.47,27.56,25.01
0.700,0.320,453,13.64,41.11,27.38
0.700,0.420,507,22.67,31.78,27.22
0.700,0.520,576,21.00,32.00,26.50
0.700,0.620,625,19.49,30.00,24.74
0.700,0.720,654,21.47,28.22,24.84
0.700,0.820,687,19.07,30.22,24.64
0.700,0.920,676,30.96,18.00,24.48
0.700,1.020,717,21.00,27.78,24.39
0.700,1.120,718,25.62,23.11,24.37
0.700,1.220,736,22.91,24.22,23.57
0.700,1.320,732,27.96,18.89,23.42
0.700,1.420,738,28.71,18.22,23.47
0.800,0.020,19,16.42,32.89,24.66
0.800,0.120,151,11.33,31.56,21.44
0.800,0.220,335,12.82,37.33,25.08
0.800,0.320,470,13.91,39.33,26.62
0.800,0.420,543,16.82,35.11,25.97
0.800,0.520,600,18.56,31.33,24.94
0.800,0.620,633,21.80,24.44,23.12
0.800,0.720,682,16.58,30.44,23.51
0.800,0.820,678,27.11,19.11,23.11
0.800,0.920,707,23.96,22.44,23.20
0.800,1.020,742,16.96,28.22,22.59
0.800,1.120,740,21.56,24.89,23.22
0.800,1.220,741,24.91,19.56,22.23
0.800,1.320,741,28.04,15.11,21.58
0.800,1.420,776,18.33,25.78,22.06
0.900,0.020,27,12.49,36.44,24.47
0.900,0.120,152,14.98,29.11,22.04
0.900,0.220,346,14.64,35.56,25.10
0.900,0.320,469,18.96,32.89,25.92
0.900,0.420,556,18.07,33.33,25.70
0.900,0.520,633,13.78,36.00,24.89
0.900,0.620,646,21.33,24.00,22.67
0.900,0.720,689,18.47,26.44,22.46
