T1,T2,T3,FAR,FRR,EER
0.100,0.020,7,10.87,40.00,25.43
0.100,0.120,35,9.27,41.56,25.41
0.100,0.220,75,17.76,37.33,27.54
0.100,0.320,126,20.98,41.56,31.27
0.100,0.420,185,14.84,52.00,33.42
0.100,0.520,209,20.80,47.56,34.18
0.100,0.620,261,10.60,60.22,35.41
0.100,0.720,255,19.13,52.00,35.57
0.100,0.820,258,22.42,48.67,35.54
0.100,0.920,246,31.93,39.33,35.63
0.100,1.020,251,28.29,42.67,35.48
0.100,1.120,243,30.91,39.56,35.23
0.100,1.220,235,32.04,38.44,35.24
0.100,1.320,225,32.31,36.67,34.49
0.100,1.420,216,30.49,36.89,33.69
0.200,0.020,0,17.13,33.11,25.12
0.200,0.120,54,8.62,38.44,23.53
0.200,0.220,120,16.00,36.22,26.11
0.200,0.320,206,12.73,47.78,30.26
0.200,0.420,246,20.87,43.11,31.99
0.200,0.520,308,13.38,52.22,32.80
0.200,0.620,310,23.62,42.00,32.81
0.200,0.720,345,15.62,48.67,32.14
0.200,0.820,327,27.36,37.11,32.23
0.200,0.920,327,28.47,35.33,31.90
0.200,1.020,323,28.73,34.00,31.37
0.200,1.120,310,31.78,31.78,31.78
0.200,1.220,308,26.84,35.56,31.20
0.200,1.320,300,23.71,37.56,30.63
0.200,1.420,254,40.89,19.78,30.33
0.300,0.020,8,19.38,32.00,25.69
0.300,0.120,65,11.31,32.89,22.10
0.300,0.220,159,12.80,37.11,24.96
0.300,0.320,228,22.18,35.11,28.64
0.300,0.420,294,20.53,39.78,30.16
0.300,0.520,347,16.58,44.00,30.29
0.300,0.620,348,27.42,32.00,29.71
0.300,0.720,385,17.73,41.56,29.64
0.300,0.820,378,24.24,35.33,29.79
0.300,0.920,372,26.60,32.00,29.30
0.300,1.020,381,20.16,37.78,28.97
0.300,1.120,343,33.98,23.11,28.54
0.300,1.220,315,40.89,16.44,28.67
0.300,1.320,306,37.56,18.67,28.11
0.300,1.420,287,37.56,16.89,27.22
0.400,0.020,13,14.31,36.89,25.60
0.400,0.120,81,9.22,34.00,21.61
0.400,0.220,174,18.31,31.33,24.82
0.400,0.320,256,24.11,32.89,28.50
0.400,0.420,328,19.91,38.89,29.40
0.400,0.520,356,26.22,30.89,28.56
0.400,0.620,396,20.71,36.00,28.36
0.400,0.720,400,24.73,30.22,27.48
0.400,0.820,412,21.80,33.78,27.79
0.400,0.920,405,24.31,29.56,26.93
0.400,1.020,408,19.87,34.44,27.16
0.400,1.120,393,22.09,33.11,27.60
0.400,1.220,348,35.53,18.22,26.88
0.400,1.320,335,33.60,20.67,27.13
0.400,1.420,324,28.64,25.33,26.99
0.500,0.020,14,14.56,35.78,25.17
0.500,0.120,92,9.44,32.89,21.17
0.500,0.220,207,13.71,36.00,24.86
0.500,0.320,285,22.07,32.22,27.14
0.500,0.420,356,19.47,36.44,27.96
0.500,0.520,382,26.24,29.11,27.68
0.500,0.620,410,24.56,30.67,27.61
0.500,0.720,430,21.49,30.89,26.19
0.500,0.820,406,33.84,20.00,26.92
0.500,0.920,429,22.69,30.22,26.46
0.500,1.020,419,23.80,28.89,26.34
0.500,1.120,402,25.82,28.00,26.91
0.500,1.220,371,32.04,20.67,26.36
0.500,1.320,337,38.04,14.00,26.02
0.500,1.420,315,37.62,13.78,25.70
0.600,0.020,15,14.87,34.44,24.66
0.600,0.120,99,11.38,30.22,20.80
0.600,0.220,228,12.91,34.89,23.90
0.600,0.320,301,24.22,28.67,26.44
0.600,0.420,365,24.18,30.44,27.31
0.600,0.520,419,19.40,33.78,26.59
0.600,0.620,443,18.91,33.78,26.34
0.600,0.720,464,15.64,36.67,26.16
0.600,0.820,437,27.64,24.00,25.82
0.600,0.920,439,25.36,24.00,24.68
0.600,1.020,425,27.42,22.67,25.04
0.600,1.120,421,23.49,26.67,25.08
0.600,1.220,386,30.58,19.33,24.96
0.600,1.320,354,35.13,13.78,24.46
0.600,1.420,328,35.96,14.44,25.20
0.700,0.020,15,15.91,33.11,24.51
0.700,0.120,106,12.44,29.33,20.89
0.700,0.220,228,19.56,28.44,24.00
0.700,0.320,329,20.49,32.00,26.24
0.700,0.420,386,22.04,30.00,26.02
0.700,0.520,417,26.42,25.78,26.10
0.700,0.620,465,16.82,33.11,24.97
0.700,0.720,466,20.09,29.11,24.60
0.700,0.820,454,26.00,23.33,24.67
0.700,0.920,444,28.40,20.00,24.20
0.700,1.020,448,22.78,25.56,24.17
0.700,1.120,437,21.87,26.67,24.27
0.700,1.220,406,27.18,20.89,24.03
0.700,1.320,385,27.71,20.22,23.97
0.700,1.420,348,32.64,15.33,23.99
0.800,0.020,17,14.73,33.78,24.26
0.800,0.120,120,10.24,31.56,20.90
0.800,0.220,259,13.76,34.67,24.21
0.800,0.320,355,16.80,34.89,25.84
0.800,0.420,390,27.11,24.22,25.67
0.800,0.520,421,31.00,18.67,24.83
0.800,0.620,482,15.36,33.78,24.57
0.800,0.720,470,23.42,24.44,23.93
0.800,0.820,472,23.33,23.78,23.56
0.800,0.920,474,21.07,25.78,23.42
0.800,1.020,463,21.36,25.56,23.46
0.800,1.120,430,28.24,17.78,23.01
0.800,1.220,430,22.13,23.33,22.73
0.800,1.320,412,20.98,25.78,23.38
0.800,1.420,370,27.76,19.56,23.66
0.900,0.020,17,15.44,32.44,23.94
0.900,0.120,126,11.09,31.11,21.10
0.900,0.220,270,14.71,33.56,24.13
0.900,0.320,358,20.47,29.56,25.01
0.900,0.420,400,28.29,22.67,25.48
0.900,0.520,438,29.20,20.67,24.93
0.900,0.620,493,15.80,32.67,24.23
0.900,0.720,481,23.69,23.56,23.62
0.900,0.820,476,25.93,20.67,23.30
0.900,0.920,488,19.47,25.78,22.62
0.900,1.020,478,19.22,26.22,22.72
0.900,1.120,452,23.24,22.22,22.73
0.900,1.220,439,22.02,22.67,22.34
0.900,1.320,410,24.98,20.89,22.93
0.900,1.420,390,23.53,23.33,23.43
1.000,0.020,18,15.49,32.67,24.08
1.000,0.120,131,12.04,29.56,20.80
1.000,0.220,261,22.51,26.22,24.37
1.000,0.320,392,13.64,35.11,24.38
1.000,0.420,442,17.64,32.67,25.16
1.000,0.520,472,19.67,29.33,24.50
1.000,0.620,465,30.29,17.56,23.92
1.000,0.720,495,22.18,24.44,23.31
1.000,0.820,490,24.58,21.33,22.96
1.000,0.920,489,22.67,22.89,22.78
1.000,1.020,470,25.58,19.11,22.34
1.000,1.120,467,21.00,24.00,22.50
1.000,1.220,453,19.29,25.11,22.20
1.000,1.320,433,19.09,25.78,22.43
1.000,1.420,393,25.27,19.33,22.30
1.100,0.020,17,17.04,31.33,24.19
1.100,0.120,139,12.00,29.56,20.78
1.100,0.220,302,12.09,35.11,23.60
1.100,0.320,366,25.96,22.89,24.42
1.100,0.420,442,20.84,28.44,24.64
1.100,0.520,485,18.47,29.33,23.90
1.100,0.620,497,21.80,24.89,23.34
1.100,0.720,502,22.91,22.22,22.57
1.100,0.820,497,25.22,19.56,22.39
1.100,0.920,497,22.69,22.00,22.34
1.100,1.020,487,21.96,21.11,21.53
1.100,1.120,477,19.89,22.89,21.39
1.100,1.220,462,18.56,23.78,21.17
1.100,1.320,448,15.91,28.00,21.96
1.100,1.420,409,21.69,21.33,21.51
1.200,0.020,22,13.93,34.89,24.41
1.200,0.120,146,12.22,30.00,21.11
1.200,0.220,304,15.47,32.67,24.07
1.200,0.320,407,15.89,32.89,24.39
1.200,0.420,458,19.18,29.11,24.14
1.200,0.520,485,22.56,24.00,23.28
1.200,0.620,499,24.07,21.11,22.59
1.200,0.720,524,18.20,26.89,22.54
1.200,0.820,507,24.04,20.22,22.13
1.200,0.920,509,21.00,23.33,22.17
1.200,1.020,494,22.16,20.22,21.19
1.200,1.120,480,21.22,19.78,20.50
1.200,1.220,468,18.91,22.89,20.90
1.200,1.320,443,20.51,22.67,21.59
1.200,1.420,415,21.87,21.78,21.82
1.300,0.020,19,16.96,31.56,24.26
1.300,0.120,158,10.33,32.22,21.28
1.300,0.220,331,9.82,38.00,23.91
1.300,0.320,383,26.89,22.22,24.56
1.300,0.420,466,19.76,28.22,23.99
1.300,0.520,499,20.18,25.33,22.76
1.300,0.620,508,23.67,20.67,22.17
1.300,0.720,509,26.29,17.78,22.03
1.300,0.820,511,25.44,18.22,21.83
1.300,0.920,506,24.91,18.44,21.68
1.300,1.020,498,23.49,18.44,20.97
1.300,1.120,487,21.20,19.11,20.16
1.300,1.220,471,20.22,21.33,20.78
1.300,1.320,458,16.96,25.33,21.14
1.300,1.420,417,23.16,19.11,21.13
