T1,T2,F1_T,F1,MCC_T,MCC
0.80,0.090,13,35.04,16,28.61
0.80,0.091,12,35.03,16,28.60
0.80,0.092,13,35.04,16,28.24
0.80,0.093,12,35.43,12,28.59
0.80,0.094,12,35.40,12,28.65
0.80,0.095,12,34.68,12,27.90
0.80,0.096,12,34.12,17,28.45
0.80,0.097,13,34.17,18,28.10
0.80,0.098,16,33.89,18,28.47
0.80,0.099,13,34.43,18,28.16
0.80,0.100,16,34.38,18,29.16
0.80,0.080,12,36.11,13,31.33
0.80,0.081,10,36.42,13,30.77
0.80,0.082,10,36.47,13,30.65
0.80,0.083,12,36.56,13,31.25
0.80,0.084,12,37.32,12,31.14
0.80,0.085,12,36.86,12,30.46
0.80,0.086,12,37.04,12,30.59
0.80,0.087,12,36.78,12,30.21
0.80,0.088,12,35.87,12,29.09
0.80,0.089,12,35.83,12,28.97
0.81,0.080,10,36.19,13,31.19
0.81,0.081,10,36.34,13,30.53
0.81,0.082,12,36.40,12,30.60
0.81,0.083,12,36.79,13,30.93
0.81,0.084,12,37.48,12,31.28
0.81,0.085,12,37.01,12,30.60
0.81,0.086,12,37.25,12,30.81
0.81,0.087,12,37.25,12,30.72
0.81,0.088,12,36.33,16,29.74
0.81,0.099,16,35.21,16,28.82
0.81,0.100,16,35.27,18,29.31
0.81,0.089,12,36.06,16,30.04
0.81,0.090,12,34.99,16,29.74
0.81,0.091,12,35.01,16,29.33
0.81,0.092,13,34.82,16,28.61
0.81,0.093,12,35.54,12,28.74
0.81,0.094,12,35.29,12,28.56
0.81,0.095,12,34.82,18,28.61
0.81,0.096,12,34.31,18,29.31
0.81,0.097,13,34.33,18,28.98
0.81,0.098,16,34.55,18,28.97
0.82,0.088,12,36.84,16,30.32
0.82,0.089,12,36.61,16,30.12
0.82,0.090,12,35.53,16,29.84
0.82,0.091,12,35.54,16,29.45
0.82,0.092,13,35.31,16,28.86
0.82,0.093,12,35.90,12,29.20
0.82,0.094,12,35.60,12,28.97
0.82,0.095,12,35.13,12,28.54
0.82,0.096,12,34.42,18,29.39
0.82,0.097,12,34.30,18,28.97
0.82,0.080,12,37.35,13,32.24
0.82,0.081,12,37.08,12,31.33
0.82,0.082,12,37.73,12,31.86
0.82,0.083,12,37.72,13,31.95
0.82,0.084,12,38.08,12,31.83
0.82,0.085,12,37.67,12,31.25
0.82,0.086,12,37.70,12,31.23
0.82,0.087,12,37.70,12,31.15
0.82,0.098,16,34.05,18,28.97
0.82,0.099,16,34.84,18,28.38
0.82,0.100,16,34.74,18,29.47
0.83,0.087,12,37.34,12,30.73
0.83,0.088,12,36.56,16,30.18
0.83,0.089,12,36.34,16,29.99
0.83,0.090,13,35.58,16,29.71
0.83,0.091,13,35.55,16,29.57
0.83,0.092,13,35.60,16,28.99
0.83,0.093,12,35.44,12,28.70
0.83,0.094,12,35.25,12,28.59
0.83,0.095,13,34.85,12,28.17
0.83,0.096,13,34.38,18,28.73
0.83,0.080,12,37.52,12,32.13
0.83,0.081,12,37.24,12,31.46
0.83,0.082,12,37.89,12,31.99
0.83,0.083,12,37.59,13,32.07
0.83,0.084,12,37.95,12,31.67
0.83,0.085,12,37.48,12,31.02
0.83,0.086,12,37.40,12,30.86
0.83,0.097,13,34.35,17,28.51
0.83,0.098,16,33.81,18,28.50
0.83,0.099,16,34.54,16,27.97
0.83,0.100,16,34.45,18,28.96
0.84,0.086,12,37.10,12,30.50
0.84,0.087,12,37.05,12,30.38
0.84,0.088,12,36.28,16,30.15
0.84,0.089,12,36.31,16,29.97
0.84,0.090,13,35.35,16,30.06
0.84,0.091,13,35.33,16,29.82
0.84,0.092,13,35.52,16,29.25
0.84,0.093,12,35.47,12,28.75
0.84,0.094,12,35.28,12,28.65
0.84,0.095,13,34.75,12,28.15
0.84,0.096,12,34.06,18,29.09
0.84,0.097,13,33.96,18,28.98
0.84,0.098,16,33.74,18,29.12
0.84,0.099,16,34.41,18,27.94
0.84,0.100,16,34.32,18,28.61
0.84,0.080,12,37.62,12,32.16
0.84,0.081,12,37.34,12,31.50
0.84,0.082,12,38.20,12,32.25
0.84,0.083,12,37.89,13,32.09
0.84,0.084,12,37.63,13,31.58
0.84,0.085,12,37.11,12,30.57
0.85,0.080,12,37.19,13,31.93
0.85,0.081,10,37.08,12,31.06
0.85,0.082,12,37.92,12,31.90
0.85,0.083,12,37.76,13,31.68
0.85,0.084,12,37.50,13,31.29
0.85,0.085,12,36.99,12,30.43
0.85,0.086,12,37.24,12,30.65
0.85,0.087,12,37.38,12,30.74
0.85,0.088,12,36.56,16,30.49
0.85,0.089,12,36.57,12,29.78
0.85,0.090,12,35.47,16,29.69
0.85,0.091,13,35.31,16,29.38
0.85,0.092,13,35.69,16,28.97
0.85,0.093,12,35.82,12,29.21
0.85,0.094,12,35.69,12,29.21
0.85,0.095,12,35.06,12,28.63
0.85,0.096,13,34.31,18,29.21
0.85,0.097,13,34.24,18,28.88
0.85,0.098,13,33.85,18,28.45
0.85,0.099,16,33.78,18,27.45
0.85,0.100,16,34.04,18,28.03
0.86,0.094,12,35.61,12,29.20
0.86,0.095,12,35.15,12,28.83
0.86,0.096,13,34.60,18,29.21
0.86,0.097,13,34.43,18,28.88
0.86,0.098,13,34.04,18,28.35
0.86,0.099,13,34.17,13,27.58
0.86,0.100,16,34.03,18,27.76
0.86,0.084,12,37.58,13,31.33
0.86,0.085,12,37.22,12,30.64
0.86,0.086,12,37.14,12,30.51
0.86,0.087,12,37.29,12,30.62
0.86,0.088,12,36.53,16,30.22
0.86,0.089,12,36.49,12,29.69
0.86,0.090,12,35.36,16,29.46
0.86,0.091,13,35.44,16,29.16
0.86,0.092,13,35.81,13,28.90
0.86,0.093,12,35.58,12,28.98
0.86,0.080,12,37.29,13,32.16
0.86,0.081,12,36.79,12,30.79
0.86,0.082,12,37.72,12,31.64
0.86,0.083,12,37.50,13,31.38
0.87,0.080,12,37.92,13,32.49
0.87,0.081,12,37.41,12,31.37
0.87,0.082,12,38.25,12,32.13
0.87,0.083,12,38.01,12,31.75
0.87,0.084,12,38.02,12,31.60
0.87,0.085,12,37.70,12,31.15
0.87,0.086,12,37.62,12,31.02
0.87,0.087,12,37.58,12,30.93
0.87,0.088,12,36.82,12,30.06
0.87,0.089,12,36.26,12,29.43
0.87,0.090,12,35.15,16,28.99
0.87,0.091,13,35.31,16,28.62
0.87,0.092,13,35.45,15,29.11
0.87,0.093,12,35.37,12,28.74
0.87,0.094,12,35.20,12,28.74
0.87,0.095,12,34.71,12,28.35
0.87,0.096,13,34.16,18,28.37
0.87,0.097,13,34.02,18,28.21
0.87,0.098,16,33.73,18,27.51
0.87,0.099,16,34.31,16,27.45
0.87,0.100,17,34.38,17,27.81
0.88,0.080,12,38.08,12,32.31
0.88,0.081,12,37.57,12,31.51
0.88,0.092,13,35.46,15,28.86
0.88,0.093,12,35.22,12,28.61
0.88,0.094,12,35.10,12,28.67
0.88,0.095,12,34.63,12,28.30
0.88,0.096,13,34.03,18,28.62
0.88,0.097,13,33.93,18,28.35
0.88,0.098,13,33.72,18,27.65
0.88,0.099,16,33.98,13,27.18
0.88,0.100,17,34.42,17,27.82
0.88,0.082,12,38.61,12,32.48
0.88,0.083,12,38.31,12,32.02
0.88,0.084,12,38.30,12,31.88
0.88,0.085,12,38.10,12,31.58
0.88,0.086,12,38.01,12,31.44
0.88,0.087,12,37.59,12,30.94
0.88,0.088,12,36.84,12,30.08
0.88,0.089,12,36.29,12,29.46
0.88,0.090,12,35.14,16,28.76
0.88,0.091,13,35.14,15,28.67
0.89,0.080,12,38.76,12,32.97
0.89,0.091,15,35.40,15,29.28
0.89,0.092,13,35.57,15,28.68
0.89,0.093,13,35.58,13,28.70
0.89,0.094,13,35.01,12,28.19
0.89,0.095,13,34.61,12,27.84
0.89,0.096,13,34.14,18,28.90
0.89,0.097,17,34.20,18,28.31
0.89,0.098,16,34.11,18,27.64
0.89,0.099,16,34.50,16,27.58
0.89,0.100,17,34.58,17,27.90
0.89,0.081,12,38.10,12,32.00
0.89,0.082,12,39.18,12,33.04
0.89,0.083,12,38.73,12,32.43
0.89,0.084,12,38.71,12,32.30
0.89,0.085,12,38.56,12,32.07
0.89,0.086,12,38.28,12,31.73
0.89,0.087,12,37.87,12,31.25
0.89,0.088,12,37.02,12,30.29
0.89,0.089,12,36.19,12,29.37
0.89,0.090,15,35.09,15,29.23
0.90,0.080,12,38.77,12,32.91
0.90,0.081,12,38.33,12,32.18
0.90,0.082,12,39.12,12,32.93
0.90,0.083,12,38.41,12,32.04
0.90,0.084,12,38.22,12,31.72
0.90,0.085,12,38.14,12,31.59
0.90,0.086,12,37.82,12,31.20
0.90,0.087,12,37.48,12,30.81
0.90,0.088,12,36.70,12,29.93
0.90,0.089,12,36.16,12,29.36
0.90,0.090,12,35.12,15,29.11
0.90,0.091,15,35.32,15,29.09
0.90,0.092,13,35.28,15,28.43
0.90,0.093,12,35.25,12,28.77
0.90,0.094,12,34.99,12,28.65
0.90,0.095,13,34.56,12,28.30
0.90,0.096,13,34.09,18,28.92
0.90,0.097,17,34.19,18,28.44
0.90,0.098,16,33.83,18,27.45
0.90,0.099,16,34.18,13,27.36
0.90,0.100,17,34.51,17,27.77
0.91,0.089,12,36.41,12,29.66
0.91,0.090,14,35.82,15,29.39
0.91,0.091,14,35.89,15,29.38
0.91,0.092,13,35.81,15,29.12
0.91,0.093,15,35.75,15,29.18
0.91,0.094,15,35.39,12,28.64
0.91,0.095,15,35.14,12,28.33
0.91,0.096,17,34.22,18,28.48
0.91,0.097,17,34.43,17,28.25
0.91,0.098,16,33.93,17,27.43
0.91,0.080,12,38.99,12,33.13
0.91,0.081,12,38.61,12,32.48
0.91,0.082,12,39.39,12,33.23
0.91,0.083,12,39.08,12,32.76
0.91,0.084,12,38.67,12,32.21
0.91,0.085,12,38.21,12,31.66
0.91,0.086,12,37.78,12,31.15
0.91,0.087,12,37.45,12,30.77
0.91,0.088,12,36.67,12,29.91
0.91,0.099,16,34.54,16,27.57
0.91,0.100,17,34.39,17,27.62
0.92,0.080,12,38.65,12,32.64
0.92,0.081,12,38.01,12,31.75
0.92,0.082,12,38.60,12,32.28
0.92,0.083,12,38.33,13,31.94
0.92,0.084,12,37.95,13,31.55
0.92,0.085,12,37.63,12,30.99
0.92,0.086,12,37.35,12,30.66
0.92,0.087,13,37.12,13,30.51
0.92,0.088,13,36.31,16,29.83
0.92,0.089,14,36.33,14,29.64
0.92,0.090,14,36.08,14,29.28
0.92,0.091,14,36.20,14,29.37
0.92,0.092,13,35.97,13,29.17
0.92,0.093,13,36.04,13,29.35
0.92,0.094,13,35.64,13,29.02
0.92,0.095,15,35.11,13,28.44
0.92,0.096,15,34.40,18,27.75
0.92,0.097,15,34.45,13,27.88
0.92,0.098,13,33.99,13,27.59
0.92,0.099,16,34.37,13,27.65
0.92,0.100,17,34.11,17,27.27
0.93,0.087,12,37.08,12,30.38
0.93,0.088,13,36.42,13,29.62
0.93,0.089,14,36.57,14,29.87
0.93,0.090,14,36.36,14,29.58
0.93,0.091,14,36.47,14,29.67
0.93,0.092,14,36.13,14,29.27
0.93,0.093,13,36.09,13,29.45
0.93,0.094,14,35.87,13,29.13
0.93,0.095,15,35.09,13,28.53
0.93,0.096,13,34.44,18,27.89
0.93,0.080,12,38.95,12,32.90
0.93,0.081,12,38.31,12,32.02
0.93,0.082,12,38.94,12,32.62
0.93,0.083,12,38.66,12,32.22
0.93,0.084,12,38.15,12,31.59
0.93,0.085,12,37.72,12,31.09
0.93,0.086,12,37.45,12,30.77
0.93,0.097,15,34.54,13,28.02
0.93,0.098,13,34.09,13,27.78
0.93,0.099,16,34.30,24,27.78
0.93,0.100,17,34.31,17,27.45
0.94,0.080,12,38.88,12,32.82
0.94,0.081,12,38.51,12,32.24
0.94,0.082,12,38.88,12,32.55
0.94,0.083,12,38.47,12,32.00
0.94,0.084,12,38.04,13,31.75
0.94,0.085,12,37.56,12,30.90
0.94,0.086,12,37.28,12,30.59
0.94,0.087,13,37.36,13,30.73
0.94,0.088,13,36.75,13,29.98
0.94,0.089,14,36.71,14,30.02
0.94,0.090,14,36.47,14,29.68
0.94,0.091,14,36.34,15,29.57
0.94,0.092,14,36.05,13,29.31
0.94,0.093,13,36.18,13,29.61
0.94,0.094,13,35.88,13,29.39
0.94,0.095,13,35.28,13,28.83
0.94,0.096,13,34.58,13,28.11
0.94,0.097,13,34.36,13,28.01
0.94,0.098,13,34.22,13,28.01
0.94,0.099,16,34.25,13,27.46
0.94,0.100,17,34.15,17,27.24
0.95,0.080,12,38.89,12,32.78
0.95,0.081,12,38.26,12,31.92
0.95,0.082,12,38.56,12,32.17
0.95,0.083,12,38.17,13,31.91
0.95,0.084,13,38.10,13,31.80
0.95,0.085,12,37.33,13,30.79
0.95,0.086,13,37.48,13,30.93
0.95,0.087,13,37.50,13,30.88
0.95,0.088,13,36.83,13,30.07
0.95,0.089,14,36.56,14,29.83
0.95,0.090,14,36.64,14,29.86
0.95,0.091,14,36.44,15,29.70
0.95,0.092,13,36.39,13,29.76
0.95,0.093,13,36.48,13,30.01
0.95,0.094,13,36.36,13,30.04
0.95,0.095,13,35.71,13,29.44
0.95,0.096,13,35.06,13,28.76
0.95,0.097,13,34.82,13,28.66
0.95,0.098,13,34.46,13,28.39
0.95,0.099,16,34.39,13,27.73
0.95,0.100,17,34.35,13,27.52
0.96,0.080,12,38.42,13,32.45
0.96,0.081,12,37.81,12,31.39
0.96,0.082,12,38.06,13,31.68
0.96,0.083,13,38.11,13,31.96
0.96,0.094,13,36.28,13,30.02
0.96,0.095,13,35.68,13,29.48
0.96,0.096,13,35.03,13,28.82
0.96,0.097,13,34.84,13,28.76
0.96,0.098,13,34.41,13,28.42
0.96,0.099,16,34.08,13,27.81
0.96,0.100,17,34.02,13,27.50
0.96,0.084,13,38.18,13,31.86
0.96,0.085,13,37.38,13,30.86
0.96,0.086,13,37.56,13,31.00
0.96,0.087,13,37.58,13,30.96
0.96,0.088,13,36.90,13,30.16
0.96,0.089,14,36.82,14,30.11
0.96,0.090,14,36.83,14,30.07
0.96,0.091,14,36.63,13,29.84
0.96,0.092,13,36.73,13,30.21
0.96,0.093,13,36.47,13,30.07
0.97,0.080,12,38.23,13,32.26
0.97,0.081,12,37.69,13,31.28
0.97,0.082,12,37.94,13,31.60
0.97,0.083,13,38.05,13,31.88
0.97,0.084,13,38.11,13,31.78
