T1,T2,F1_T,F1,MCC_T,MCC
0.01,0.01,0,3.32,0,4.30
0.01,0.02,0,5.19,0,6.56
0.01,0.03,0,8.67,0,9.79
0.01,0.04,0,12.43,0,13.16
0.01,0.05,0,16.44,0,15.47
0.01,0.06,0,19.85,0,16.76
0.01,0.07,0,21.30,0,16.93
0.01,0.08,0,20.26,0,14.60
0.01,0.09,0,21.09,0,14.28
0.01,0.10,0,22.46,0,14.77
0.01,0.11,0,22.37,0,14.12
0.01,0.12,0,23.30,0,14.68
0.01,0.13,0,23.12,0,14.12
0.01,0.14,0,23.10,0,13.87
0.01,0.15,0,22.75,0,13.31
0.01,0.16,0,22.98,0,13.56
0.01,0.17,0,22.64,0,13.14
0.01,0.18,0,22.05,0,12.40
0.01,0.19,0,21.42,0,11.56
0.01,0.20,0,21.28,0,11.46
0.01,0.21,0,20.85,0,10.90
0.01,0.22,0,20.42,0,10.33
0.01,0.23,0,20.14,0,9.96
0.01,0.24,0,19.35,0,8.65
0.01,0.25,0,18.68,0,7.44
0.01,0.26,0,18.29,0,6.70
0.01,0.27,0,18.51,0,7.23
0.01,0.28,0,18.06,0,6.31
0.01,0.29,0,17.40,0,4.82
0.01,0.30,0,17.36,3,4.79
0.01,0.31,0,17.19,0,4.32
0.01,0.32,0,16.90,0,3.56
0.01,0.33,0,17.03,0,3.90
0.01,0.34,2,16.78,4,4.09
0.01,0.35,0,16.79,4,4.30
0.01,0.36,4,16.85,4,4.32
0.01,0.37,2,16.91,4,3.68
0.01,0.38,0,16.85,4,3.84
0.01,0.39,2,16.97,4,4.03
0.01,0.40,2,16.99,2,3.81
0.01,0.41,0,16.99,0,3.92
0.01,0.42,0,16.90,0,3.62
0.01,0.43,0,16.76,0,3.14
0.01,0.44,2,16.77,4,3.29
0.01,0.45,0,16.67,4,2.91
0.01,0.46,4,16.78,4,3.45
0.01,0.47,4,16.89,4,3.67
0.01,0.48,4,16.86,4,3.57
0.01,0.49,4,17.13,4,4.18
0.01,0.50,4,17.11,4,4.12
0.01,0.51,4,16.82,4,3.40
0.01,0.52,4,16.69,4,3.03
0.01,0.53,4,16.86,4,3.45
0.01,0.54,4,16.96,6,3.95
0.01,0.55,4,16.79,6,3.62
0.01,0.56,4,16.72,6,3.41
0.01,0.57,6,16.63,6,3.29
0.01,0.58,4,16.71,6,2.99
0.01,0.59,4,16.83,4,3.32
0.01,0.60,4,16.74,4,3.05
0.01,0.61,4,17.02,4,3.93
0.01,0.62,4,16.99,4,3.84
0.01,0.63,4,17.00,4,3.89
0.01,0.64,4,16.88,4,3.51
0.01,0.65,4,16.78,4,3.17
0.01,0.66,4,16.80,4,3.26
0.01,0.67,4,16.67,31,5.71
0.01,0.68,4,16.61,31,5.71
0.01,0.69,4,16.78,31,5.71
0.01,0.70,4,16.64,34,5.71
0.01,0.71,4,16.56,35,5.71
0.01,0.72,4,16.45,35,5.71
0.01,0.73,4,16.33,35,5.71
