T1,T2,FAR_T,FAR,FRR_T,FRR,EER
0.00,0.00,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.20,0,0.00,0,100.00,50.00
0.00,0.30,0,0.00,0,100.00,50.00
0.00,0.40,0,0.00,0,100.00,50.00
0.00,0.50,0,0.00,0,100.00,50.00
0.00,0.60,0,0.00,0,100.00,50.00
0.00,0.70,0,0.00,0,100.00,50.00
0.00,0.80,0,0.00,0,100.00,50.00
0.00,0.90,0,0.00,0,100.00,50.00
0.00,1.00,0,0.00,0,100.00,50.00
0.00,1.10,0,0.00,0,100.00,50.00
0.00,1.20,0,0.00,0,100.00,50.00
0.00,1.30,0,0.00,0,100.00,50.00
0.00,1.40,0,0.00,0,100.00,50.00
0.00,1.50,0,0.00,0,100.00,50.00
0.00,1.60,0,0.00,0,100.00,50.00
0.00,1.70,0,0.00,0,100.00,50.00
0.00,1.80,0,0.00,0,100.00,50.00
0.00,1.90,0,0.00,0,100.00,50.00
0.00,2.00,0,0.00,0,100.00,50.00
0.00,2.10,0,0.00,0,100.00,50.00
0.00,2.20,0,0.00,0,100.00,50.00
0.00,2.30,0,0.00,0,100.00,50.00
0.00,2.40,0,0.00,0,100.00,50.00
0.00,2.50,0,0.00,0,100.00,50.00
0.00,2.60,0,0.00,0,100.00,50.00
0.00,2.70,0,0.00,0,100.00,50.00
0.00,2.80,0,0.00,0,100.00,50.00
0.00,2.90,0,0.00,0,100.00,50.00
0.00,3.00,0,0.00,0,100.00,50.00
0.00,3.10,0,0.00,0,100.00,50.00
0.00,3.20,0,0.00,0,100.00,50.00
0.00,3.30,0,0.00,0,100.00,50.00
0.00,3.40,0,0.00,0,100.00,50.00
0.00,3.50,0,0.00,0,100.00,50.00
0.00,3.60,0,0.00,0,100.00,50.00
0.00,3.70,0,0.00,0,100.00,50.00
0.00,3.80,0,0.00,0,100.00,50.00
0.00,3.90,0,0.00,0,100.00,50.00
0.10,3.00,0,100.00,80,94.29,97.14
0.10,3.10,0,100.00,80,93.93,96.96
0.10,3.20,0,100.00,80,93.93,96.96
0.10,3.30,0,100.00,80,93.93,96.96
0.10,3.40,0,100.00,80,93.93,96.96
0.10,3.50,0,100.00,80,93.93,96.96
0.10,3.60,0,100.00,80,93.93,96.96
0.10,3.70,0,100.00,80,93.93,96.96
0.10,3.80,0,100.00,80,93.93,96.96
0.10,3.90,0,100.00,80,93.93,96.96
0.10,2.00,0,100.00,80,98.57,99.29
0.10,2.10,0,100.00,80,97.86,98.93
0.10,2.20,0,100.00,80,97.50,98.75
0.10,2.30,0,100.00,80,97.14,98.57
0.10,2.40,0,100.00,80,96.79,98.39
0.10,2.50,0,100.00,80,97.14,98.57
0.10,2.60,0,100.00,80,96.79,98.39
0.10,2.70,0,100.00,80,96.43,98.21
0.10,2.80,0,100.00,80,95.00,97.50
0.10,2.90,0,100.00,80,94.64,97.32
0.10,1.00,0,100.00,78,100.00,100.00
0.10,1.10,0,100.00,79,100.00,100.00
0.10,1.20,0,100.00,79,99.64,99.82
0.10,1.30,0,100.00,79,99.29,99.64
0.10,1.40,0,100.00,79,99.29,99.64
0.10,1.50,0,100.00,79,99.29,99.64
0.10,1.60,0,100.00,79,98.93,99.46
0.10,1.70,0,100.00,80,98.93,99.46
0.10,1.80,0,100.00,80,98.93,99.46
0.10,1.90,0,100.00,80,98.93,99.46
0.20,3.00,0,100.00,80,56.79,78.39
0.20,3.10,0,100.00,80,56.07,78.04
0.20,3.20,0,100.00,80,55.71,77.86
0.20,3.30,0,100.00,80,55.71,77.86
0.20,3.40,0,100.00,80,55.71,77.86
0.20,3.50,0,100.00,80,55.71,77.86
0.20,3.60,0,100.00,80,55.71,77.86
0.20,3.70,0,100.00,80,55.71,77.86
0.20,3.80,0,100.00,80,55.71,77.86
0.20,3.90,0,100.00,80,55.71,77.86
0.20,2.00,0,100.00,80,74.29,87.14
0.20,2.10,0,100.00,80,73.93,86.96
0.20,2.20,0,100.00,80,71.43,85.71
0.20,2.30,0,100.00,80,66.79,83.39
0.20,2.40,0,100.00,80,65.36,82.68
0.20,2.50,0,100.00,80,64.29,82.14
0.20,2.60,0,100.00,80,63.57,81.79
0.20,2.70,0,100.00,80,61.07,80.54
0.20,2.80,0,100.00,80,60.36,80.18
0.20,2.90,0,100.00,80,59.29,79.64
0.30,2.00,0,100.00,80,49.64,74.82
0.30,2.10,0,100.00,80,48.21,74.11
0.30,2.20,0,100.00,80,45.00,72.50
0.30,2.30,0,100.00,80,42.50,71.25
0.30,2.40,0,100.00,80,41.07,70.54
0.30,2.50,0,100.00,80,38.93,69.46
0.30,2.60,0,100.00,80,36.07,68.04
0.30,2.70,0,100.00,80,33.93,66.96
0.30,2.80,0,100.00,80,32.50,66.25
0.30,2.90,0,100.00,80,31.07,65.54
0.20,1.00,0,100.00,80,96.07,98.04
0.20,1.10,0,100.00,80,93.57,96.79
0.20,1.20,0,100.00,80,91.43,95.71
0.20,1.30,0,100.00,80,89.64,94.82
0.20,1.40,0,100.00,80,87.50,93.75
0.20,1.50,0,100.00,80,85.36,92.68
0.20,1.60,0,100.00,80,84.29,92.14
0.20,1.70,0,100.00,80,82.86,91.43
0.20,1.80,0,100.00,80,78.21,89.11
0.20,1.90,0,100.00,80,76.07,88.04
0.10,0.00,0,0.00,0,100.00,50.00
0.10,0.10,0,40.42,17,100.00,70.21
0.10,0.20,0,88.85,29,100.00,94.43
0.10,0.30,0,98.30,45,100.00,99.15
0.10,0.40,0,99.62,50,100.00,99.81
0.10,0.50,0,99.90,62,100.00,99.95
0.10,0.60,0,99.93,65,100.00,99.97
0.10,0.70,0,100.00,68,100.00,100.00
0.10,0.80,0,100.00,72,100.00,100.00
0.10,0.90,0,100.00,78,100.00,100.00
0.30,1.00,0,100.00,80,81.07,90.54
0.30,1.10,0,100.00,80,77.86,88.93
0.30,1.20,0,100.00,80,74.29,87.14
0.30,1.30,0,100.00,80,70.71,85.36
0.30,1.40,0,100.00,80,68.93,84.46
0.30,1.50,0,100.00,80,65.00,82.50
0.30,1.60,0,100.00,80,63.21,81.61
0.30,1.70,0,100.00,80,59.64,79.82
0.30,1.80,0,100.00,80,55.71,77.86
0.30,1.90,0,100.00,80,52.86,76.43
0.20,0.00,0,0.00,0,100.00,50.00
0.20,0.10,0,57.36,23,100.00,78.68
0.20,0.20,0,96.04,36,100.00,98.02
0.20,0.30,0,99.55,50,100.00,99.77
0.20,0.40,0,99.97,62,100.00,99.98
0.20,0.50,0,100.00,77,100.00,100.00
0.20,0.60,0,100.00,79,98.93,99.46
0.20,0.70,0,100.00,79,98.57,99.29
0.20,0.80,0,100.00,80,98.21,99.11
0.20,0.90,0,100.00,79,97.14,98.57
0.30,0.00,0,0.00,0,100.00,50.00
0.30,0.10,0,67.60,39,100.00,83.80
0.30,0.20,0,97.99,45,100.00,98.99
0.30,0.30,0,99.90,73,100.00,99.95
0.30,0.40,0,100.00,73,100.00,100.00
0.30,0.50,0,100.00,78,99.29,99.64
0.30,0.60,0,100.00,80,97.14,98.57
0.30,0.70,0,100.00,80,95.71,97.86
0.30,0.80,0,100.00,80,91.43,95.71
0.30,0.90,0,100.00,80,85.36,92.68
0.30,3.00,0,100.00,80,31.07,65.54
0.30,3.10,0,100.00,80,30.00,65.00
0.30,3.20,0,100.00,80,30.00,65.00
0.30,3.30,0,100.00,80,30.00,65.00
0.30,3.40,0,100.00,80,30.00,65.00
0.30,3.50,0,100.00,80,30.00,65.00
0.30,3.60,0,100.00,80,30.00,65.00
0.30,3.70,0,100.00,80,30.00,65.00
0.30,3.80,0,100.00,80,30.00,65.00
0.30,3.90,0,100.00,80,30.00,65.00
0.40,2.00,0,100.00,80,31.07,65.54
0.40,2.10,0,100.00,80,28.57,64.29
0.40,2.20,0,100.00,80,28.57,64.29
0.40,2.30,0,100.00,80,28.57,64.29
0.40,2.40,0,100.00,80,28.57,64.29
0.40,2.50,0,100.00,80,28.57,64.29
0.40,2.60,0,100.00,80,28.57,64.29
0.40,2.70,0,100.00,80,28.57,64.29
0.40,2.80,0,100.00,80,28.57,64.29
0.40,2.90,0,100.00,80,28.57,64.29
0.40,3.00,0,100.00,80,28.57,64.29
0.40,3.10,0,100.00,80,28.57,64.29
0.40,3.20,0,100.00,80,28.57,64.29
0.40,3.30,0,100.00,80,28.57,64.29
0.40,3.40,0,100.00,80,28.57,64.29
0.40,3.50,0,100.00,80,28.57,64.29
0.40,3.60,0,100.00,80,28.57,64.29
0.40,3.70,0,100.00,80,28.57,64.29
0.40,3.80,0,100.00,80,28.57,64.29
0.40,3.90,0,100.00,80,28.57,64.29
0.40,1.00,0,100.00,80,68.57,84.29
0.40,1.10,0,100.00,80,64.64,82.32
0.40,1.20,0,100.00,80,60.71,80.36
0.40,1.30,0,100.00,80,56.07,78.04
0.40,1.40,0,100.00,80,54.64,77.32
0.40,1.50,0,100.00,80,49.29,74.64
0.40,1.60,0,100.00,80,44.29,72.14
0.40,1.70,0,100.00,80,38.93,69.46
0.40,1.80,0,100.00,80,35.71,67.86
0.40,1.90,0,100.00,80,32.50,66.25
0.50,3.00,0,100.00,80,28.57,64.29
0.50,3.10,0,100.00,80,28.57,64.29
0.50,3.20,0,100.00,80,28.57,64.29
0.50,3.30,0,100.00,80,28.57,64.29
0.50,3.40,0,100.00,80,28.57,64.29
0.50,3.50,0,100.00,80,28.57,64.29
0.50,3.60,0,100.00,80,28.57,64.29
0.50,3.70,0,100.00,80,28.57,64.29
0.50,3.80,0,100.00,80,28.57,64.29
0.50,3.90,0,100.00,80,28.57,64.29
0.50,2.00,0,100.00,80,28.57,64.29
0.50,2.10,0,100.00,80,28.57,64.29
0.50,2.20,0,100.00,80,28.57,64.29
0.50,2.30,0,100.00,80,28.57,64.29
0.50,2.40,0,100.00,80,28.57,64.29
0.50,2.50,0,100.00,80,28.57,64.29
0.50,2.60,0,100.00,80,28.57,64.29
0.50,2.70,0,100.00,80,28.57,64.29
0.50,2.80,0,100.00,80,28.57,64.29
0.50,2.90,0,100.00,80,28.57,64.29
0.60,3.00,0,100.00,80,28.57,64.29
0.60,3.10,0,100.00,80,28.57,64.29
0.60,3.20,0,100.00,80,28.57,64.29
0.60,3.30,0,100.00,80,28.57,64.29
0.60,3.40,0,100.00,80,28.57,64.29
0.60,3.50,0,100.00,80,28.57,64.29
0.60,3.60,0,100.00,80,28.57,64.29
0.60,3.70,0,100.00,80,28.57,64.29
0.60,3.80,0,100.00,80,28.57,64.29
0.60,3.90,0,100.00,80,28.57,64.29
0.50,1.00,0,100.00,80,58.57,79.29
0.50,1.10,0,100.00,80,53.57,76.79
0.50,1.20,0,100.00,80,47.86,73.93
0.50,1.30,0,100.00,80,43.57,71.79
0.50,1.40,0,100.00,80,39.64,69.82
0.50,1.50,0,100.00,80,34.64,67.32
0.50,1.60,0,100.00,80,31.07,65.54
0.50,1.70,0,100.00,80,28.57,64.29
0.50,1.80,0,100.00,80,28.57,64.29
0.50,1.90,0,100.00,80,28.57,64.29
0.60,2.00,0,100.00,80,28.57,64.29
0.60,2.10,0,100.00,80,28.57,64.29
0.60,2.20,0,100.00,80,28.57,64.29
0.60,2.30,0,100.00,80,28.57,64.29
0.60,2.40,0,100.00,80,28.57,64.29
0.60,2.50,0,100.00,80,28.57,64.29
0.60,2.60,0,100.00,80,28.57,64.29
0.60,2.70,0,100.00,80,28.57,64.29
0.60,2.80,0,100.00,80,28.57,64.29
0.60,2.90,0,100.00,80,28.57,64.29
0.60,1.00,0,100.00,80,50.71,75.36
0.60,1.10,0,100.00,80,42.50,71.25
0.60,1.20,0,100.00,80,39.29,69.64
0.60,1.30,0,100.00,80,33.57,66.79
0.60,1.40,0,100.00,80,28.57,64.29
0.60,1.50,0,100.00,80,28.57,64.29
0.60,1.60,0,100.00,80,28.57,64.29
0.60,1.70,0,100.00,80,28.57,64.29
0.60,1.80,0,100.00,80,28.57,64.29
0.60,1.90,0,100.00,80,28.57,64.29
0.40,0.00,0,0.00,0,100.00,50.00
0.40,0.10,0,75.28,39,100.00,87.64
0.40,0.20,0,99.03,50,100.00,99.51
0.40,0.30,0,100.00,79,100.00,100.00
0.40,0.40,0,100.00,78,99.64,99.82
0.40,0.50,0,100.00,79,97.50,98.75
0.40,0.60,0,100.00,80,95.00,97.50
0.40,0.70,0,100.00,80,87.50,93.75
0.40,0.80,0,100.00,80,81.43,90.71
0.40,0.90,0,100.00,80,74.29,87.14
0.70,2.00,0,100.00,80,28.57,64.29
0.70,2.10,0,100.00,80,28.57,64.29
0.70,2.20,0,100.00,80,28.57,64.29
0.70,2.30,0,100.00,80,28.57,64.29
0.70,2.40,0,100.00,80,28.57,64.29
0.70,2.50,0,100.00,80,28.57,64.29
0.70,2.60,0,100.00,80,28.57,64.29
0.70,2.70,0,100.00,80,28.57,64.29
0.70,2.80,0,100.00,80,28.57,64.29
0.70,2.90,0,100.00,80,28.57,64.29
0.70,3.00,0,100.00,80,28.57,64.29
0.70,3.10,0,100.00,80,28.57,64.29
0.70,3.20,0,100.00,80,28.57,64.29
0.70,3.30,0,100.00,80,28.57,64.29
0.70,3.40,0,100.00,80,28.57,64.29
0.70,3.50,0,100.00,80,28.57,64.29
0.70,3.60,0,100.00,80,28.57,64.29
