T1,T2,T3,FAR,FRR,EER
0.100,0.020,4,2.40,52.22,27.31
0.100,0.120,34,6.80,46.22,26.51
0.100,0.220,84,10.87,48.67,29.77
0.100,0.320,141,10.47,52.89,31.68
0.100,0.420,195,9.47,58.00,33.73
0.100,0.520,225,15.96,54.44,35.20
0.100,0.620,258,16.49,53.56,35.02
0.100,0.720,291,14.91,57.78,36.34
0.100,0.820,313,15.58,56.89,36.23
0.100,0.920,324,21.16,51.56,36.36
0.100,1.020,349,17.16,55.11,36.13
0.100,1.120,363,18.07,53.56,35.81
0.100,1.220,374,18.96,51.78,35.37
0.100,1.320,388,18.33,53.78,36.06
0.100,1.420,395,19.96,52.00,35.98
0.200,0.020,3,4.47,48.67,26.57
0.200,0.120,49,8.58,43.78,26.18
0.200,0.220,123,11.87,47.33,29.60
0.200,0.320,188,17.56,44.44,31.00
0.200,0.420,257,13.02,51.78,32.40
0.200,0.520,300,15.27,50.89,33.08
0.200,0.620,358,6.76,60.44,33.60
0.200,0.720,377,10.78,57.11,33.94
0.200,0.820,395,14.53,55.56,35.04
0.200,0.920,424,10.96,58.44,34.70
0.200,1.020,416,23.51,44.89,34.20
0.200,1.120,425,26.73,42.44,34.59
0.200,1.220,438,26.60,42.00,34.30
0.200,1.320,441,31.18,37.56,34.37
0.200,1.420,451,31.16,36.67,33.91
0.300,0.020,5,4.53,48.22,26.38
0.300,0.120,58,12.11,38.22,25.17
0.300,0.220,154,10.38,47.11,28.74
0.300,0.320,227,15.84,43.78,29.81
0.300,0.420,294,14.58,46.22,30.40
0.300,0.520,343,14.09,49.78,31.93
0.300,0.620,368,20.60,43.33,31.97
0.300,0.720,394,23.51,41.11,32.31
0.300,0.820,420,22.22,40.89,31.56
0.300,0.920,450,17.00,46.44,31.72
0.300,1.020,457,22.00,40.44,31.22
0.300,1.120,450,33.31,28.89,31.10
0.300,1.220,465,31.69,30.67,31.18
0.300,1.320,478,30.71,31.11,30.91
0.300,1.420,465,41.96,20.67,31.31
0.400,0.020,5,5.56,46.44,26.00
0.400,0.120,66,15.09,33.78,24.43
0.400,0.220,182,8.38,49.78,29.08
0.400,0.320,252,17.04,41.11,29.08
0.400,0.420,330,11.00,47.11,29.06
0.400,0.520,355,22.44,37.33,29.89
0.400,0.620,387,25.53,34.89,30.21
0.400,0.720,422,22.80,36.89,29.84
0.400,0.820,446,21.84,37.11,29.48
0.400,0.920,453,28.24,30.22,29.23
0.400,1.020,472,26.47,31.78,29.12
0.400,1.120,480,29.51,28.89,29.20
0.400,1.220,489,31.60,26.44,29.02
0.400,1.320,510,26.07,32.89,29.48
0.400,1.420,522,24.82,32.89,28.86
0.500,0.020,5,6.93,44.89,25.91
0.500,0.120,77,13.40,36.00,24.70
0.500,0.220,205,6.60,50.22,28.41
0.500,0.320,270,18.22,38.89,28.56
0.500,0.420,336,18.20,39.11,28.66
0.500,0.520,384,18.40,40.44,29.42
0.500,0.620,426,15.40,44.22,29.81
0.500,0.720,447,19.11,37.78,28.44
0.500,0.820,463,21.78,36.22,29.00
0.500,0.920,455,35.40,22.22,28.81
0.500,1.020,492,24.20,32.89,28.54
0.500,1.120,490,31.91,23.56,27.73
0.500,1.220,499,33.49,23.33,28.41
0.500,1.320,514,31.56,25.56,28.56
0.500,1.420,534,25.91,30.00,27.96
0.600,0.020,6,5.98,46.89,26.43
0.600,0.120,89,10.98,38.44,24.71
0.600,0.220,200,16.98,38.44,27.71
0.600,0.320,295,14.98,41.11,28.04
0.600,0.420,359,14.98,42.00,28.49
0.600,0.520,400,17.96,39.78,28.87
0.600,0.620,425,22.71,34.44,28.58
0.600,0.720,444,26.67,29.33,28.00
0.600,0.820,475,22.49,34.22,28.36
0.600,0.920,482,28.04,27.33,27.69
0.600,1.020,495,28.44,26.89,27.67
0.600,1.120,515,25.82,29.78,27.80
0.600,1.220,521,27.91,27.78,27.84
0.600,1.320,531,28.09,27.78,27.93
0.600,1.420,507,41.20,14.44,27.82
0.700,0.020,6,6.58,45.11,25.84
0.700,0.120,104,7.13,43.33,25.23
0.700,0.220,229,9.29,46.22,27.76
0.700,0.320,304,17.33,38.44,27.89
0.700,0.420,357,23.07,34.22,28.64
0.700,0.520,416,16.36,39.78,28.07
0.700,0.620,441,20.42,34.44,27.43
0.700,0.720,457,25.47,28.00,26.73
0.700,0.820,463,33.29,21.11,27.20
0.700,0.920,480,33.09,20.44,26.77
0.700,1.020,501,30.20,22.89,26.54
0.700,1.120,522,26.64,27.56,27.10
0.700,1.220,510,36.18,17.56,26.87
0.700,1.320,537,29.00,24.67,26.83
0.700,1.420,535,33.64,20.44,27.04
0.800,0.020,6,7.64,44.67,26.16
0.800,0.120,106,10.93,39.78,25.36
0.800,0.220,221,19.20,35.78,27.49
0.800,0.320,318,16.24,37.11,26.68
0.800,0.420,385,14.47,40.22,27.34
0.800,0.520,407,26.02,30.22,28.12
0.800,0.620,438,26.24,27.56,26.90
0.800,0.720,471,23.04,30.44,26.74
0.800,0.820,491,23.84,29.78,26.81
0.800,0.920,492,31.24,21.11,26.18
0.800,1.020,486,39.62,13.11,26.37
0.800,1.120,530,26.44,26.67,26.56
0.800,1.220,547,24.02,28.44,26.23
0.800,1.320,538,31.69,20.22,25.96
0.800,1.420,543,33.00,19.33,26.17
0.900,0.020,6,8.58,43.78,26.18
0.900,0.120,114,10.62,38.67,24.64
0.900,0.220,252,8.69,45.56,27.12
0.900,0.320,331,14.80,37.56,26.18
0.900,0.420,384,19.69,34.22,26.96
0.900,0.520,434,16.73,37.33,27.03
0.900,0.620,441,28.73,24.22,26.48
0.900,0.720,486,19.49,33.11,26.30
0.900,0.820,504,21.51,30.89,26.20
0.900,0.920,503,29.60,22.22,25.91
0.900,1.020,493,39.09,13.11,26.10
0.900,1.120,524,32.16,19.78,25.97
0.900,1.220,527,34.69,16.22,25.46
0.900,1.320,551,28.84,22.89,25.87
0.900,1.420,562,27.76,24.00,25.88
1.000,0.020,8,5.04,46.89,25.97
1.000,0.120,114,15.02,34.44,24.73
1.000,0.220,241,18.71,36.00,27.36
1.000,0.320,331,18.78,33.78,26.28
1.000,0.420,396,17.80,35.56,26.68
1.000,0.520,412,31.44,22.44,26.94
1.000,0.620,441,32.53,19.11,25.82
1.000,0.720,473,28.18,23.33,25.76
1.000,0.820,508,22.56,29.78,26.17
1.000,0.920,497,34.84,16.67,25.76
1.000,1.020,521,30.51,21.33,25.92
1.000,1.120,536,29.22,21.33,25.28
1.000,1.220,541,31.22,19.11,25.17
1.000,1.320,554,29.91,20.44,25.18
1.000,1.420,571,26.42,24.67,25.54
1.100,0.020,8,5.38,46.67,26.02
1.100,0.120,123,13.24,36.67,24.96
1.100,0.220,261,12.62,42.00,27.31
1.100,0.320,334,21.78,31.78,26.78
1.100,0.420,405,16.89,35.56,26.22
1.100,0.520,432,24.31,28.22,26.27
1.100,0.620,446,33.16,18.44,25.80
1.100,0.720,477,29.00,21.33,25.17
1.100,0.820,514,22.49,29.56,26.02
1.100,0.920,506,33.13,18.44,25.79
1.100,1.020,533,27.49,23.56,25.52
1.100,1.120,542,29.04,21.33,25.19
1.100,1.220,537,34.82,15.56,25.19
1.100,1.320,556,31.31,19.11,25.21
1.100,1.420,566,30.91,20.22,25.57
1.200,0.020,8,5.73,46.22,25.98
1.200,0.120,132,11.73,37.56,24.64
1.200,0.220,265,14.73,39.33,27.03
1.200,0.320,348,18.00,35.33,26.67
1.200,0.420,405,19.96,33.11,26.53
1.200,0.520,439,23.89,28.22,26.06
1.200,0.620,462,28.07,22.22,25.14
1.200,0.720,493,24.40,25.78,25.09
1.200,0.820,518,22.98,26.89,24.93
1.200,0.920,510,33.82,17.11,25.47
1.200,1.020,546,24.31,26.22,25.27
1.200,1.120,554,25.93,24.00,24.97
1.200,1.220,545,33.49,16.44,24.97
1.200,1.320,562,30.78,18.89,24.83
1.200,1.420,570,31.02,19.33,25.18
1.300,0.020,10,3.29,48.67,25.98
1.300,0.120,133,14.56,34.44,24.50
1.300,0.220,278,11.71,42.44,27.08
1.300,0.320,368,12.20,39.78,25.99
1.300,0.420,401,25.47,28.00,26.73
1.300,0.520,435,28.51,23.33,25.92
1.300,0.620,467,28.27,22.22,25.24
1.300,0.720,507,20.16,30.44,25.30
1.300,0.820,525,22.04,28.22,25.13
1.300,0.920,527,28.47,22.00,25.23
1.300,1.020,550,24.58,25.11,24.84
1.300,1.120,558,26.02,23.11,24.57
1.300,1.220,545,35.53,14.67,25.10
1.300,1.320,566,30.89,18.89,24.89
1.300,1.420,576,30.60,19.56,25.08
