T1,T2,T3,FAR,FRR,EER
0.100,0.020,5,2.27,52.22,27.24
0.100,0.120,38,6.67,47.11,26.89
0.100,0.220,88,15.24,45.33,30.29
0.100,0.320,148,14.82,48.44,31.63
0.100,0.420,213,10.07,58.00,34.03
0.100,0.520,244,17.64,52.89,35.27
0.100,0.620,286,14.60,55.33,34.97
0.100,0.720,310,18.44,54.00,36.22
0.100,0.820,336,18.13,54.00,36.07
0.100,0.920,354,20.44,52.67,36.56
0.100,1.020,380,16.76,55.11,35.93
0.100,1.120,395,17.51,54.44,35.98
0.100,1.220,403,20.31,50.44,35.38
0.100,1.320,415,20.91,50.89,35.90
0.100,1.420,425,21.56,50.67,36.11
0.200,0.020,5,3.91,48.89,26.40
0.200,0.120,56,7.44,44.44,25.94
0.200,0.220,139,10.62,49.78,30.20
0.200,0.320,205,18.69,44.44,31.57
0.200,0.420,279,14.29,50.67,32.48
0.200,0.520,333,12.47,54.00,33.23
0.200,0.620,382,8.93,58.00,33.47
0.200,0.720,407,11.80,56.22,34.01
0.200,0.820,433,12.36,57.11,34.73
0.200,0.920,456,11.78,57.11,34.44
0.200,1.020,465,15.76,51.78,33.77
0.200,1.120,460,26.91,42.22,34.57
0.200,1.220,486,20.11,48.67,34.39
0.200,1.320,503,18.24,50.67,34.46
0.200,1.420,513,18.62,49.33,33.98
0.300,0.020,6,4.29,48.44,26.37
0.300,0.120,61,15.64,35.56,25.60
0.300,0.220,178,7.13,51.33,29.23
0.300,0.320,242,20.91,39.11,30.01
0.300,0.420,321,14.87,46.22,30.54
0.300,0.520,364,18.33,44.44,31.39
0.300,0.620,399,21.29,41.56,31.42
0.300,0.720,437,18.40,44.44,31.42
0.300,0.820,456,22.00,40.67,31.33
0.300,0.920,476,22.18,40.67,31.42
0.300,1.020,498,19.80,40.89,30.34
0.300,1.120,504,24.40,37.56,30.98
0.300,1.220,517,24.24,37.11,30.68
0.300,1.320,532,22.71,38.44,30.58
0.300,1.420,548,20.04,41.33,30.69
0.400,0.020,6,5.33,46.89,26.11
0.400,0.120,79,10.24,39.11,24.68
0.400,0.220,180,19.38,39.11,29.24
0.400,0.320,283,14.24,44.67,29.46
0.400,0.420,364,9.96,48.44,29.20
0.400,0.520,393,19.44,40.00,29.72
0.400,0.620,440,15.51,44.00,29.76
0.400,0.720,467,17.56,40.22,28.89
0.400,0.820,486,19.96,37.56,28.76
0.400,0.920,503,21.18,36.00,28.59
0.400,1.020,515,24.11,32.67,28.39
0.400,1.120,522,27.29,28.67,27.98
0.400,1.220,534,27.49,28.67,28.08
0.400,1.320,551,24.60,31.56,28.08
0.400,1.420,558,26.38,29.11,27.74
0.500,0.020,6,6.56,44.89,25.72
0.500,0.120,88,11.40,38.67,25.03
0.500,0.220,217,10.16,47.33,28.74
0.500,0.320,303,15.38,42.22,28.80
0.500,0.420,371,16.22,40.22,28.22
0.500,0.520,421,16.42,41.56,28.99
0.500,0.620,453,19.33,39.11,29.22
0.500,0.720,484,18.71,37.56,28.13
0.500,0.820,499,22.33,33.33,27.83
0.500,0.920,522,20.29,34.89,27.59
0.500,1.020,526,26.64,28.89,27.77
0.500,1.120,539,26.84,28.00,27.42
0.500,1.220,547,28.87,25.11,26.99
0.500,1.320,552,31.67,23.33,27.50
0.500,1.420,575,25.58,29.11,27.34
0.600,0.020,6,7.62,44.67,26.14
0.600,0.120,98,11.56,38.67,25.11
0.600,0.220,220,17.20,38.22,27.71
0.600,0.320,322,15.42,40.89,28.16
0.600,0.420,388,16.84,40.44,28.64
0.600,0.520,430,20.13,36.44,28.29
0.600,0.620,467,19.67,35.56,27.61
0.600,0.720,480,27.00,28.00,27.50
0.600,0.820,522,18.20,36.89,27.54
0.600,0.920,520,28.09,26.22,27.16
0.600,1.020,529,30.67,23.11,26.89
0.600,1.120,545,29.60,23.33,26.47
0.600,1.220,555,30.36,23.78,27.07
0.600,1.320,553,35.71,18.22,26.97
0.600,1.420,573,30.73,22.22,26.48
0.700,0.020,6,8.24,43.78,26.01
0.700,0.120,117,6.42,44.89,25.66
0.700,0.220,259,7.07,49.11,28.09
0.700,0.320,348,11.20,44.44,27.82
0.700,0.420,387,24.16,32.22,28.19
0.700,0.520,443,19.96,35.11,27.53
0.700,0.620,463,27.33,26.89,27.11
0.700,0.720,499,22.98,30.22,26.60
0.700,0.820,522,22.73,30.89,26.81
0.700,0.920,516,34.22,18.22,26.22
0.700,1.020,543,28.20,24.00,26.10
0.700,1.120,563,24.71,28.00,26.36
0.700,1.220,551,35.36,16.67,26.01
0.700,1.320,568,32.24,19.11,25.68
0.700,1.420,577,32.22,19.56,25.89
0.800,0.020,6,9.18,42.67,25.92
0.800,0.120,122,8.53,42.44,25.49
0.800,0.220,265,9.09,45.33,27.21
0.800,0.320,346,17.11,36.22,26.67
0.800,0.420,415,16.29,38.22,27.26
0.800,0.520,458,17.58,36.89,27.23
0.800,0.620,491,18.07,34.67,26.37
0.800,0.720,513,19.91,31.33,25.62
0.800,0.820,543,16.69,35.33,26.01
0.800,0.920,532,29.78,20.89,25.33
0.800,1.020,541,32.16,18.67,25.41
0.800,1.120,567,25.89,24.67,25.28
0.800,1.220,579,25.40,24.67,25.03
0.800,1.320,590,25.00,24.67,24.83
0.800,1.420,586,30.51,18.44,24.48
0.900,0.020,6,10.29,41.78,26.03
0.900,0.120,124,12.20,36.89,24.54
0.900,0.220,275,9.53,44.89,27.21
0.900,0.320,361,14.78,38.22,26.50
0.900,0.420,424,16.93,36.44,26.69
0.900,0.520,458,21.49,30.89,26.19
0.900,0.620,497,18.62,32.89,25.76
0.900,0.720,522,18.64,31.56,25.10
0.900,0.820,544,19.18,31.78,25.48
0.900,0.920,541,28.44,21.11,24.78
0.900,1.020,565,23.69,25.78,24.73
0.900,1.120,575,24.71,24.67,24.69
0.900,1.220,580,27.20,22.00,24.60
0.900,1.320,582,30.27,18.67,24.47
0.900,1.420,598,27.13,21.56,24.34
1.000,0.020,9,4.73,46.67,25.70
1.000,0.120,124,16.84,34.00,25.42
1.000,0.220,281,11.38,43.56,27.47
1.000,0.320,371,14.53,38.44,26.49
1.000,0.420,416,24.18,29.11,26.64
1.000,0.520,461,23.44,29.11,26.28
1.000,0.620,492,23.78,26.22,25.00
1.000,0.720,521,21.53,26.67,24.10
1.000,0.820,537,24.58,25.33,24.96
1.000,0.920,556,23.60,24.44,24.02
1.000,1.020,570,23.47,25.33,24.40
1.000,1.120,569,29.16,20.00,24.58
1.000,1.220,588,25.44,22.67,24.06
1.000,1.320,587,29.82,18.89,24.36
1.000,1.420,610,24.11,24.44,24.28
1.100,0.020,9,5.04,46.44,25.74
1.100,0.120,141,11.16,39.78,25.47
1.100,0.220,280,16.18,38.44,27.31
1.100,0.320,371,18.71,34.44,26.58
1.100,0.420,443,14.71,37.78,26.24
1.100,0.520,475,19.49,30.89,25.19
1.100,0.620,490,27.80,21.78,24.79
1.100,0.720,518,25.29,22.89,24.09
1.100,0.820,547,22.11,28.00,25.06
1.100,0.920,544,31.24,17.78,24.51
1.100,1.020,569,25.80,22.22,24.01
1.100,1.120,582,25.13,22.44,23.79
1.100,1.220,602,21.64,26.44,24.04
1.100,1.320,588,31.07,16.67,23.87
1.100,1.420,606,27.22,21.33,24.28
1.200,0.020,9,5.58,46.22,25.90
1.200,0.120,147,11.80,38.44,25.12
1.200,0.220,294,13.18,40.67,26.92
1.200,0.320,370,22.42,30.00,26.21
1.200,0.420,430,23.47,27.78,25.62
1.200,0.520,480,19.60,30.00,24.80
1.200,0.620,501,24.51,24.44,24.48
1.200,0.720,523,25.13,22.67,23.90
1.200,0.820,543,25.76,22.89,24.32
1.200,0.920,548,31.24,17.33,24.29
1.200,1.020,576,24.47,24.00,24.23
1.200,1.120,583,26.58,20.89,23.73
1.200,1.220,602,22.98,24.22,23.60
1.200,1.320,590,32.09,15.78,23.93
1.200,1.420,613,25.78,22.67,24.22
1.300,0.020,9,6.02,46.22,26.12
1.300,0.120,155,10.27,39.11,24.69
1.300,0.220,322,6.33,47.78,27.06
1.300,0.320,396,13.33,38.22,25.78
1.300,0.420,434,24.60,26.89,25.74
1.300,0.520,485,19.64,30.22,24.93
1.300,0.620,505,24.38,23.78,24.08
1.300,0.720,528,24.49,24.67,24.58
1.300,0.820,544,27.18,20.89,24.03
1.300,0.920,558,28.16,19.11,23.63
1.300,1.020,570,28.98,18.44,23.71
1.300,1.120,589,25.22,22.00,23.61
1.300,1.220,605,23.11,24.22,23.67
1.300,1.320,604,27.04,20.67,23.86
1.300,1.420,609,29.04,19.33,24.19
