T1,T2,T3,FAR,FRR,EER
0.100,0.020,4,2.42,52.22,27.32
0.100,0.120,34,7.58,46.22,26.90
0.100,0.220,84,12.53,48.67,30.60
0.100,0.320,142,11.36,53.33,32.34
0.100,0.420,196,10.33,58.22,34.28
0.100,0.520,237,11.49,60.44,35.97
0.100,0.620,265,14.67,57.11,35.89
0.100,0.720,291,16.58,57.56,37.07
0.100,0.820,316,15.96,57.78,36.87
0.100,0.920,340,14.91,59.78,37.34
0.100,1.020,352,17.87,56.44,37.16
0.100,1.120,365,19.31,54.22,36.77
0.100,1.220,374,21.53,51.78,36.66
0.100,1.320,386,21.76,52.67,37.21
0.100,1.420,395,22.67,52.00,37.33
0.200,0.020,0,4.71,48.44,26.58
0.200,0.120,53,6.44,46.67,26.56
0.200,0.220,124,12.80,47.78,30.29
0.200,0.320,188,19.29,44.22,31.76
0.200,0.420,257,14.49,51.56,33.02
0.200,0.520,309,12.33,55.56,33.94
0.200,0.620,358,7.62,60.44,34.03
0.200,0.720,377,12.47,57.11,34.79
0.200,0.820,397,15.36,56.67,36.01
0.200,0.920,425,12.16,58.67,35.41
0.200,1.020,432,17.18,53.11,35.14
0.200,1.120,427,28.31,42.89,35.60
0.200,1.220,441,27.78,43.33,35.56
0.200,1.320,443,33.04,38.00,35.52
0.200,1.420,453,33.31,37.33,35.32
0.300,0.020,5,4.67,48.22,26.44
0.300,0.120,58,13.56,38.22,25.89
0.300,0.220,154,11.89,47.11,29.50
0.300,0.320,227,18.09,43.56,30.82
0.300,0.420,298,14.02,48.00,31.01
0.300,0.520,344,15.49,50.00,32.74
0.300,0.620,386,13.07,52.44,32.76
0.300,0.720,396,24.53,42.22,33.38
0.300,0.820,421,24.20,40.89,32.54
0.300,0.920,450,18.82,46.22,32.52
0.300,1.020,460,22.84,41.56,32.20
0.300,1.120,449,36.24,27.78,32.01
0.300,1.220,475,29.20,34.67,31.93
0.300,1.320,478,33.00,30.67,31.83
0.300,1.420,496,29.29,35.33,32.31
0.400,0.020,5,5.69,46.22,25.96
0.400,0.120,66,16.60,33.78,25.19
0.400,0.220,182,9.29,49.78,29.53
0.400,0.320,269,10.60,48.89,29.74
0.400,0.420,333,10.96,48.44,29.70
0.400,0.520,359,22.47,39.33,30.90
0.400,0.620,405,17.47,44.67,31.07
0.400,0.720,422,24.84,36.67,30.76
0.400,0.820,452,20.73,40.22,30.48
0.400,0.920,453,30.69,29.78,30.23
0.400,1.020,478,25.78,34.89,30.33
0.400,1.120,480,32.38,27.56,29.97
0.400,1.220,490,33.36,26.22,29.79
0.400,1.320,513,26.96,33.78,30.37
0.400,1.420,526,25.27,34.44,29.86
0.500,0.020,5,7.09,44.89,25.99
0.500,0.120,77,14.96,35.78,25.37
0.500,0.220,205,7.38,50.22,28.80
0.500,0.320,271,19.96,38.89,29.42
0.500,0.420,349,13.47,45.33,29.40
0.500,0.520,382,21.42,38.89,30.16
0.500,0.620,439,11.18,49.56,30.37
0.500,0.720,449,20.13,38.44,29.29
0.500,0.820,463,24.07,35.78,29.92
0.500,0.920,464,33.49,25.56,29.52
0.500,1.020,488,28.78,30.44,29.61
0.500,1.120,490,34.36,23.11,28.73
0.500,1.220,500,35.53,22.67,29.10
0.500,1.320,498,40.76,18.22,29.49
0.500,1.420,548,21.49,35.78,28.63
0.600,0.020,0,10.62,42.44,26.53
0.600,0.120,90,11.76,38.89,25.32
0.600,0.220,218,8.73,48.67,28.70
0.600,0.320,300,13.98,43.11,28.54
0.600,0.420,362,15.44,43.11,29.28
0.600,0.520,400,19.91,39.33,29.62
0.600,0.620,430,22.33,36.44,29.39
0.600,0.720,448,26.91,30.89,28.90
0.600,0.820,474,25.33,33.11,29.22
0.600,0.920,482,30.38,26.89,28.63
0.600,1.020,480,38.20,19.11,28.66
0.600,1.120,522,24.89,32.00,28.44
0.600,1.220,534,24.36,32.89,28.62
0.600,1.320,532,30.13,27.11,28.62
0.600,1.420,511,42.04,14.44,28.24
0.700,0.020,6,7.00,45.11,26.06
0.700,0.120,106,6.78,44.44,25.61
0.700,0.220,231,9.58,46.89,28.23
0.700,0.320,312,15.04,41.78,28.41
0.700,0.420,361,22.76,36.00,29.38
0.700,0.520,421,15.89,41.78,28.83
0.700,0.620,436,24.96,31.78,28.37
0.700,0.720,458,27.07,27.78,27.42
0.700,0.820,489,23.02,33.56,28.29
0.700,0.920,495,28.38,26.44,27.41
0.700,1.020,503,31.58,23.11,27.34
0.700,1.120,524,28.00,27.78,27.89
0.700,1.220,513,37.47,17.78,27.62
0.700,1.320,520,38.44,16.89,27.67
0.700,1.420,526,39.33,15.78,27.56
0.800,0.020,6,7.87,44.67,26.27
0.800,0.120,105,12.87,38.67,25.77
0.800,0.220,247,8.00,48.00,28.00
0.800,0.320,318,17.91,36.67,27.29
0.800,0.420,386,15.51,40.44,27.98
0.800,0.520,428,17.09,40.44,28.77
0.800,0.620,438,28.47,27.11,27.79
0.800,0.720,472,24.51,30.44,27.48
0.800,0.820,499,22.18,32.44,27.31
0.800,0.920,493,33.20,20.89,27.04
0.800,1.020,487,41.42,12.89,27.16
0.800,1.120,542,23.31,30.89,27.10
0.800,1.220,514,39.64,13.78,26.71
0.800,1.320,540,33.27,20.22,26.74
0.800,1.420,537,37.87,15.56,26.71
0.900,0.020,6,8.73,43.56,26.14
0.900,0.120,114,11.73,38.67,25.20
0.900,0.220,252,9.87,45.56,27.71
0.900,0.320,331,16.44,37.56,27.00
0.900,0.420,381,23.40,32.22,27.81
0.900,0.520,432,19.18,36.00,27.59
0.900,0.620,441,31.00,23.33,27.17
0.900,0.720,482,23.18,30.89,27.03
0.900,0.820,504,23.56,30.00,26.78
0.900,0.920,497,34.53,18.89,26.71
0.900,1.020,540,21.64,31.56,26.60
0.900,1.120,527,33.31,20.22,26.77
0.900,1.220,529,36.22,16.22,26.22
0.900,1.320,555,29.51,23.33,26.42
0.900,1.420,564,29.33,23.78,26.56
1.000,0.020,8,5.36,46.89,26.12
1.000,0.120,114,16.51,34.22,25.37
1.000,0.220,258,11.67,44.00,27.83
1.000,0.320,334,19.11,35.11,27.11
1.000,0.420,404,15.56,39.11,27.33
1.000,0.520,440,18.73,36.22,27.48
1.000,0.620,441,34.58,18.22,26.40
1.000,0.720,475,29.71,23.33,26.52
1.000,0.820,511,23.07,30.67,26.87
1.000,0.920,502,35.09,18.00,26.54
1.000,1.020,546,21.47,31.56,26.51
1.000,1.120,538,30.84,21.33,26.09
1.000,1.220,539,34.78,17.11,25.94
1.000,1.320,554,32.53,19.78,26.16
1.000,1.420,571,28.58,23.78,26.18
1.100,0.020,8,5.76,46.44,26.10
1.100,0.120,127,11.98,39.11,25.54
1.100,0.220,262,13.69,42.44,28.07
1.100,0.320,348,16.38,39.11,27.74
1.100,0.420,405,18.51,35.33,26.92
1.100,0.520,446,19.33,34.00,26.67
1.100,0.620,448,34.60,18.22,26.41
1.100,0.720,478,31.11,20.67,25.89
1.100,0.820,481,39.49,14.22,26.86
1.100,0.920,539,20.53,32.22,26.38
1.100,1.020,538,27.62,24.00,25.81
1.100,1.120,559,23.60,27.78,25.69
1.100,1.220,544,34.71,16.89,25.80
1.100,1.320,562,31.33,20.67,26.00
1.100,1.420,586,24.40,27.78,26.09
1.200,0.020,8,6.16,46.22,26.19
1.200,0.120,132,12.98,37.56,25.27
1.200,0.220,276,10.33,44.89,27.61
1.200,0.320,352,17.87,36.89,27.38
1.200,0.420,405,21.84,32.89,27.37
1.200,0.520,454,18.42,34.44,26.43
1.200,0.620,463,29.76,21.56,25.66
1.200,0.720,502,22.40,29.11,25.76
1.200,0.820,518,24.91,26.89,25.90
1.200,0.920,512,35.31,16.89,26.10
1.200,1.020,541,28.51,22.67,25.59
1.200,1.120,557,26.60,24.00,25.30
1.200,1.220,546,35.80,15.78,25.79
1.200,1.320,562,33.11,17.78,25.44
1.200,1.420,576,30.76,20.89,25.82
1.300,0.020,10,3.89,48.44,26.17
1.300,0.120,133,16.02,34.22,25.12
1.300,0.220,289,8.73,46.22,27.48
1.300,0.320,368,13.56,39.56,26.56
1.300,0.420,412,21.38,33.56,27.47
1.300,0.520,437,29.62,23.56,26.59
1.300,0.620,467,30.47,21.11,25.79
1.300,0.720,512,19.78,32.22,26.00
1.300,0.820,527,23.11,28.22,25.67
1.300,0.920,524,32.00,19.56,25.78
1.300,1.020,552,25.49,25.11,25.30
1.300,1.120,558,28.22,21.33,24.78
1.300,1.220,587,20.29,30.89,25.59
1.300,1.320,588,23.71,27.56,25.63
1.300,1.420,595,24.51,26.89,25.70
