T1,T2,T3,FAR,FRR,EER
0.100,0.020,5,2.36,52.22,27.29
0.100,0.120,40,6.00,48.44,27.22
0.100,0.220,92,13.51,48.44,30.98
0.100,0.320,153,13.42,51.11,32.27
0.100,0.420,214,10.96,58.44,34.70
0.100,0.520,245,19.11,53.56,36.33
0.100,0.620,286,16.71,55.33,36.02
0.100,0.720,336,8.49,66.00,37.24
0.100,0.820,351,12.87,61.56,37.21
0.100,0.920,375,12.40,62.67,37.53
0.100,1.020,388,15.40,58.67,37.03
0.100,1.120,408,13.73,60.00,36.87
0.100,1.220,404,22.53,50.89,36.71
0.100,1.320,418,22.33,52.22,37.28
0.100,1.420,431,21.20,53.78,37.49
0.200,0.020,5,3.98,48.89,26.43
0.200,0.120,56,8.38,44.44,26.41
0.200,0.220,140,11.31,50.22,30.77
0.200,0.320,229,8.24,56.00,32.12
0.200,0.420,280,15.38,51.11,33.24
0.200,0.520,333,14.31,53.78,34.04
0.200,0.620,382,10.13,57.78,33.96
0.200,0.720,407,13.44,55.78,34.61
0.200,0.820,432,14.82,56.22,35.52
0.200,0.920,458,12.64,57.78,35.21
0.200,1.020,465,18.38,51.33,34.86
0.200,1.120,481,18.44,52.44,35.44
0.200,1.220,498,16.44,54.22,35.33
0.200,1.320,505,19.40,51.11,35.26
0.200,1.420,513,21.09,49.33,35.21
0.300,0.020,6,4.53,48.44,26.49
0.300,0.120,62,16.04,36.22,26.13
0.300,0.220,169,12.67,47.11,29.89
0.300,0.320,242,23.49,38.89,31.19
0.300,0.420,321,16.87,46.22,31.54
0.300,0.520,372,16.78,48.22,32.50
0.300,0.620,406,20.24,44.89,32.57
0.300,0.720,440,19.31,46.00,32.66
0.300,0.820,452,26.73,38.44,32.59
0.300,0.920,483,20.82,43.33,32.08
0.300,1.020,502,20.00,42.67,31.33
0.300,1.120,505,26.62,37.33,31.98
0.300,1.220,531,19.87,43.56,31.71
0.300,1.320,544,18.76,44.44,31.60
0.300,1.420,546,23.20,39.56,31.38
0.400,0.020,6,5.47,46.89,26.18
0.400,0.120,79,11.53,38.67,25.10
0.400,0.220,205,7.53,52.22,29.88
