T1,T2,T3,FAR,FRR,EER
0.100,0.020,4,2.42,52.22,27.32
0.100,0.120,37,5.96,48.67,27.31
0.100,0.220,82,15.76,46.89,31.32
0.100,0.320,142,13.20,53.11,33.16
0.100,0.420,196,12.33,58.22,35.28
0.100,0.520,237,13.60,60.22,36.91
0.100,0.620,265,16.96,56.89,36.92
0.100,0.720,292,19.11,57.33,38.22
0.100,0.820,323,14.96,62.00,38.48
0.100,0.920,341,17.09,60.22,38.66
0.100,1.020,363,14.91,62.00,38.46
0.100,1.120,385,11.76,64.44,38.10
0.100,1.220,376,23.78,52.44,38.11
0.100,1.320,404,15.16,62.00,38.58
0.100,1.420,400,23.18,54.22,38.70
0.200,0.020,0,4.71,48.44,26.58
0.200,0.120,53,7.42,46.44,26.93
0.200,0.220,129,11.53,50.89,31.21
0.200,0.320,209,9.47,55.33,32.40
0.200,0.420,265,12.67,55.56,34.11
0.200,0.520,308,15.11,54.89,35.00
0.200,0.620,358,9.00,60.44,34.72
0.200,0.720,384,11.07,60.22,35.64
0.200,0.820,409,11.87,62.22,37.04
0.200,0.920,425,14.53,58.67,36.60
0.200,1.020,433,19.40,53.33,36.37
0.200,1.120,446,20.69,53.56,37.12
0.200,1.220,458,21.09,52.89,36.99
0.200,1.320,468,22.31,51.11,36.71
0.200,1.420,481,20.64,53.33,36.99
0.300,0.020,5,4.73,48.22,26.48
0.300,0.120,59,14.07,39.33,26.70
0.300,0.220,155,13.76,47.11,30.43
0.300,0.320,231,18.49,46.00,32.24
0.300,0.420,302,14.51,50.00,32.26
0.300,0.520,347,16.02,51.56,33.79
0.300,0.620,392,12.27,54.89,33.58
0.300,0.720,397,26.56,42.44,34.50
0.300,0.820,422,26.16,40.89,33.52
0.300,0.920,450,21.62,46.22,33.92
0.300,1.020,465,22.78,43.56,33.17
0.300,1.120,449,39.20,27.11,33.16
0.300,1.220,479,29.51,36.44,32.98
0.300,1.320,479,35.44,30.67,33.06
0.300,1.420,499,30.24,35.78,33.01
0.400,0.020,5,5.78,46.22,26.00
0.400,0.120,74,10.27,41.11,25.69
0.400,0.220,190,7.49,53.33,30.41
0.400,0.320,269,12.44,48.67,30.56
0.400,0.420,336,11.47,49.78,30.62
0.400,0.520,369,19.44,44.89,32.17
0.400,0.620,405,19.67,44.67,32.17
0.400,0.720,424,26.31,37.56,31.93
0.400,0.820,454,22.31,40.44,31.38
0.400,0.920,453,33.38,29.11,31.24
0.400,1.020,472,31.91,30.00,30.96
0.400,1.120,477,36.31,25.56,30.93
0.400,1.220,490,35.82,25.33,30.58
0.400,1.320,497,37.56,24.67,31.11
0.400,1.420,522,29.91,31.33,30.62
0.500,0.020,5,7.18,44.89,26.03
0.500,0.120,81,12.89,39.11,26.00
0.500,0.220,207,8.07,51.11,29.59
0.500,0.320,287,13.80,46.89,30.34
0.500,0.420,355,12.78,47.78,30.28
0.500,0.520,396,15.89,46.22,31.06
0.500,0.620,438,13.53,48.89,31.21
0.500,0.720,447,23.18,37.33,30.26
0.500,0.820,463,26.73,35.11,30.92
0.500,0.920,455,40.11,20.44,30.28
0.500,1.020,478,36.09,24.44,30.27
0.500,1.120,492,35.56,24.00,29.78
0.500,1.220,500,37.98,21.78,29.88
0.500,1.320,506,40.04,20.22,30.13
0.500,1.420,548,24.07,35.11,29.59
0.600,0.020,0,10.62,42.44,26.53
0.600,0.120,90,13.20,38.89,26.04
0.600,0.220,223,8.13,50.67,29.40
0.600,0.320,304,14.02,44.89,29.46
0.600,0.420,363,16.89,43.33,30.11
0.600,0.520,404,20.36,40.67,30.51
0.600,0.620,453,12.84,47.78,30.31
0.600,0.720,461,23.27,36.22,29.74
0.600,0.820,477,26.16,33.33,29.74
0.600,0.920,482,32.60,25.78,29.19
0.600,1.020,501,30.64,28.00,29.32
0.600,1.120,506,34.71,24.22,29.47
0.600,1.220,521,32.80,26.22,29.51
0.600,1.320,524,35.93,23.11,29.52
0.600,1.420,511,44.40,13.56,28.98
0.700,0.020,6,7.16,45.11,26.13
0.700,0.120,106,8.20,44.22,26.21
0.700,0.220,231,11.51,46.67,29.09
0.700,0.320,321,12.53,45.33,28.93
0.700,0.420,387,11.96,48.22,30.09
0.700,0.520,422,17.24,42.00,29.62
0.700,0.620,440,25.24,32.44,28.84
0.700,0.720,461,27.96,28.67,28.31
0.700,0.820,463,37.82,19.78,28.80
0.700,0.920,496,30.53,25.78,28.16
0.700,1.020,499,35.69,20.89,28.29
0.700,1.120,527,29.29,28.44,28.87
0.700,1.220,498,45.56,11.33,28.44
0.700,1.320,521,40.31,16.22,28.27
0.700,1.420,530,40.27,16.00,28.13
0.800,0.020,6,7.93,44.44,26.19
0.800,0.120,107,13.22,39.78,26.50
0.800,0.220,247,9.31,48.00,28.66
0.800,0.320,319,19.93,36.67,28.30
0.800,0.420,397,12.60,45.11,28.86
0.800,0.520,439,13.96,44.44,29.20
0.800,0.620,439,30.67,26.67,28.67
0.800,0.720,475,25.44,30.44,27.94
0.800,0.820,499,24.58,31.33,27.96
0.800,0.920,521,22.20,33.11,27.66
0.800,1.020,521,29.60,26.22,27.91
0.800,1.120,542,25.64,30.22,27.93
0.800,1.220,514,41.98,12.89,27.43
0.800,1.320,542,34.80,20.00,27.40
0.800,1.420,535,40.98,13.78,27.38
0.900,0.020,6,8.89,43.56,26.22
0.900,0.120,115,12.78,39.33,26.06
0.900,0.220,259,8.31,48.67,28.49
0.900,0.320,332,17.96,37.56,27.76
0.900,0.420,381,25.67,31.56,28.61
0.900,0.520,436,19.47,36.89,28.18
0.900,0.620,456,26.13,29.56,27.84
0.900,0.720,483,24.98,30.44,27.71
0.900,0.820,505,25.56,29.78,27.67
0.900,0.920,531,21.20,33.33,27.27
0.900,1.020,541,23.42,31.11,27.27
0.900,1.120,526,35.96,18.89,27.42
0.900,1.220,529,38.69,14.44,26.57
0.900,1.320,552,33.67,21.33,27.50
0.900,1.420,549,38.16,16.67,27.41
1.000,0.020,6,9.67,42.89,26.28
1.000,0.120,119,14.64,38.22,26.43
1.000,0.220,272,6.89,50.44,28.67
1.000,0.320,337,20.00,36.22,28.11
1.000,0.420,405,16.96,39.33,28.14
1.000,0.520,441,20.18,36.44,28.31
1.000,0.620,446,34.91,20.00,27.46
1.000,0.720,480,29.78,24.89,27.33
1.000,0.820,510,25.93,28.89,27.41
1.000,0.920,535,22.02,32.22,27.12
1.000,1.020,549,22.04,31.78,26.91
1.000,1.120,537,34.11,20.00,27.06
1.000,1.220,541,36.29,16.00,26.14
1.000,1.320,540,40.13,13.33,26.73
1.000,1.420,559,36.69,17.56,27.12
1.100,0.020,8,6.04,46.44,26.24
1.100,0.120,129,12.58,40.22,26.40
1.100,0.220,284,6.00,51.56,28.78
1.100,0.320,348,18.47,38.22,28.34
1.100,0.420,402,22.18,33.78,27.98
1.100,0.520,447,20.89,34.00,27.44
1.100,0.620,450,35.87,18.44,27.16
1.100,0.720,479,32.98,20.44,26.71
1.100,0.820,514,26.91,27.56,27.23
1.100,0.920,496,41.82,11.78,26.80
1.100,1.020,554,22.27,30.89,26.58
1.100,1.120,559,26.04,27.11,26.58
1.100,1.220,544,37.20,15.78,26.49
1.100,1.320,549,39.02,13.33,26.18
1.100,1.420,589,25.47,28.00,26.73
1.200,0.020,8,6.49,46.22,26.36
1.200,0.120,133,14.09,37.78,25.93
1.200,0.220,289,7.13,49.56,28.34
1.200,0.320,351,20.64,36.00,28.32
1.200,0.420,418,17.31,38.89,28.10
1.200,0.520,455,19.98,34.44,27.21
1.200,0.620,463,31.91,21.11,26.51
1.200,0.720,503,24.20,28.89,26.54
1.200,0.820,519,27.20,26.00,26.60
1.200,0.920,514,36.96,16.67,26.81
1.200,1.020,554,24.96,27.78,26.37
1.200,1.120,558,28.96,23.56,26.26
1.200,1.220,559,33.22,19.33,26.28
1.200,1.320,561,36.62,16.67,26.64
1.200,1.420,570,36.31,16.67,26.49
1.300,0.020,10,4.47,48.44,26.46
1.300,0.120,134,17.64,34.67,26.16
1.300,0.220,295,7.51,48.22,27.87
1.300,0.320,368,15.27,39.11,27.19
1.300,0.420,416,21.58,34.89,28.23
1.300,0.520,448,26.62,28.44,27.53
1.300,0.620,468,32.44,20.67,26.56
1.300,0.720,498,29.42,24.22,26.82
1.300,0.820,529,24.53,28.44,26.49
1.300,0.920,515,38.42,14.89,26.66
1.300,1.020,561,23.69,28.22,25.96
1.300,1.120,558,31.04,20.44,25.74
1.300,1.220,587,22.33,29.56,25.94
1.300,1.320,588,26.27,26.44,26.36
1.300,1.420,596,26.49,26.22,26.36
