T1,T2,T3,FAR,FRR,EER
0.100,0.020,5,2.42,52.22,27.32
0.100,0.120,39,7.71,47.56,27.63
0.100,0.220,90,16.71,46.67,31.69
0.100,0.320,155,14.38,52.22,33.30
0.100,0.420,214,13.36,58.00,35.68
0.100,0.520,264,11.56,63.11,37.33
0.100,0.620,287,19.04,55.11,37.08
0.100,0.720,337,10.09,66.44,38.27
0.100,0.820,352,15.07,61.78,38.42
0.100,0.920,376,14.69,62.89,38.79
0.100,1.020,388,18.22,58.44,38.33
0.100,1.120,408,16.60,59.78,38.19
0.100,1.220,425,15.00,62.00,38.50
0.100,1.320,435,16.58,61.11,38.84
0.100,1.420,447,16.27,61.78,39.02
0.200,0.020,5,4.04,48.89,26.47
0.200,0.120,61,5.96,47.78,26.87
0.200,0.220,146,9.89,53.11,31.50
0.200,0.320,229,10.02,56.00,33.01
0.200,0.420,282,17.24,52.00,34.62
0.200,0.520,336,15.31,55.33,35.32
0.200,0.620,385,10.67,59.11,34.89
0.200,0.720,418,10.67,60.67,35.67
0.200,0.820,433,17.42,56.22,36.82
0.200,0.920,459,14.69,58.22,36.46
0.200,1.020,465,21.60,50.67,36.13
0.200,1.120,498,12.49,60.67,36.58
0.200,1.220,499,18.87,54.22,36.54
0.200,1.320,507,21.51,52.00,36.76
0.200,1.420,518,21.33,51.56,36.44
0.300,0.020,6,4.58,48.44,26.51
0.300,0.120,62,17.87,36.00,26.93
0.300,0.220,178,10.31,51.33,30.82
0.300,0.320,264,13.40,51.78,32.59
0.300,0.420,329,15.47,50.22,32.84
0.300,0.520,376,17.47,50.22,33.84
0.300,0.620,416,17.38,50.00,33.69
0.300,0.720,438,23.60,44.67,34.13
0.300,0.820,457,27.64,40.44,34.04
0.300,0.920,493,18.24,48.67,33.46
0.300,1.020,502,23.33,42.44,32.89
0.300,1.120,521,20.47,45.33,32.90
0.300,1.220,528,24.09,41.56,32.82
0.300,1.320,546,20.71,45.11,32.91
0.300,1.420,546,26.62,38.67,32.64
0.400,0.020,6,5.60,46.67,26.13
0.400,0.120,79,13.27,38.44,25.86
0.400,0.220,206,8.96,52.44,30.70
0.400,0.320,298,11.22,50.44,30.83
0.400,0.420,369,11.00,50.22,30.61
0.400,0.520,405,18.07,45.56,31.81
0.400,0.620,443,18.13,45.11,31.62
0.400,0.720,472,19.58,42.44,31.01
0.400,0.820,488,24.49,37.56,31.02
0.400,0.920,512,21.44,39.11,30.28
0.400,1.020,521,26.13,34.89,30.51
0.400,1.120,540,23.22,36.89,30.06
0.400,1.220,547,26.13,34.67,30.40
0.400,1.320,554,28.71,32.00,30.36
0.400,1.420,563,29.49,30.22,29.86
0.500,0.020,6,6.84,44.89,25.87
0.500,0.120,91,11.98,40.67,26.32
0.500,0.220,233,6.36,54.44,30.40
0.500,0.320,318,12.56,48.44,30.50
0.500,0.420,375,19.07,42.44,30.76
0.500,0.520,427,17.69,44.00,30.84
0.500,0.620,463,18.49,43.78,31.13
0.500,0.720,494,17.96,40.89,29.42
0.500,0.820,513,20.18,39.56,29.87
0.500,0.920,523,24.62,33.78,29.20
0.500,1.020,550,18.89,38.89,28.89
0.500,1.120,542,30.87,27.33,29.10
0.500,1.220,551,32.27,25.33,28.80
0.500,1.320,563,32.00,26.00,29.00
0.500,1.420,577,29.64,27.56,28.60
0.600,0.020,6,7.84,44.67,26.26
0.600,0.120,106,9.58,43.11,26.34
0.600,0.220,244,8.93,50.67,29.80
0.600,0.320,337,12.44,47.11,29.78
0.600,0.420,401,14.38,45.78,30.08
0.600,0.520,443,17.82,43.11,30.47
0.600,0.620,468,23.96,35.33,29.64
0.600,0.720,503,20.00,38.22,29.11
0.600,0.820,516,25.00,33.11,29.06
0.600,0.920,531,27.24,30.67,28.96
0.600,1.020,555,22.40,35.11,28.76
0.600,1.120,561,26.51,30.67,28.59
0.600,1.220,579,23.04,34.67,28.86
0.600,1.320,581,27.24,29.33,28.29
0.600,1.420,584,30.73,26.00,28.37
0.700,0.020,6,8.51,43.78,26.14
0.700,0.120,119,7.64,45.78,26.71
0.700,0.220,260,9.00,49.33,29.17
0.700,0.320,346,15.49,43.11,29.30
0.700,0.420,423,11.62,48.89,30.26
0.700,0.520,456,17.56,41.11,29.33
0.700,0.620,484,21.04,35.78,28.41
0.700,0.720,497,28.82,27.78,28.30
0.700,0.820,523,27.00,29.78,28.39
0.700,0.920,538,27.84,27.56,27.70
0.700,1.020,561,23.62,32.00,27.81
0.700,1.120,563,29.76,26.22,27.99
0.700,1.220,554,40.38,15.33,27.86
0.700,1.320,582,30.82,24.00,27.41
0.700,1.420,582,35.67,18.89,27.28
0.800,0.020,6,9.47,42.67,26.07
0.800,0.120,122,11.11,42.00,26.56
0.800,0.220,266,11.84,45.56,28.70
0.800,0.320,348,20.80,36.44,28.62
0.800,0.420,421,16.98,40.00,28.49
0.800,0.520,475,13.62,43.33,28.48
0.800,0.620,493,20.93,34.44,27.69
0.800,0.720,511,25.60,28.00,26.80
0.800,0.820,544,19.47,34.89,27.18
0.800,0.920,558,21.07,31.11,26.09
0.800,1.020,563,26.09,27.56,26.82
0.800,1.120,575,26.38,26.44,26.41
0.800,1.220,579,30.33,22.22,26.28
0.800,1.320,591,29.24,23.11,26.18
0.800,1.420,607,25.22,26.67,25.94
0.900,0.020,6,10.62,41.78,26.20
0.900,0.120,123,16.16,36.22,26.19
0.900,0.220,289,6.67,49.78,28.22
0.900,0.320,366,16.27,40.00,28.13
0.900,0.420,425,20.00,36.22,28.11
0.900,0.520,462,24.11,32.00,28.06
0.900,0.620,500,20.91,32.89,26.90
0.900,0.720,528,19.42,33.11,26.27
0.900,0.820,545,22.40,30.44,26.42
0.900,0.920,561,22.60,28.67,25.63
0.900,1.020,563,28.84,23.33,26.09
0.900,1.120,579,26.87,24.44,25.66
0.900,1.220,595,24.38,27.11,25.74
0.900,1.320,592,30.93,21.33,26.13
0.900,1.420,602,30.22,21.56,25.89
1.000,0.020,9,5.56,46.67,26.11
1.000,0.120,129,17.53,36.44,26.99
1.000,0.220,291,9.82,47.11,28.47
1.000,0.320,372,17.93,38.67,28.30
1.000,0.420,434,19.16,37.11,28.13
