T1,T2,T3,FAR,FRR,EER
0.100,0.020,0,2.82,52.00,27.41
0.100,0.120,44,9.82,50.44,30.13
0.100,0.220,107,16.44,56.22,36.33
0.100,0.320,165,26.82,54.44,40.63
0.100,0.420,238,21.73,67.56,44.64
0.100,0.520,283,27.51,67.11,47.31
0.100,0.620,331,25.07,72.44,48.76
0.100,0.720,464,1.31,98.00,49.66
0.100,0.820,164,99.09,0.44,49.77
0.100,0.920,226,97.47,2.00,49.73
0.100,1.020,234,98.18,1.11,49.64
0.100,1.120,225,98.91,0.22,49.57
0.100,1.220,220,99.24,0.22,49.73
0.100,1.320,253,98.96,0.44,49.70
0.100,1.420,259,99.02,0.44,49.73
0.200,0.020,5,4.20,48.89,26.54
0.200,0.120,63,12.51,47.33,29.92
0.200,0.220,145,27.84,48.22,38.03
0.200,0.320,264,13.93,68.89,41.41
0.200,0.420,319,25.69,64.22,44.96
0.200,0.520,385,22.53,72.22,47.38
0.200,0.620,512,1.56,96.67,49.11
0.200,0.720,238,98.71,0.44,49.58
0.200,0.820,237,99.18,0.00,49.59
0.200,0.920,296,98.67,0.44,49.56
0.200,1.020,320,98.49,0.22,49.36
0.200,1.120,330,98.69,0.22,49.46
0.200,1.220,351,98.73,0.22,49.48
0.200,1.320,346,98.98,0.22,49.60
0.200,1.420,324,99.31,0.00,49.66
0.300,0.020,6,5.13,47.56,26.34
0.300,0.120,80,12.80,49.11,30.96
0.300,0.220,200,16.22,58.67,37.44
0.300,0.320,297,21.84,62.89,42.37
0.300,0.420,383,19.36,70.67,45.01
0.300,0.520,443,19.84,75.11,47.48
0.300,0.620,562,0.91,97.33,49.12
0.300,0.720,282,98.78,0.00,49.39
0.300,0.820,344,97.87,0.44,49.16
0.300,0.920,346,98.51,0.22,49.37
0.300,1.020,380,98.31,0.22,49.27
0.300,1.120,390,98.49,0.44,49.47
0.300,1.220,390,98.71,0.44,49.58
0.300,1.320,367,99.24,0.00,49.62
0.300,1.420,403,98.91,0.22,49.57
0.400,0.020,6,6.33,46.00,26.17
0.400,0.120,89,16.98,42.67,29.82
0.400,0.220,233,15.29,60.89,38.09
0.400,0.320,325,26.18,58.00,42.09
0.400,0.420,409,24.87,65.11,44.99
0.400,0.520,482,16.00,79.33,47.67
0.400,0.620,574,1.76,96.22,48.99
0.400,0.720,617,0.87,97.78,49.32
0.400,0.820,342,98.73,0.00,49.37
0.400,0.920,365,98.60,0.22,49.41
0.400,1.020,418,98.00,0.67,49.33
0.400,1.120,359,99.11,0.00,49.56
0.400,1.220,426,98.60,0.44,49.52
0.400,1.320,445,98.56,0.44,49.50
0.400,1.420,427,98.98,0.00,49.49
0.500,0.020,6,7.73,44.44,26.09
0.500,0.120,99,19.56,42.44,31.00
0.500,0.220,249,19.33,57.78,38.56
0.500,0.320,366,18.38,65.33,41.86
0.500,0.420,424,31.09,59.56,45.32
0.500,0.520,514,11.51,83.33,47.42
0.500,0.620,492,50.29,47.11,48.70
0.500,0.720,578,13.80,84.00,48.90
0.500,0.820,419,96.87,1.78,49.32
0.500,0.920,443,96.93,1.78,49.36
0.500,1.020,397,98.76,0.00,49.38
0.500,1.120,419,98.64,0.00,49.32
0.500,1.220,435,98.67,0.00,49.33
0.500,1.320,450,98.60,0.00,49.30
0.500,1.420,673,23.27,75.33,49.30
0.600,0.020,0,10.62,42.44,26.53
0.600,0.120,116,15.31,46.67,30.99
0.600,0.220,271,18.62,57.56,38.09
0.600,0.320,389,17.13,67.56,42.34
0.600,0.420,469,15.22,74.89,45.06
0.600,0.520,537,8.31,85.78,47.04
0.600,0.620,510,49.02,47.11,48.07
0.600,0.720,600,9.29,86.89,48.09
0.600,0.820,612,13.87,83.33,48.60
0.600,0.920,636,10.84,86.89,48.87
0.600,1.020,640,17.69,80.22,48.96
0.600,1.120,671,9.42,87.78,48.60
0.600,1.220,685,8.91,88.67,48.79
0.600,1.320,678,18.82,78.89,48.86
0.600,1.420,693,15.80,82.00,48.90
0.700,0.020,6,9.69,43.56,26.62
0.700,0.120,130,13.58,49.11,31.34
0.700,0.220,287,19.62,56.89,38.26
0.700,0.320,393,24.49,59.78,42.13
0.700,0.420,478,17.78,71.56,44.67
0.700,0.520,489,45.84,46.44,46.14
0.700,0.620,520,50.62,41.78,46.20
0.700,0.720,593,17.11,77.56,47.33
0.700,0.820,603,25.42,69.78,47.60
