T1,T2,T3,FAR,FRR,EER
0.100,0.010,4,0.42,61.33,30.88
0.100,0.020,4,2.40,52.22,27.31
0.100,0.030,5,5.31,47.78,26.54
0.100,0.040,7,6.16,46.44,26.30
0.100,0.050,7,11.47,39.56,25.51
0.100,0.060,12,5.58,45.11,25.34
0.100,0.070,14,6.73,43.56,25.14
0.100,0.080,14,12.07,38.89,25.48
0.100,0.090,21,6.13,45.56,25.84
0.100,0.100,22,10.33,43.11,26.72
0.100,0.110,29,7.64,46.67,27.16
0.100,0.120,34,6.80,46.22,26.51
0.200,0.010,5,0.58,60.89,30.73
0.200,0.020,3,4.47,48.67,26.57
0.200,0.030,7,5.40,46.67,26.03
0.200,0.040,11,3.58,47.11,25.34
0.200,0.050,12,6.64,41.78,24.21
0.200,0.060,14,9.51,37.11,23.31
0.200,0.070,16,13.36,34.22,23.79
0.200,0.080,23,9.58,38.22,23.90
0.200,0.090,28,9.76,39.78,24.77
0.200,0.100,31,13.76,36.67,25.21
0.200,0.110,42,8.71,42.22,25.47
0.200,0.120,49,8.58,43.78,26.18
0.300,0.010,5,0.80,60.44,30.62
0.300,0.020,5,4.53,48.22,26.38
0.300,0.030,7,7.40,43.56,25.48
0.300,0.040,12,4.96,44.22,24.59
0.300,0.050,13,10.04,37.78,23.91
0.300,0.060,20,6.56,39.78,23.17
0.300,0.070,24,8.11,37.56,22.83
0.300,0.080,30,9.49,37.56,23.52
0.300,0.090,36,10.02,38.00,24.01
0.300,0.100,42,11.73,36.89,24.31
0.300,0.110,48,13.64,36.22,24.93
0.300,0.120,58,12.11,38.22,25.17
0.400,0.010,5,0.98,59.78,30.38
0.400,0.020,5,5.56,46.44,26.00
0.400,0.030,7,9.49,39.78,24.63
0.400,0.040,12,7.47,40.22,23.84
0.400,0.050,20,3.29,42.89,23.09
0.400,0.060,23,6.89,37.78,22.33
0.400,0.070,28,8.71,35.11,21.91
0.400,0.080,37,7.76,37.78,22.77
0.400,0.090,45,8.02,37.56,22.79
0.400,0.100,51,10.91,36.44,23.68
0.400,0.110,64,7.76,41.33,24.54
0.400,0.120,66,15.09,33.78,24.43
0.500,0.010,5,1.11,58.44,29.78
0.500,0.020,5,6.93,44.89,25.91
0.500,0.030,8,8.73,39.56,24.14
0.500,0.040,15,4.82,42.44,23.63
0.500,0.050,22,3.49,42.22,22.86
0.500,0.060,26,7.07,37.78,22.42
0.500,0.070,33,7.69,36.00,21.84
0.500,0.080,40,9.67,36.00,22.83
0.500,0.090,47,11.89,34.67,23.28
0.500,0.100,60,9.33,38.89,24.11
0.500,0.110,70,9.58,39.11,24.34
0.500,0.120,77,13.40,36.00,24.70
0.600,0.010,5,1.27,58.44,29.86
0.600,0.020,6,5.98,46.89,26.43
0.600,0.030,9,7.76,40.89,24.32
0.600,0.040,15,6.47,41.33,23.90
0.600,0.050,22,5.84,40.00,22.92
0.600,0.060,29,7.04,37.56,22.30
0.600,0.070,38,6.91,37.56,22.23
0.600,0.080,46,8.71,37.56,23.13
0.600,0.090,58,7.71,39.78,23.74
0.600,0.100,66,9.64,37.33,23.49
