T1,T2,T3,FAR,FRR,EER
0.100,0.010,5,0.47,61.33,30.90
0.100,0.020,5,2.27,52.22,27.24
0.100,0.030,7,4.00,48.89,26.44
0.100,0.040,8,6.09,46.22,26.16
0.100,0.050,11,4.96,46.44,25.70
0.100,0.060,13,6.00,44.00,25.00
0.100,0.070,14,9.44,40.67,25.06
0.100,0.080,14,15.62,35.33,25.48
0.100,0.090,22,7.96,44.22,26.09
0.100,0.100,22,14.20,39.33,26.77
0.100,0.110,34,6.22,48.22,27.22
0.100,0.120,38,6.67,47.11,26.89
0.200,0.010,5,0.73,60.89,30.81
0.200,0.020,5,3.91,48.89,26.40
0.200,0.030,7,6.82,44.22,25.52
0.200,0.040,13,2.78,47.56,25.17
0.200,0.050,13,7.22,41.11,24.17
0.200,0.060,15,10.71,36.67,23.69
0.200,0.070,22,7.00,40.00,23.50
0.200,0.080,28,7.20,40.89,24.04
0.200,0.090,30,11.44,38.00,24.72
0.200,0.100,31,19.04,31.78,25.41
0.200,0.110,47,8.47,42.89,25.68
0.200,0.120,56,7.44,44.44,25.94
0.300,0.010,5,0.91,60.44,30.68
0.300,0.020,6,4.29,48.44,26.37
0.300,0.030,8,6.89,44.00,25.44
0.300,0.040,13,5.16,43.78,24.47
0.300,0.050,14,10.91,37.33,24.12
0.300,0.060,23,5.73,41.33,23.53
0.300,0.070,29,6.22,40.89,23.56
0.300,0.080,33,9.98,38.00,23.99
0.300,0.090,38,12.29,36.67,24.48
0.300,0.100,46,12.64,37.11,24.88
0.300,0.110,56,11.27,39.78,25.52
0.300,0.120,61,15.64,35.56,25.60
0.400,0.010,5,1.07,59.78,30.42
0.400,0.020,6,5.33,46.89,26.11
0.400,0.030,8,9.04,39.33,24.19
0.400,0.040,13,7.91,39.33,23.62
0.400,0.050,22,3.62,43.11,23.37
0.400,0.060,26,6.73,38.44,22.59
0.400,0.070,32,7.91,35.78,21.84
0.400,0.080,39,9.91,36.22,23.07
0.400,0.090,49,8.91,37.56,23.23
0.400,0.100,56,11.36,36.44,23.90
0.400,0.110,65,12.76,36.67,24.71
0.400,0.120,79,10.24,39.11,24.68
0.500,0.010,5,1.27,58.44,29.86
0.500,0.020,6,6.56,44.89,25.72
0.500,0.030,9,8.29,39.33,23.81
0.500,0.040,13,10.49,35.78,23.13
0.500,0.050,24,4.02,41.78,22.90
0.500,0.060,28,8.11,37.11,22.61
0.500,0.070,37,7.16,36.89,22.02
0.500,0.080,45,9.29,37.11,23.20
0.500,0.090,56,8.78,38.89,23.83
0.500,0.100,64,11.18,37.56,24.37
0.500,0.110,78,9.42,39.56,24.49
0.500,0.120,88,11.40,38.67,25.03
0.600,0.010,8,0.49,59.33,29.91
0.600,0.020,6,7.62,44.67,26.14
0.600,0.030,10,8.02,40.22,24.12
0.600,0.040,13,13.44,34.44,23.94
0.600,0.050,24,6.33,39.78,23.06
0.600,0.060,32,7.47,37.11,22.29
0.600,0.070,39,9.73,35.78,22.76
0.600,0.080,46,13.67,33.33,23.50
0.600,0.090,58,12.71,35.33,24.02
0.600,0.100,73,9.91,38.44,24.18
0.600,0.110,84,11.69,37.11,24.40
0.600,0.120,98,11.56,38.67,25.11
0.700,0.010,8,0.58,58.89,29.73
0.700,0.020,6,8.24,43.78,26.01
0.700,0.030,10,9.38,39.11,24.24
0.700,0.040,23,2.04,46.67,24.36
0.700,0.050,24,8.91,37.78,23.34
0.700,0.060,33,9.36,36.44,22.90
0.700,0.070,45,7.98,38.22,23.10
0.700,0.080,59,6.47,41.33,23.90
0.700,0.090,66,11.11,37.78,24.44
0.700,0.100,81,9.73,39.78,24.76
0.700,0.110,94,10.80,39.11,24.96
0.700,0.120,117,6.42,44.89,25.66
0.800,0.010,8,0.69,58.67,29.68
0.800,0.020,6,9.18,42.67,25.92
0.800,0.030,11,8.82,39.11,23.97
0.800,0.040,21,4.40,44.22,24.31
0.800,0.050,24,11.31,35.78,23.54
0.800,0.060,33,12.18,34.89,23.53
0.800,0.070,45,11.13,36.44,23.79
0.800,0.080,61,8.27,40.00,24.13
0.800,0.090,71,11.44,37.56,24.50
0.800,0.100,83,13.47,37.33,25.40
0.800,0.110,103,9.80,40.00,24.90
0.800,0.120,122,8.53,42.44,25.49
0.900,0.010,8,0.73,58.22,29.48
0.900,0.020,6,10.29,41.78,26.03
0.900,0.030,10,12.02,35.33,23.68
0.900,0.040,20,6.71,41.78,24.24
0.900,0.050,24,13.98,32.89,23.43
0.900,0.060,43,5.53,42.44,23.99
0.900,0.070,49,10.87,38.22,24.54
0.900,0.080,63,10.49,37.78,24.13
0.900,0.090,75,12.84,36.22,24.53
0.900,0.100,86,16.29,33.78,25.03
0.900,0.110,114,7.93,41.11,24.52
0.900,0.120,124,12.20,36.89,24.54
1.000,0.010,8,0.80,58.22,29.51
1.000,0.020,9,4.73,46.67,25.70
1.000,0.030,15,4.67,43.56,24.11
1.000,0.040,20,8.29,39.78,24.03
1.000,0.050,25,15.33,31.11,23.22
1.000,0.060,41,9.36,38.00,23.68
1.000,0.070,49,14.07,34.22,24.14
1.000,0.080,66,11.31,36.67,23.99
1.000,0.090,76,16.22,33.11,24.67
1.000,0.100,94,14.80,35.11,24.96
1.000,0.110,118,9.40,39.78,24.59
1.000,0.120,124,16.84,34.00,25.42
1.100,0.010,8,0.82,58.00,29.41
1.100,0.020,9,5.04,46.44,25.74
1.100,0.030,13,8.53,39.56,24.04
1.100,0.040,20,9.93,37.33,23.63
