T1,T2,T3,FAR,FRR,EER
0.100,0.010,5,0.51,61.33,30.92
0.100,0.020,5,2.36,52.22,27.29
0.100,0.030,7,4.18,48.89,26.53
0.100,0.040,8,6.44,46.22,26.33
0.100,0.050,8,11.69,40.22,25.96
0.100,0.060,13,6.96,44.00,25.48
0.100,0.070,16,6.80,43.78,25.29
0.100,0.080,15,14.07,37.56,25.81
0.100,0.090,23,7.31,45.56,26.43
0.100,0.100,23,13.58,40.89,27.23
0.100,0.110,34,6.96,48.22,27.59
0.100,0.120,40,6.00,48.44,27.22
0.200,0.010,5,0.73,60.89,30.81
0.200,0.020,5,3.98,48.89,26.43
0.200,0.030,7,7.20,44.22,25.71
0.200,0.040,13,3.33,47.56,25.44
0.200,0.050,14,6.33,42.67,24.50
0.200,0.060,15,11.36,36.67,24.01
0.200,0.070,22,8.04,40.00,24.02
0.200,0.080,28,7.73,40.89,24.31
0.200,0.090,30,12.40,38.00,25.20
0.200,0.100,31,20.13,31.33,25.73
0.200,0.110,47,9.42,42.89,26.16
0.200,0.120,56,8.38,44.44,26.41
0.300,0.010,5,0.91,60.44,30.68
0.300,0.020,6,4.53,48.44,26.49
0.300,0.030,8,7.33,44.00,25.67
0.300,0.040,11,8.82,40.89,24.86
0.300,0.050,14,11.76,37.33,24.54
0.300,0.060,23,6.53,41.33,23.93
0.300,0.070,27,8.87,38.67,23.77
0.300,0.080,33,10.84,37.78,24.31
0.300,0.090,41,10.33,39.56,24.94
0.300,0.100,46,13.98,37.11,25.54
0.300,0.110,59,9.91,42.00,25.96
0.300,0.120,62,16.04,36.22,26.13
0.400,0.010,5,1.09,59.78,30.43
0.400,0.020,6,5.47,46.89,26.18
0.400,0.030,8,9.58,39.33,24.46
0.400,0.040,13,8.80,39.33,24.07
0.400,0.050,24,2.67,44.67,23.67
0.400,0.060,26,7.22,38.44,22.83
0.400,0.070,32,8.73,35.78,22.26
0.400,0.080,39,10.71,36.22,23.47
0.400,0.090,49,9.71,37.56,23.63
0.400,0.100,61,8.53,40.00,24.27
0.400,0.110,76,5.73,44.44,25.09
0.400,0.120,79,11.53,38.67,25.10
0.500,0.010,5,1.27,58.44,29.86
0.500,0.020,6,6.73,44.89,25.81
0.500,0.030,9,8.96,39.33,24.14
0.500,0.040,13,11.31,35.78,23.54
0.500,0.050,24,4.62,41.78,23.20
0.500,0.060,32,5.24,40.67,22.96
0.500,0.070,35,10.20,34.67,22.43
0.500,0.080,45,10.11,37.11,23.61
0.500,0.090,55,10.47,38.00,24.23
0.500,0.100,66,10.80,39.11,24.96
0.500,0.110,79,9.73,40.22,24.98
0.500,0.120,88,12.73,38.44,25.59
0.600,0.010,5,1.53,58.44,29.99
0.600,0.020,6,7.78,44.67,26.22
0.600,0.030,10,8.69,40.22,24.46
0.600,0.040,13,14.53,34.22,24.38
0.600,0.050,25,5.93,40.67,23.30
0.600,0.060,33,7.29,37.56,22.42
0.600,0.070,42,7.71,38.67,23.19
0.600,0.080,46,14.93,33.11,24.02
0.600,0.090,59,12.91,36.22,24.57
0.600,0.100,73,11.09,38.44,24.77
0.600,0.110,86,11.62,38.44,25.03
0.600,0.120,106,8.13,43.33,25.73
0.700,0.010,8,0.71,58.89,29.80
0.700,0.020,6,8.36,43.78,26.07
0.700,0.030,10,10.20,39.11,24.66
0.700,0.040,23,2.44,46.67,24.56
0.700,0.050,24,9.76,37.78,23.77
0.700,0.060,33,10.24,36.22,23.23
0.700,0.070,45,8.69,38.00,23.34
0.700,0.080,59,7.38,41.33,24.36
0.700,0.090,67,11.16,38.44,24.80
0.700,0.100,82,10.40,40.22,25.31
0.700,0.110,94,12.11,39.11,25.61
0.700,0.120,118,6.76,45.33,26.04
0.800,0.010,8,0.80,58.67,29.73
0.800,0.020,6,9.33,42.67,26.00
0.800,0.030,11,9.76,38.89,24.32
0.800,0.040,21,4.96,44.00,24.48
0.800,0.050,24,12.42,35.78,24.10
0.800,0.060,33,13.53,34.89,24.21
0.800,0.070,45,11.98,36.44,24.21
0.800,0.080,62,8.58,40.44,24.51
0.800,0.090,71,12.49,37.56,25.02
0.800,0.100,83,15.31,36.89,26.10
0.800,0.110,104,10.24,40.67,25.46
0.800,0.120,115,14.36,37.33,25.84
0.900,0.010,8,0.87,58.22,29.54
0.900,0.020,6,10.44,41.78,26.11
0.900,0.030,10,12.91,35.33,24.12
0.900,0.040,20,7.31,41.78,24.54
0.900,0.050,25,13.47,34.44,23.96
0.900,0.060,43,6.20,42.22,24.21
0.900,0.070,52,9.24,40.44,24.84
0.900,0.080,63,11.31,37.78,24.54
0.900,0.090,75,14.24,36.22,25.23
0.900,0.100,91,13.84,37.78,25.81
0.900,0.110,114,8.56,41.11,24.83
0.900,0.120,124,13.44,36.89,25.17
1.000,0.010,8,0.93,58.22,29.58
1.000,0.020,9,5.18,46.67,25.92
1.000,0.030,15,5.18,43.56,24.37
1.000,0.040,20,9.00,39.78,24.39
1.000,0.050,25,16.40,31.11,23.76
1.000,0.060,41,10.29,38.00,24.14
1.000,0.070,49,15.40,34.22,24.81
1.000,0.080,65,13.49,35.78,24.63
1.000,0.090,76,17.82,32.89,25.36
1.000,0.100,100,11.40,39.78,25.59
1.000,0.110,123,7.91,42.22,25.07
1.000,0.120,129,15.24,36.44,25.84
1.100,0.010,8,0.98,58.00,29.49
1.100,0.020,9,5.60,46.44,26.02
1.100,0.030,15,5.89,42.67,24.28
1.100,0.040,20,10.78,37.33,24.06
1.100,0.050,33,8.02,38.44,23.23
1.100,0.060,44,9.71,39.33,24.52
1.100,0.070,57,11.18,39.33,25.26
1.100,0.080,69,13.93,36.44,25.19
1.100,0.090,86,13.40,37.56,25.48
1.100,0.100,118,5.18,45.78,25.48
1.100,0.110,125,10.67,39.78,25.22
1.100,0.120,139,13.60,38.67,26.13
1.200,0.010,8,1.07,57.78,29.42
1.200,0.020,9,6.13,46.22,26.18
1.200,0.030,16,5.33,44.00,24.67
1.200,0.040,22,9.60,39.56,24.58
1.200,0.050,33,9.93,38.00,23.97
1.200,0.060,49,7.84,41.78,24.81
1.200,0.070,66,6.87,43.78,25.32
1.200,0.080,75,12.36,38.89,25.62
1.200,0.090,88,15.71,34.89,25.30
1.200,0.100,118,7.69,43.33,25.51
1.200,0.110,138,7.29,43.56,25.42
1.200,0.120,148,12.73,38.89,25.81
1.300,0.010,5,2.64,56.22,29.43
1.300,0.020,9,6.64,46.00,26.32
1.300,0.030,12,13.93,35.33,24.63
1.300,0.040,23,9.69,40.00,24.84
1.300,0.050,36,8.42,40.44,24.43
1.300,0.060,49,10.07,39.78,24.92
1.300,0.070,65,9.62,42.00,25.81
1.300,0.080,74,16.56,35.11,25.83
1.300,0.090,96,12.58,38.00,25.29
1.300,0.100,122,8.16,43.11,25.63
1.300,0.110,147,6.02,45.56,25.79
1.300,0.120,155,11.47,38.89,25.18
1.400,0.010,8,1.24,57.78,29.51
1.400,0.020,9,7.13,46.00,26.57
1.400,0.030,12,15.20,35.11,25.16
1.400,0.040,23,11.24,38.67,24.96
1.400,0.050,34,12.78,37.33,25.06
1.400,0.060,48,13.11,37.78,25.44
1.400,0.070,74,5.89,46.44,26.17
1.400,0.080,77,17.04,34.89,25.97
1.400,0.090,106,9.20,41.56,25.38
1.400,0.100,121,12.00,38.67,25.33
1.400,0.110,137,14.07,37.56,25.81
1.400,0.120,156,14.49,36.67,25.58
1.500,0.010,5,2.89,55.56,29.22
1.500,0.020,10,5.71,47.11,26.41
1.500,0.030,13,14.00,35.33,24.67
1.500,0.040,24,11.04,39.11,25.08
1.500,0.050,34,14.91,35.56,25.23
1.500,0.060,56,8.02,42.44,25.23
1.500,0.070,66,13.62,38.00,25.81
1.500,0.080,79,18.33,33.56,25.94
1.500,0.090,107,11.07,39.56,25.31
1.500,0.100,131,8.51,43.78,26.14
1.500,0.110,139,16.31,34.89,25.60
1.500,0.120,164,13.20,38.00,25.60
1.600,0.010,8,1.38,56.89,29.13
1.600,0.020,10,6.02,46.89,26.46
1.600,0.030,16,8.64,41.11,24.88
1.600,0.040,24,12.33,38.00,25.17
1.600,0.050,38,11.40,39.78,25.59
1.600,0.060,48,17.96,33.33,25.64
1.600,0.070,73,10.18,42.22,26.20
1.600,0.080,93,9.42,42.89,26.16
1.600,0.090,107,14.07,36.67,25.37
1.600,0.100,132,10.58,41.78,26.18
1.600,0.110,145,15.53,35.56,25.54
1.600,0.120,166,15.64,36.44,26.04
1.700,0.010,8,1.47,56.89,29.18
1.700,0.020,9,8.36,44.44,26.40
1.700,0.030,16,9.62,40.89,25.26
1.700,0.040,24,13.73,37.78,25.76
1.700,0.050,39,12.13,39.78,25.96
1.700,0.060,49,18.98,33.33,26.16
1.700,0.070,73,12.04,40.44,26.24
1.700,0.080,84,19.16,32.89,26.02
1.700,0.090,107,16.82,34.89,25.86
1.700,0.100,131,13.84,38.44,26.14
1.700,0.110,156,11.51,39.33,25.42
1.700,0.120,175,12.87,39.78,26.32
1.800,0.010,8,1.51,56.89,29.20
1.800,0.020,10,6.67,46.44,26.56
1.800,0.030,16,10.29,40.22,25.26
1.800,0.040,27,10.18,41.33,25.76
1.800,0.050,40,12.89,39.33,26.11
1.800,0.060,63,7.31,45.11,26.21
1.800,0.070,73,14.22,38.89,26.56
1.800,0.080,88,18.78,33.11,25.94
1.800,0.090,115,13.27,38.22,25.74
1.800,0.100,138,12.24,41.33,26.79
1.800,0.110,159,12.11,39.33,25.72
1.800,0.120,191,7.27,46.22,26.74
1.900,0.010,8,1.53,56.89,29.21
1.900,0.020,10,6.89,46.22,26.56
1.900,0.030,18,7.96,43.11,25.53
1.900,0.040,27,11.64,40.00,25.82
1.900,0.050,43,10.64,41.56,26.10
1.900,0.060,63,8.62,44.44,26.53
1.900,0.070,84,8.09,45.56,26.82
1.900,0.080,100,11.60,40.67,26.13
1.900,0.090,116,15.18,37.33,26.26
1.900,0.100,135,17.00,36.22,26.61
1.900,0.110,160,14.07,37.56,25.81
1.900,0.120,192,8.91,44.89,26.90
