T1,T2,T3,FAR,FRR,EER
0.100,0.010,0,0.00,100.00,50.00
0.100,0.020,0,0.22,98.00,49.11
0.100,0.030,7,1.33,98.00,49.67
0.100,0.040,3,8.22,88.44,48.33
0.100,0.050,4,12.22,82.67,47.44
0.100,0.060,0,25.33,70.67,48.00
0.100,0.070,10,12.67,84.44,48.56
0.100,0.080,13,13.33,85.56,49.44
0.100,0.090,58,0.00,100.00,50.00
0.100,0.100,5,60.89,38.89,49.89
0.100,0.110,82,0.00,100.00,50.00
0.100,0.120,94,0.00,100.00,50.00
0.200,0.010,7,1.11,98.44,49.78
0.200,0.020,0,3.78,94.67,49.22
0.200,0.030,0,8.00,91.56,49.78
0.200,0.040,0,17.11,79.78,48.44
0.200,0.050,3,28.67,68.67,48.67
0.200,0.060,4,40.67,58.00,49.33
0.200,0.070,66,0.00,100.00,50.00
0.200,0.080,78,0.00,100.00,50.00
0.200,0.090,6,69.56,28.00,48.78
0.200,0.100,7,72.67,25.56,49.11
0.200,0.110,133,0.00,100.00,50.00
0.200,0.120,151,0.00,100.00,50.00
0.300,0.010,8,1.11,98.44,49.78
0.300,0.020,0,3.78,94.67,49.22
0.300,0.030,0,10.22,89.56,49.89
0.300,0.040,0,25.33,73.33,49.33
0.300,0.050,35,0.00,100.00,50.00
0.300,0.060,53,0.00,100.00,50.00
0.300,0.070,71,0.00,100.00,50.00
0.300,0.080,99,0.00,100.00,50.00
0.300,0.090,7,77.78,22.00,49.89
0.300,0.100,129,0.00,100.00,50.00
0.300,0.110,154,0.00,100.00,50.00
0.300,0.120,176,0.00,100.00,50.00
0.400,0.010,8,1.33,98.44,49.89
0.400,0.020,6,3.11,96.44,49.78
0.400,0.030,21,0.00,100.00,50.00
0.400,0.040,22,0.00,100.00,50.00
0.400,0.050,36,0.00,100.00,50.00
0.400,0.060,64,0.00,100.00,50.00
0.400,0.070,84,0.00,100.00,50.00
0.400,0.080,115,0.00,100.00,50.00
0.400,0.090,9,80.22,19.11,49.67
0.400,0.100,11,85.56,12.44,49.00
0.400,0.110,12,89.33,9.78,49.56
0.400,0.120,14,91.11,6.67,48.89
0.500,0.010,8,1.33,98.44,49.89
0.500,0.020,4,5.11,94.44,49.78
0.500,0.030,22,0.00,100.00,50.00
0.500,0.040,23,0.00,100.00,50.00
0.500,0.050,40,0.00,100.00,50.00
0.500,0.060,66,0.00,100.00,50.00
0.500,0.070,89,0.00,100.00,50.00
0.500,0.080,120,0.00,100.00,50.00
0.500,0.090,12,80.89,17.33,49.11
0.500,0.100,177,0.00,100.00,50.00
0.500,0.110,207,0.00,100.00,50.00
0.500,0.120,14,94.89,4.44,49.67
0.600,0.010,8,1.33,98.44,49.89
0.600,0.020,0,6.44,92.67,49.56
0.600,0.030,13,1.56,98.44,50.00
0.600,0.040,32,0.00,100.00,50.00
0.600,0.050,48,0.00,100.00,50.00
0.600,0.060,88,0.00,100.00,50.00
0.600,0.070,110,0.00,100.00,50.00
0.600,0.080,129,0.00,100.00,50.00
0.600,0.090,12,87.56,11.33,49.44
0.600,0.100,13,93.11,6.67,49.89
0.600,0.110,213,0.00,100.00,50.00
0.600,0.120,13,96.89,2.44,49.67
0.700,0.010,9,1.11,98.67,49.89
0.700,0.020,21,0.00,100.00,50.00
0.700,0.030,30,0.00,100.00,50.00
0.700,0.040,37,0.00,100.00,50.00
0.700,0.050,56,0.00,100.00,50.00
0.700,0.060,100,0.00,100.00,50.00
0.700,0.070,112,0.00,100.00,50.00
0.700,0.080,135,0.00,100.00,50.00
0.700,0.090,157,0.00,100.00,50.00
0.700,0.100,14,93.56,6.22,49.89
0.700,0.110,226,0.00,100.00,50.00
0.700,0.120,13,98.00,1.56,49.78
0.800,0.010,9,1.11,98.67,49.89
0.800,0.020,22,0.00,100.00,50.00
0.800,0.030,31,0.00,100.00,50.00
0.800,0.040,38,0.00,100.00,50.00
0.800,0.050,57,0.00,100.00,50.00
0.800,0.060,103,0.00,100.00,50.00
0.800,0.070,114,0.00,100.00,50.00
0.800,0.080,138,0.00,100.00,50.00
0.800,0.090,12,92.00,7.56,49.78
0.800,0.100,13,95.11,3.33,49.22
0.800,0.110,12,97.56,2.00,49.78
0.800,0.120,16,97.11,2.00,49.56
0.900,0.010,9,1.11,98.67,49.89
0.900,0.020,22,0.00,100.00,50.00
0.900,0.030,31,0.00,100.00,50.00
0.900,0.040,39,0.00,100.00,50.00
0.900,0.050,60,0.00,100.00,50.00
0.900,0.060,111,0.00,100.00,50.00
0.900,0.070,124,0.00,100.00,50.00
0.900,0.080,150,0.00,100.00,50.00
0.900,0.090,184,0.00,100.00,50.00
0.900,0.100,13,97.56,1.56,49.56
0.900,0.110,15,97.78,1.33,49.56
0.900,0.120,11,99.33,0.00,49.67
1.000,0.010,20,0.00,100.00,50.00
1.000,0.020,22,0.00,100.00,50.00
1.000,0.030,32,0.00,100.00,50.00
1.000,0.040,40,0.00,100.00,50.00
1.000,0.050,61,0.00,100.00,50.00
1.000,0.060,113,0.00,100.00,50.00
1.000,0.070,126,0.00,100.00,50.00
1.000,0.080,149,0.00,100.00,50.00
1.000,0.090,189,0.00,100.00,50.00
1.000,0.100,14,97.56,1.56,49.56
1.000,0.110,15,98.44,1.11,49.78
1.000,0.120,12,99.33,0.00,49.67
1.100,0.010,20,0.00,100.00,50.00
1.100,0.020,22,0.00,100.00,50.00
1.100,0.030,32,0.00,100.00,50.00
1.100,0.040,49,0.00,100.00,50.00
1.100,0.050,70,0.00,100.00,50.00
1.100,0.060,126,0.00,100.00,50.00
1.100,0.070,140,0.00,100.00,50.00
1.100,0.080,161,0.00,100.00,50.00
1.100,0.090,205,0.00,100.00,50.00
1.100,0.100,15,98.22,1.11,49.67
1.100,0.110,16,98.67,0.44,49.56
1.100,0.120,22,98.44,0.89,49.67
1.200,0.010,20,0.00,100.00,50.00
1.200,0.020,22,0.00,100.00,50.00
1.200,0.030,32,0.00,100.00,50.00
1.200,0.040,50,0.00,100.00,50.00
1.200,0.050,72,0.00,100.00,50.00
1.200,0.060,128,0.00,100.00,50.00
1.200,0.070,149,0.00,100.00,50.00
1.200,0.080,177,0.00,100.00,50.00
1.200,0.090,209,0.00,100.00,50.00
1.200,0.100,15,98.67,1.33,50.00
1.200,0.110,15,99.33,0.44,49.89
1.200,0.120,24,98.22,0.89,49.56
1.300,0.010,20,0.00,100.00,50.00
1.300,0.020,14,1.11,98.44,49.78
1.300,0.030,21,1.33,98.67,50.00
1.300,0.040,62,0.00,100.00,50.00
1.300,0.050,88,0.00,100.00,50.00
1.300,0.060,133,0.00,100.00,50.00
1.300,0.070,165,0.00,100.00,50.00
1.300,0.080,197,0.00,100.00,50.00
1.300,0.090,220,0.00,100.00,50.00
1.300,0.100,263,0.00,100.00,50.00
1.300,0.110,16,99.33,0.44,49.89
1.300,0.120,31,97.56,1.78,49.67
1.400,0.010,20,0.00,100.00,50.00
1.400,0.020,13,2.44,97.11,49.78
1.400,0.030,46,0.00,100.00,50.00
1.400,0.040,63,0.00,100.00,50.00
1.400,0.050,90,0.00,100.00,50.00
1.400,0.060,135,0.00,100.00,50.00
1.400,0.070,168,0.00,100.00,50.00
1.400,0.080,200,0.00,100.00,50.00
1.400,0.090,232,0.00,100.00,50.00
1.400,0.100,267,0.00,100.00,50.00
1.400,0.110,15,99.56,0.44,50.00
1.400,0.120,37,97.33,2.22,49.78
1.500,0.010,20,0.00,100.00,50.00
1.500,0.020,13,2.89,96.89,49.89
1.500,0.030,47,0.00,100.00,50.00
1.500,0.040,65,0.00,100.00,50.00
1.500,0.050,91,0.00,100.00,50.00
1.500,0.060,137,0.00,100.00,50.00
1.500,0.070,170,0.00,100.00,50.00
1.500,0.080,206,0.00,100.00,50.00
1.500,0.090,253,0.00,100.00,50.00
1.500,0.100,302,0.00,100.00,50.00
1.500,0.110,15,99.56,0.44,50.00
1.500,0.120,13,99.78,0.00,49.89
1.600,0.010,20,0.00,100.00,50.00
1.600,0.020,14,2.67,97.33,50.00
