T1,T2,T3,FAR,FRR,EER
0.100,0.010,5,0.51,61.33,30.92
0.100,0.020,5,2.42,52.22,27.32
0.100,0.030,7,4.42,48.89,26.66
0.100,0.040,8,6.87,46.22,26.54
0.100,0.050,11,5.91,46.44,26.18
0.100,0.060,13,7.51,44.00,25.76
0.100,0.070,16,7.76,43.56,25.66
0.100,0.080,15,15.36,37.33,26.34
0.100,0.090,22,9.58,44.22,26.90
0.100,0.100,29,7.49,48.00,27.74
0.100,0.110,38,4.78,51.11,27.94
0.100,0.120,39,7.71,47.56,27.63
0.200,0.010,5,0.73,60.89,30.81
0.200,0.020,5,4.04,48.89,26.47
0.200,0.030,7,7.42,44.22,25.82
0.200,0.040,13,3.78,47.56,25.67
0.200,0.050,13,8.84,41.11,24.98
0.200,0.060,15,12.93,36.67,24.80
0.200,0.070,22,8.93,40.00,24.47
0.200,0.080,28,8.60,40.89,24.74
0.200,0.090,33,9.71,41.78,25.74
0.200,0.100,36,14.24,38.67,26.46
0.200,0.110,47,10.62,42.89,26.76
0.200,0.120,61,5.96,47.78,26.87
0.300,0.010,5,0.91,60.44,30.68
0.300,0.020,6,4.58,48.44,26.51
0.300,0.030,8,7.69,44.00,25.84
0.300,0.040,13,6.47,43.78,25.12
0.300,0.050,16,9.00,41.11,25.06
0.300,0.060,23,7.29,41.33,24.31
0.300,0.070,30,6.60,41.78,24.19
0.300,0.080,33,11.58,37.78,24.68
0.300,0.090,44,8.16,42.44,25.30
0.300,0.100,46,15.44,36.89,26.17
0.300,0.110,59,11.31,42.00,26.66
0.300,0.120,62,17.87,36.00,26.93
0.400,0.010,5,1.09,59.78,30.43
0.400,0.020,6,5.60,46.67,26.13
0.400,0.030,8,9.93,39.33,24.63
0.400,0.040,13,9.69,39.33,24.51
0.400,0.050,22,4.71,42.89,23.80
0.400,0.060,26,8.22,38.22,23.22
0.400,0.070,32,9.58,35.33,22.46
0.400,0.080,39,11.98,36.22,24.10
0.400,0.090,48,11.64,36.67,24.16
0.400,0.100,63,8.11,41.33,24.72
0.400,0.110,76,6.78,44.44,25.61
0.400,0.120,79,13.27,38.44,25.86
0.500,0.010,5,1.27,58.44,29.86
0.500,0.020,6,6.84,44.89,25.87
0.500,0.030,9,9.47,39.33,24.40
0.500,0.040,13,12.40,35.56,23.98
0.500,0.050,25,4.44,42.67,23.56
0.500,0.060,32,5.98,40.67,23.32
0.500,0.070,36,10.29,35.33,22.81
0.500,0.080,46,10.47,37.78,24.12
0.500,0.090,60,7.09,42.22,24.66
0.500,0.100,64,14.00,37.11,25.56
0.500,0.110,79,11.16,40.22,25.69
0.500,0.120,91,11.98,40.67,26.32
0.600,0.010,5,1.53,58.44,29.99
0.600,0.020,6,7.84,44.67,26.26
0.600,0.030,10,9.24,40.00,24.62
0.600,0.040,18,5.93,43.33,24.63
0.600,0.050,25,6.84,40.67,23.76
0.600,0.060,33,8.24,37.56,22.90
0.600,0.070,45,6.42,40.67,23.54
0.600,0.080,58,5.53,43.56,24.54
0.600,0.090,64,10.44,39.78,25.11
0.600,0.100,73,12.96,38.22,25.59
0.600,0.110,86,13.11,38.22,25.67
0.600,0.120,106,9.58,43.11,26.34
0.700,0.010,5,1.64,58.00,29.82
0.700,0.020,6,8.51,43.78,26.14
0.700,0.030,10,10.67,39.11,24.89
0.700,0.040,23,2.96,46.67,24.81
0.700,0.050,25,9.64,39.11,24.38
0.700,0.060,33,11.44,36.22,23.83
0.700,0.070,45,9.64,38.00,23.82
0.700,0.080,59,8.31,41.11,24.71
0.700,0.090,68,11.78,39.11,25.44
0.700,0.100,82,11.80,40.00,25.90
0.700,0.110,94,13.87,39.11,26.49
0.700,0.120,119,7.64,45.78,26.71
0.800,0.010,8,0.96,58.67,29.81
0.800,0.020,6,9.47,42.67,26.07
0.800,0.030,10,12.11,37.33,24.72
0.800,0.040,21,5.53,44.00,24.77
0.800,0.050,31,5.47,43.78,24.62
0.800,0.060,43,4.96,44.44,24.70
0.800,0.070,54,5.87,43.56,24.71
0.800,0.080,62,9.93,40.44,25.19
0.800,0.090,76,10.07,41.56,25.81
0.800,0.100,99,5.76,47.56,26.66
0.800,0.110,104,12.02,40.22,26.12
0.800,0.120,122,11.11,42.00,26.56
0.900,0.010,8,1.02,58.22,29.62
0.900,0.020,6,10.62,41.78,26.20
0.900,0.030,10,13.62,35.33,24.48
0.900,0.040,20,7.98,41.78,24.88
0.900,0.050,30,8.18,40.89,24.53
0.900,0.060,43,7.24,42.22,24.73
0.900,0.070,52,10.31,40.44,25.38
0.900,0.080,65,11.18,39.11,25.14
0.900,0.090,81,10.58,41.33,25.96
0.900,0.100,100,9.09,44.00,26.54
0.900,0.110,116,8.93,42.22,25.58
0.900,0.120,123,16.16,36.22,26.19
1.000,0.010,8,1.09,58.22,29.66
1.000,0.020,9,5.56,46.67,26.11
1.000,0.030,15,5.84,43.56,24.70
1.000,0.040,20,9.78,39.78,24.78
1.000,0.050,33,7.11,41.11,24.11
1.000,0.060,44,8.60,40.89,24.74
1.000,0.070,57,9.38,41.33,25.36
