T1,T2,T3,FAR,FRR,EER
0.100,0.010,5,0.51,61.33,30.92
0.100,0.020,0,2.82,52.00,27.41
0.100,0.030,7,5.47,48.00,26.73
0.100,0.040,8,8.73,45.78,27.26
0.100,0.050,13,6.13,48.67,27.40
0.100,0.060,14,9.53,44.44,26.99
0.100,0.070,17,11.04,43.78,27.41
0.100,0.080,21,10.73,45.56,28.14
0.100,0.090,29,7.02,50.44,28.73
0.100,0.100,32,9.80,49.78,29.79
0.100,0.110,39,9.31,50.67,29.99
0.100,0.120,44,9.82,50.44,30.13
0.200,0.010,5,0.73,60.89,30.81
0.200,0.020,5,4.20,48.89,26.54
0.200,0.030,7,8.82,44.22,26.52
0.200,0.040,13,6.18,47.33,26.76
0.200,0.050,13,12.71,39.78,26.24
0.200,0.060,22,7.20,45.11,26.16
0.200,0.070,26,9.13,43.56,26.34
0.200,0.080,29,13.13,40.89,27.01
0.200,0.090,34,16.02,40.44,28.23
0.200,0.100,44,13.20,45.56,29.38
0.200,0.110,56,10.53,48.44,29.49
0.200,0.120,63,12.51,47.33,29.92
0.300,0.010,5,0.93,60.44,30.69
0.300,0.020,6,5.13,47.56,26.34
0.300,0.030,6,13.71,39.78,26.74
0.300,0.040,13,10.33,42.67,26.50
0.300,0.050,22,5.67,47.56,26.61
0.300,0.060,24,11.02,41.11,26.07
0.300,0.070,34,8.47,43.56,26.01
0.300,0.080,41,9.96,43.78,26.87
0.300,0.090,44,15.91,39.78,27.84
0.300,0.100,62,8.89,49.33,29.11
0.300,0.110,67,14.20,46.44,30.32
0.300,0.120,80,12.80,49.11,30.96
0.400,0.010,5,1.13,59.78,30.46
0.400,0.020,6,6.33,46.00,26.17
0.400,0.030,9,10.36,40.89,25.62
0.400,0.040,13,13.87,38.44,26.16
0.400,0.050,24,6.89,43.11,25.00
0.400,0.060,32,7.56,42.67,25.11
0.400,0.070,36,12.13,38.22,25.18
0.400,0.080,43,15.49,38.00,26.74
0.400,0.090,58,10.87,44.22,27.54
0.400,0.100,65,15.49,40.67,28.08
0.400,0.110,80,13.07,44.67,28.87
0.400,0.120,89,16.98,42.67,29.82
0.500,0.010,5,1.38,58.44,29.91
0.500,0.020,6,7.73,44.44,26.09
0.500,0.030,9,12.58,38.22,25.40
0.500,0.040,20,6.02,45.78,25.90
0.500,0.050,26,7.44,41.78,24.61
0.500,0.060,34,9.38,41.33,25.36
0.500,0.070,38,15.40,34.67,25.03
0.500,0.080,46,19.18,35.33,27.26
