T1,T2,T3,FAR,FRR,EER
0.00,0.09,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.08,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.09,0,0.00,100.00,50.00
0.00,0.06,0,0.00,100.00,50.00
0.00,0.06,0,0.00,100.00,50.00
0.00,0.06,0,0.00,100.00,50.00
0.00,0.06,0,0.00,100.00,50.00
0.00,0.06,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.07,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.12,0,0.00,100.00,50.00
0.00,0.12,0,0.00,100.00,50.00
0.00,0.12,0,0.00,100.00,50.00
0.00,0.12,0,0.00,100.00,50.00
0.00,0.12,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.10,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.00,0.11,0,0.00,100.00,50.00
0.01,0.09,0,8.51,49.11,28.81
0.01,0.09,0,8.71,48.89,28.80
0.01,0.09,0,8.96,48.89,28.92
0.01,0.09,0,9.11,48.89,29.00
0.01,0.09,0,9.33,48.67,29.00
0.01,0.10,0,9.60,48.67,29.13
0.01,0.10,0,9.76,48.67,29.21
0.01,0.10,0,10.07,48.67,29.37
0.01,0.10,0,10.31,48.44,29.38
0.01,0.10,0,10.49,48.44,29.47
0.01,0.06,0,4.53,52.67,28.60
0.01,0.06,0,4.62,52.67,28.64
0.01,0.06,0,4.67,52.22,28.44
0.01,0.06,0,4.84,52.00,28.42
0.01,0.06,0,4.91,52.00,28.46
0.01,0.07,0,5.02,51.56,28.29
0.01,0.07,0,5.31,51.11,28.21
0.01,0.07,0,5.44,51.11,28.28
0.01,0.07,0,5.60,50.89,28.24
0.01,0.07,0,5.67,50.89,28.28
0.01,0.07,0,5.76,50.89,28.32
0.01,0.07,0,5.87,50.89,28.38
0.01,0.07,0,5.93,50.89,28.41
0.01,0.07,0,5.96,50.89,28.42
0.01,0.07,0,6.07,50.89,28.48
0.01,0.08,0,6.22,50.67,28.44
0.01,0.08,0,6.36,50.67,28.51
0.01,0.08,0,6.47,50.44,28.46
0.01,0.08,0,6.78,50.44,28.61
0.01,0.08,0,6.91,50.22,28.57
0.01,0.08,0,6.96,50.00,28.48
0.01,0.08,0,7.07,49.56,28.31
0.01,0.08,0,7.20,49.56,28.38
0.01,0.08,0,7.33,49.56,28.44
0.01,0.08,0,7.47,49.56,28.51
0.01,0.09,0,7.58,49.56,28.57
0.01,0.09,0,7.71,49.33,28.52
0.01,0.09,0,7.96,49.33,28.64
0.01,0.09,0,8.11,49.11,28.61
0.01,0.09,0,8.33,49.11,28.72
0.01,0.11,0,13.16,46.22,29.69
0.01,0.11,0,13.56,46.22,29.89
0.01,0.11,0,13.71,46.22,29.97
0.01,0.11,0,13.98,46.22,30.10
0.01,0.11,0,14.31,46.22,30.27
0.01,0.12,0,14.56,46.22,30.39
0.01,0.12,0,14.84,46.00,30.42
0.01,0.12,0,15.11,45.78,30.44
0.01,0.12,0,15.47,45.56,30.51
0.01,0.12,0,15.76,45.33,30.54
0.01,0.10,0,10.78,48.22,29.50
0.01,0.10,0,10.89,48.22,29.56
0.01,0.10,0,11.16,48.22,29.69
0.01,0.10,0,11.36,47.78,29.57
0.01,0.10,0,11.64,47.78,29.71
0.01,0.11,0,11.91,47.78,29.84
0.01,0.11,0,12.20,47.11,29.66
0.01,0.11,0,12.49,46.67,29.58
0.01,0.11,0,12.71,46.67,29.69
0.01,0.11,0,12.96,46.44,29.70
0.02,0.06,0,8.69,46.00,27.34
0.02,0.06,0,8.84,45.33,27.09
0.02,0.06,0,9.02,44.89,26.96
0.02,0.06,0,9.22,44.44,26.83
0.02,0.06,0,9.40,44.44,26.92
0.02,0.07,0,9.69,44.22,26.96
0.02,0.07,0,10.18,43.56,26.87
0.02,0.07,0,10.31,43.56,26.93
0.02,0.07,0,10.53,43.33,26.93
0.02,0.07,0,10.73,43.11,26.92
0.02,0.07,0,10.87,42.89,26.88
0.02,0.07,0,11.13,42.89,27.01
0.02,0.07,0,11.27,42.67,26.97
0.02,0.07,0,11.42,42.22,26.82
0.02,0.07,0,11.73,42.00,26.87
0.02,0.08,0,12.13,41.78,26.96
0.02,0.08,0,12.40,41.56,26.98
0.02,0.08,0,12.62,41.33,26.98
0.02,0.08,0,13.02,41.33,27.18
0.02,0.08,0,13.36,41.33,27.34
0.02,0.08,0,13.49,41.11,27.30
0.02,0.08,0,13.71,40.67,27.19
0.02,0.08,0,14.04,40.67,27.36
0.02,0.08,0,14.44,40.67,27.56
0.02,0.08,0,14.71,40.44,27.58
0.02,0.09,0,15.09,40.44,27.77
0.02,0.09,0,15.40,40.22,27.81
0.02,0.09,0,15.76,40.22,27.99
0.02,0.09,0,16.02,39.78,27.90
0.02,0.09,0,16.42,39.78,28.10
0.02,0.09,0,16.80,39.78,28.29
0.02,0.09,0,17.29,39.56,28.42
0.02,0.09,0,17.64,39.56,28.60
0.02,0.09,0,17.91,39.11,28.51
0.02,0.09,0,18.31,38.89,28.60
0.02,0.10,0,18.73,38.67,28.70
0.02,0.10,0,19.04,38.67,28.86
0.02,0.10,0,19.51,38.44,28.98
0.02,0.10,0,19.89,38.22,29.06
0.02,0.10,0,20.11,38.00,29.06
0.02,0.10,0,20.53,37.78,29.16
0.02,0.10,0,20.76,37.78,29.27
0.02,0.10,0,21.16,37.78,29.47
0.02,0.10,0,21.58,37.33,29.46
0.02,0.10,0,21.93,37.33,29.63
0.02,0.11,0,22.47,37.33,29.90
0.02,0.11,0,23.13,36.67,29.90
0.02,0.11,0,23.49,36.44,29.97
0.02,0.11,0,23.84,36.22,30.03
0.02,0.11,0,24.36,36.00,30.18
0.02,0.11,0,24.64,35.78,30.21
0.02,0.11,0,25.11,35.78,30.44
0.02,0.11,0,25.36,35.78,30.57
0.02,0.11,0,25.80,35.33,30.57
0.02,0.11,0,26.27,35.11,30.69
0.02,0.12,0,26.58,34.89,30.73
0.02,0.12,0,26.98,34.67,30.82
0.02,0.12,0,27.47,34.22,30.84
0.02,0.12,0,28.07,34.00,31.03
0.02,0.12,0,28.36,33.78,31.07
0.03,0.06,0,12.36,42.00,27.18
0.03,0.06,0,12.58,41.33,26.96
0.03,0.06,0,12.80,40.89,26.84
0.03,0.06,0,13.09,40.44,26.77
0.03,0.06,0,13.38,40.44,26.91
0.03,0.07,0,13.78,40.22,27.00
0.03,0.07,0,14.40,39.78,27.09
0.03,0.07,0,14.76,39.33,27.04
0.03,0.07,0,15.00,39.11,27.06
0.03,0.07,0,15.24,38.89,27.07
0.03,0.07,0,15.49,38.89,27.19
0.03,0.07,0,15.98,38.89,27.43
0.03,0.07,0,16.18,38.67,27.42
0.03,0.07,0,16.38,38.22,27.30
0.03,0.07,0,16.67,38.00,27.33
0.03,0.08,0,17.31,37.78,27.54
0.03,0.08,0,17.67,37.56,27.61
0.03,0.08,0,18.07,37.33,27.70
0.03,0.08,0,18.51,37.33,27.92
0.03,0.08,0,19.00,37.33,28.17
0.03,0.08,0,19.31,37.33,28.32
0.03,0.08,0,19.58,36.89,28.23
0.03,0.08,0,20.09,36.89,28.49
0.03,0.08,0,20.56,36.89,28.72
0.03,0.08,0,21.02,36.44,28.73
0.03,0.09,0,21.44,36.44,28.94
0.03,0.09,0,21.84,36.00,28.92
0.03,0.09,0,22.24,36.00,29.12
0.03,0.09,0,22.51,35.33,28.92
0.03,0.09,0,23.00,34.89,28.94
0.03,0.09,0,23.51,34.89,29.20
0.03,0.09,0,24.07,34.44,29.26
0.03,0.09,0,24.60,34.44,29.52
0.03,0.09,0,24.98,34.44,29.71
0.03,0.09,0,25.42,34.00,29.71
0.03,0.10,0,25.89,33.56,29.72
0.03,0.10,0,26.29,33.56,29.92
0.03,0.10,0,26.80,33.33,30.07
0.03,0.10,0,27.33,33.11,30.22
0.03,0.10,0,27.73,32.67,30.20
0.03,0.11,3,7.00,54.67,30.83
0.03,0.11,3,7.29,54.22,30.76
0.03,0.11,3,7.38,54.00,30.69
0.03,0.11,3,7.60,53.78,30.69
0.03,0.11,3,7.69,53.11,30.40
0.03,0.12,3,7.93,52.67,30.30
