T1,T2,T3,FAR,FRR,EER
0.100,0.020,8,2.78,52.00,27.39
0.100,0.120,53,13.33,48.22,30.78
0.100,0.220,143,13.82,55.78,34.80
0.100,0.320,236,10.13,62.67,36.40
0.100,0.420,297,13.58,62.44,38.01
0.100,0.520,339,16.71,62.22,39.47
0.100,0.620,367,18.47,58.89,38.68
0.100,0.720,401,13.56,64.44,39.00
0.100,0.820,404,17.00,61.33,39.17
0.100,0.920,407,18.27,60.44,39.36
0.100,1.020,404,19.27,58.00,38.63
0.100,1.120,401,17.98,58.22,38.10
0.100,1.220,392,17.98,58.44,38.21
0.100,1.320,372,22.29,54.89,38.59
0.100,1.420,366,17.58,59.56,38.57
0.200,0.020,7,4.69,48.44,26.57
0.200,0.120,82,13.76,45.78,29.77
0.200,0.220,213,13.84,55.33,34.59
0.200,0.320,319,15.98,56.44,36.21
0.200,0.420,404,14.11,60.44,37.28
0.200,0.520,448,16.89,57.56,37.22
0.200,0.620,484,14.42,59.11,36.77
0.200,0.720,505,12.98,61.11,37.04
0.200,0.820,506,15.96,60.22,38.09
0.200,0.920,509,14.20,60.22,37.21
0.200,1.020,498,16.49,56.89,36.69
0.200,1.120,489,15.29,59.11,37.20
0.200,1.220,462,22.02,51.56,36.79
0.200,1.320,453,17.56,55.78,36.67
0.200,1.420,440,14.36,58.44,36.40
0.300,0.020,0,6.62,46.89,26.76
0.300,0.120,98,18.76,41.78,30.27
0.300,0.220,271,10.78,57.33,34.06
0.300,0.320,367,22.31,48.67,35.49
0.300,0.420,470,12.82,59.33,36.08
0.300,0.520,520,12.04,58.44,35.24
0.300,0.620,531,19.60,51.11,35.36
0.300,0.720,542,21.64,48.89,35.27
0.300,0.820,525,32.18,37.78,34.98
0.300,0.920,535,24.87,44.00,34.43
0.300,1.020,521,27.38,38.89,33.13
0.300,1.120,505,28.62,38.67,33.64
0.300,1.220,489,27.84,38.00,32.92
0.300,1.320,472,26.44,39.56,33.00
0.300,1.420,430,37.82,28.44,33.13
0.400,0.020,8,7.73,45.33,26.53
0.400,0.120,121,16.36,40.22,28.29
0.400,0.220,295,16.84,50.44,33.64
0.400,0.320,431,13.62,55.11,34.37
0.400,0.420,493,21.40,47.11,34.26
0.400,0.520,550,16.51,51.78,34.14
0.400,0.620,554,26.76,39.78,33.27
0.400,0.720,576,21.73,43.56,32.64
0.400,0.820,558,31.47,34.00,32.73
0.400,0.920,564,24.53,37.33,30.93
0.400,1.020,543,30.04,32.67,31.36
0.400,1.120,518,35.02,26.67,30.84
0.400,1.220,501,34.07,27.33,30.70
0.400,1.320,482,32.51,29.33,30.92
0.400,1.420,473,24.73,36.89,30.81
0.500,0.020,8,9.27,43.11,26.19
0.500,0.120,139,15.84,41.33,28.59
0.500,0.220,328,16.36,51.56,33.96
0.500,0.320,458,16.18,51.33,33.76
0.500,0.420,535,17.16,51.56,34.36
0.500,0.520,571,20.49,46.89,33.69
0.500,0.620,568,33.38,32.44,32.91
0.500,0.720,597,22.98,39.33,31.16
0.500,0.820,599,21.47,40.00,30.73
0.500,0.920,598,17.64,41.78,29.71
0.500,1.020,583,18.91,41.33,30.12
0.500,1.120,526,39.07,20.67,29.87
0.500,1.220,508,38.13,20.89,29.51
0.500,1.320,496,32.80,26.89,29.84
0.500,1.420,463,36.87,22.89,29.88
0.600,0.020,7,10.60,42.44,26.52
0.600,0.120,155,15.89,42.00,28.94
0.600,0.220,368,10.91,56.00,33.46
0.600,0.320,486,16.47,50.00,33.23
0.600,0.420,564,15.71,51.11,33.41
0.600,0.520,588,22.73,42.22,32.48
0.600,0.620,601,26.64,36.44,31.54
0.600,0.720,600,30.36,30.89,30.62
0.600,0.820,611,23.67,35.33,29.50
0.600,0.920,580,34.42,24.44,29.43
0.600,1.020,556,39.04,19.11,29.08
0.600,1.120,540,37.98,19.33,28.66
0.600,1.220,520,37.27,20.89,29.08
0.600,1.320,512,30.09,28.89,29.49
0.600,1.420,469,38.49,20.67,29.58
0.700,0.020,13,5.29,47.11,26.20
0.700,0.120,183,10.16,48.89,29.52
0.700,0.220,390,11.56,54.00,32.78
0.700,0.320,498,20.40,45.11,32.76
0.700,0.420,584,16.18,48.89,32.53
0.700,0.520,609,21.56,40.22,30.89
0.700,0.620,635,17.96,41.78,29.87
0.700,0.720,622,26.47,31.78,29.12
0.700,0.820,592,38.76,20.00,29.38
0.700,0.920,609,25.53,30.67,28.10
0.700,1.020,595,24.80,31.33,28.07
0.700,1.120,552,36.78,19.56,28.17
0.700,1.220,511,44.73,11.11,27.92
0.700,1.320,491,42.76,14.00,28.38
0.700,1.420,474,39.18,18.89,29.03
0.800,0.020,13,6.04,46.44,26.24
0.800,0.120,193,11.80,46.22,29.01
0.800,0.220,406,12.91,50.89,31.90
0.800,0.320,527,16.47,46.22,31.34
0.800,0.420,599,16.60,45.78,31.19
0.800,0.520,626,20.44,39.33,29.89
0.800,0.620,636,23.04,36.00,29.52
0.800,0.720,649,19.42,37.56,28.49
0.800,0.820,640,21.09,35.33,28.21
0.800,0.920,622,23.91,29.33,26.62
0.800,1.020,604,24.98,28.89,26.93
0.800,1.120,584,25.27,29.33,27.30
0.800,1.220,542,34.22,19.56,26.89
0.800,1.320,513,36.62,17.78,27.20
0.800,1.420,483,37.98,17.56,27.77
0.900,0.020,13,6.73,45.56,26.14
0.900,0.120,194,17.96,40.22,29.09
0.900,0.220,436,9.27,54.22,31.74
0.900,0.320,542,16.98,45.78,31.38
0.900,0.420,609,18.22,42.44,30.33
0.900,0.520,633,22.87,36.44,29.66
0.900,0.620,655,19.31,37.33,28.32
0.900,0.720,648,23.69,32.22,27.96
0.900,0.820,644,23.13,31.78,27.46
0.900,0.920,627,25.38,27.11,26.24
0.900,1.020,611,25.02,28.00,26.51
0.900,1.120,574,33.53,19.33,26.43
0.900,1.220,542,37.18,15.11,26.14
0.900,1.320,517,37.80,16.67,27.23
0.900,1.420,492,36.80,18.67,27.73
1.000,0.020,13,7.42,44.89,26.16
1.000,0.120,218,11.93,48.00,29.97
1.000,0.220,449,10.16,52.89,31.52
1.000,0.320,548,20.13,42.44,31.29
1.000,0.420,617,20.07,39.56,29.81
1.000,0.520,639,24.96,33.78,29.37
1.000,0.620,653,24.56,31.78,28.17
1.000,0.720,633,34.11,21.33,27.72
1.000,0.820,635,30.93,23.33,27.13
1.000,0.920,634,25.18,26.67,25.92
1.000,1.020,615,26.33,25.33,25.83
1.000,1.120,585,31.07,21.33,26.20
1.000,1.220,561,31.18,21.33,26.26
1.000,1.320,513,41.09,12.67,26.88
1.000,1.420,503,34.38,20.67,27.52
1.100,0.020,13,7.87,44.67,26.27
1.100,0.120,219,17.42,42.44,29.93
1.100,0.220,463,10.27,52.89,31.58
1.100,0.320,563,18.78,42.89,30.83
1.100,0.420,626,20.62,38.44,29.53
1.100,0.520,659,19.76,37.56,28.66
1.100,0.620,670,20.07,35.11,27.59
1.100,0.720,656,26.76,27.11,26.93
1.100,0.820,642,30.36,23.33,26.84
1.100,0.920,631,29.67,23.11,26.39
1.100,1.020,620,26.64,24.22,25.43
1.100,1.120,598,27.16,24.44,25.80
1.100,1.220,571,29.02,23.33,26.18
1.100,1.320,539,32.53,20.44,26.49
1.100,1.420,500,37.91,15.78,26.84
1.200,0.020,13,8.64,44.00,26.32
1.200,0.120,232,16.76,41.33,29.04
1.200,0.220,465,13.51,49.11,31.31
1.200,0.320,581,16.24,44.67,30.46
1.200,0.420,631,22.93,35.11,29.02
1.200,0.520,668,19.18,36.67,27.92
1.200,0.620,675,21.36,33.33,27.34
1.200,0.720,673,22.11,30.67,26.39
1.200,0.820,654,27.49,25.33,26.41
1.200,0.920,650,23.18,29.11,26.14
1.200,1.020,623,27.82,22.89,25.36
1.200,1.120,602,27.80,22.67,25.23
1.200,1.220,574,29.87,21.11,25.49
1.200,1.320,549,29.71,23.11,26.41
1.200,1.420,504,38.02,16.00,27.01
1.300,0.020,13,9.31,43.78,26.54
1.300,0.120,236,19.80,38.89,29.34
1.300,0.220,476,14.02,47.78,30.90
1.300,0.320,576,22.67,37.33,30.00
1.300,0.420,635,25.18,32.89,29.03
1.300,0.520,674,19.67,36.67,28.17
1.300,0.620,679,22.29,31.78,27.03
1.300,0.720,676,23.40,30.67,27.03
1.300,0.820,647,33.67,19.33,26.50
1.300,0.920,644,28.51,22.67,25.59
1.300,1.020,637,23.31,27.56,25.43
1.300,1.120,604,28.84,20.67,24.76
1.300,1.220,578,30.33,21.33,25.83
1.300,1.320,554,28.96,23.11,26.03
1.300,1.420,507,38.51,15.56,27.03
