T1,T2,T3,FAR,FRR,EER
0.100,0.020,0,11.18,39.78,25.48
0.100,0.120,43,11.93,40.00,25.97
0.100,0.220,102,17.49,40.22,28.86
0.100,0.320,171,21.29,44.44,32.87
0.100,0.420,214,33.02,37.33,35.18
0.100,0.520,314,14.24,58.22,36.23
0.100,0.620,354,16.24,58.00,37.12
0.100,0.720,408,11.13,64.00,37.57
0.100,0.820,424,15.07,61.56,38.31
0.100,0.920,434,19.22,59.56,39.39
0.100,1.020,487,9.73,68.89,39.31
0.100,1.120,500,10.82,67.33,39.08
0.100,1.220,509,11.73,65.78,38.76
0.100,1.320,512,14.00,63.33,38.67
0.100,1.420,544,9.71,68.22,38.97
0.200,0.020,0,17.13,33.11,25.12
0.200,0.120,64,13.36,34.89,24.12
0.200,0.220,154,18.96,35.56,27.26
0.200,0.320,274,13.04,50.22,31.63
0.200,0.420,357,14.22,52.89,33.56
0.200,0.520,427,13.04,54.89,33.97
0.200,0.620,453,21.07,48.44,34.76
0.200,0.720,495,19.91,49.56,34.73
0.200,0.820,518,22.13,47.78,34.96
0.200,0.920,527,28.11,43.33,35.72
0.200,1.020,527,37.44,34.67,36.06
0.200,1.120,556,31.18,42.67,36.92
0.200,1.220,598,19.76,53.11,36.43
0.200,1.320,602,22.16,49.33,35.74
0.200,1.420,618,20.53,50.89,35.71
0.300,0.020,0,21.87,30.00,25.93
0.300,0.120,84,12.87,34.44,23.66
0.300,0.220,191,21.44,31.11,26.28
0.300,0.320,311,19.58,41.56,30.57
0.300,0.420,399,20.98,43.33,32.16
0.300,0.520,437,32.02,33.78,32.90
0.300,0.620,509,23.16,42.00,32.58
0.300,0.720,541,25.67,38.22,31.94
0.300,0.820,580,21.93,41.33,31.63
0.300,0.920,594,25.93,38.67,32.30
0.300,1.020,618,23.11,40.44,31.78
0.300,1.120,638,21.98,44.00,32.99
0.300,1.220,642,25.24,38.67,31.96
0.300,1.320,642,30.29,33.56,31.92
0.300,1.420,661,26.82,37.78,32.30
0.400,0.020,15,17.38,34.67,26.02
0.400,0.120,107,9.87,36.00,22.93
0.400,0.220,226,20.51,33.78,27.14
0.400,0.320,351,20.51,39.78,30.14
0.400,0.420,466,13.33,48.44,30.89
0.400,0.520,489,28.02,33.78,30.90
0.400,0.620,565,17.89,42.44,30.17
0.400,0.720,595,20.07,38.44,29.26
0.400,0.820,619,21.51,36.22,28.87
0.400,0.920,643,21.31,37.33,29.32
0.400,1.020,655,23.87,33.78,28.82
0.400,1.120,678,20.76,38.22,29.49
0.400,1.220,670,29.07,29.78,29.42
0.400,1.320,702,19.96,38.22,29.09
0.400,1.420,713,20.04,37.11,28.58
0.500,0.020,15,18.56,32.89,25.72
0.500,0.120,113,13.38,31.78,22.58
0.500,0.220,257,19.02,33.78,26.40
0.500,0.320,381,21.64,37.56,29.60
0.500,0.420,474,20.91,39.78,30.34
0.500,0.520,526,25.89,33.78,29.83
0.500,0.620,592,18.82,39.11,28.97
0.500,0.720,621,21.60,36.89,29.24
0.500,0.820,631,29.20,28.22,28.71
0.500,0.920,676,19.69,36.89,28.29
0.500,1.020,685,22.53,32.67,27.60
0.500,1.120,702,21.38,35.78,28.58
0.500,1.220,696,28.42,26.67,27.54
0.500,1.320,713,25.24,28.22,26.73
0.500,1.420,733,21.11,32.67,26.89
0.600,0.020,15,20.07,31.33,25.70
0.600,0.120,125,13.47,31.11,22.29
0.600,0.220,285,18.47,33.78,26.12
0.600,0.320,407,22.00,35.33,28.67
0.600,0.420,495,22.20,35.78,28.99
0.600,0.520,569,19.27,37.56,28.41
0.600,0.620,614,19.67,35.78,27.72
0.600,0.720,629,27.13,25.78,26.46
0.600,0.820,655,27.87,24.44,26.16
0.600,0.920,685,23.78,28.67,26.22
0.600,1.020,717,17.82,33.56,25.69
0.600,1.120,727,19.18,32.89,26.03
0.600,1.220,738,19.33,32.22,25.78
0.600,1.320,731,25.11,25.78,25.44
0.600,1.420,750,21.67,28.44,25.06
0.700,0.020,19,16.40,34.00,25.20
0.700,0.120,148,9.33,35.78,22.56
0.700,0.220,302,19.13,33.56,26.34
0.700,0.320,453,15.18,41.11,28.14
0.700,0.420,507,25.22,31.11,28.17
0.700,0.520,584,20.56,34.22,27.39
0.700,0.620,623,22.91,29.11,26.01
0.700,0.720,654,24.04,27.33,25.69
0.700,0.820,686,22.02,28.89,25.46
0.700,0.920,684,30.60,20.22,25.41
0.700,1.020,718,23.24,26.89,25.07
0.700,1.120,718,28.53,22.00,25.27
0.700,1.220,737,25.16,23.56,24.36
0.700,1.320,734,30.16,18.22,24.19
0.700,1.420,740,30.96,18.00,24.48
0.800,0.020,27,11.98,38.44,25.21
0.800,0.120,151,12.93,31.56,22.24
0.800,0.220,338,13.91,38.00,25.96
0.800,0.320,469,15.67,38.89,27.28
0.800,0.420,543,18.89,34.67,26.78
0.800,0.520,600,20.64,30.89,25.77
0.800,0.620,641,21.51,26.89,24.20
0.800,0.720,682,18.89,30.00,24.44
0.800,0.820,699,21.56,26.22,23.89
0.800,0.920,718,22.16,24.89,23.52
0.800,1.020,748,16.44,29.78,23.11
0.800,1.120,745,22.20,26.22,24.21
0.800,1.220,743,27.02,19.11,23.07
0.800,1.320,740,31.20,13.33,22.27
0.800,1.420,776,20.60,25.33,22.97
0.900,0.020,27,12.78,36.44,24.61
0.900,0.120,162,12.58,32.89,22.73
0.900,0.220,344,17.40,34.44,25.92
0.900,0.320,469,20.73,32.67,26.70
0.900,0.420,565,17.07,36.00,26.53
0.900,0.520,634,14.93,36.00,25.47
0.900,0.620,654,21.20,26.00,23.60
0.900,0.720,696,18.00,28.22,23.11
0.900,0.820,702,24.80,21.11,22.96
0.900,0.920,713,27.80,18.22,23.01
0.900,1.020,749,19.51,25.56,22.53
0.900,1.120,745,25.62,19.78,22.70
0.900,1.220,743,30.64,13.33,21.99
0.900,1.320,766,24.64,19.33,21.99
0.900,1.420,766,27.80,16.00,21.90
1.000,0.020,27,13.33,35.78,24.56
1.000,0.120,178,10.38,34.00,22.19
1.000,0.220,359,17.82,34.00,25.91
1.000,0.320,495,17.16,33.33,25.24
1.000,0.420,584,15.67,34.67,25.17
1.000,0.520,641,16.44,34.44,25.44
1.000,0.620,655,25.04,21.56,23.30
1.000,0.720,695,21.76,24.22,22.99
1.000,0.820,712,24.53,20.00,22.27
1.000,0.920,731,23.82,20.67,22.24
1.000,1.020,741,25.16,18.67,21.91
1.000,1.120,744,28.69,15.11,21.90
1.000,1.220,769,22.73,20.00,21.37
1.000,1.320,769,25.80,17.33,21.57
1.000,1.420,770,28.76,15.56,22.16
1.100,0.020,27,13.93,35.33,24.63
1.100,0.120,175,15.56,30.00,22.78
1.100,0.220,383,14.71,36.44,25.58
1.100,0.320,495,21.62,30.44,26.03
1.100,0.420,591,16.69,34.00,25.34
1.100,0.520,634,21.58,28.22,24.90
1.100,0.620,676,20.76,23.78,22.27
1.100,0.720,712,18.76,24.00,21.38
1.100,0.820,712,27.53,16.22,21.88
1.100,0.920,739,23.87,20.22,22.04
1.100,1.020,741,27.87,15.56,21.71
1.100,1.120,743,31.60,11.11,21.36
1.100,1.220,769,25.07,17.56,21.31
1.100,1.320,766,29.22,14.00,21.61
1.100,1.420,770,30.76,13.78,22.27
1.200,0.020,27,14.80,35.11,24.96
1.200,0.120,199,10.64,35.11,22.88
1.200,0.220,394,15.60,35.78,25.69
1.200,0.320,499,23.82,27.56,25.69
1.200,0.420,591,19.93,29.11,24.52
