T1,T2,T3,FAR,FRR,EER
0.10,0.02,0,11.18,39.78,25.48
0.10,0.02,0,11.36,39.78,25.57
0.10,0.02,0,11.62,39.11,25.37
0.10,0.02,0,11.78,38.89,25.33
0.10,0.02,0,12.18,38.44,25.31
0.10,0.03,0,12.38,38.00,25.19
0.10,0.03,0,12.58,37.78,25.18
0.10,0.03,0,12.98,37.33,25.16
0.10,0.03,0,13.22,37.33,25.28
0.10,0.03,0,13.47,37.11,25.29
0.10,0.03,0,13.82,36.67,25.24
0.10,0.03,0,14.11,35.56,24.83
0.10,0.03,0,14.47,35.11,24.79
0.10,0.03,0,14.82,35.11,24.97
0.10,0.03,0,15.22,34.67,24.94
0.10,0.04,0,15.53,34.00,24.77
0.10,0.04,0,16.04,33.78,24.91
0.10,0.04,0,16.38,33.78,25.08
0.10,0.04,0,16.80,32.89,24.84
0.10,0.04,0,17.07,32.44,24.76
0.10,0.04,0,17.47,32.00,24.73
0.10,0.04,0,17.93,31.11,24.52
0.10,0.04,0,18.38,30.67,24.52
0.10,0.04,0,18.98,30.22,24.60
0.10,0.04,0,19.58,30.00,24.79
0.10,0.05,0,20.07,30.00,25.03
0.10,0.05,0,20.69,29.78,25.23
0.10,0.05,0,20.93,29.56,25.24
0.10,0.05,0,21.44,29.33,25.39
0.10,0.05,0,22.04,29.11,25.58
0.10,0.05,0,22.78,29.11,25.94
0.10,0.05,0,23.36,28.22,25.79
0.10,0.05,0,24.07,28.00,26.03
0.10,0.05,0,24.82,27.78,26.30
0.10,0.05,0,25.33,27.11,26.22
0.10,0.06,0,25.84,27.11,26.48
0.10,0.06,28,7.09,45.78,26.43
0.10,0.06,28,7.40,45.56,26.48
0.10,0.06,28,7.47,45.11,26.29
0.10,0.06,28,7.67,45.11,26.39
0.10,0.06,28,7.91,44.44,26.18
0.10,0.06,28,8.11,44.44,26.28
0.10,0.06,28,8.27,44.00,26.13
0.10,0.06,28,8.67,43.56,26.11
0.10,0.06,28,8.76,43.56,26.16
0.10,0.07,28,8.93,43.11,26.02
0.10,0.07,28,9.42,42.67,26.04
0.10,0.07,28,9.80,42.22,26.01
0.10,0.07,31,8.44,43.56,26.00
0.10,0.07,31,8.58,43.33,25.96
0.10,0.07,31,8.82,41.78,25.30
0.10,0.07,31,9.00,41.56,25.28
0.10,0.07,31,9.18,41.33,25.26
0.10,0.07,31,9.47,40.89,25.18
0.10,0.07,31,9.82,40.89,25.36
0.10,0.08,31,10.16,40.67,25.41
0.10,0.08,31,10.36,40.67,25.51
0.10,0.08,31,10.78,40.67,25.72
0.10,0.08,30,12.07,39.78,25.92
0.10,0.08,30,12.51,39.33,25.92
0.10,0.08,30,12.96,38.67,25.81
0.10,0.08,31,12.58,38.89,25.73
0.10,0.08,31,12.93,38.00,25.47
0.10,0.08,31,13.24,38.00,25.62
0.10,0.08,31,13.76,37.56,25.66
0.10,0.09,31,14.00,36.89,25.44
0.10,0.09,31,14.29,36.89,25.59
0.10,0.09,31,14.67,36.89,25.78
0.10,0.09,31,15.13,36.22,25.68
0.10,0.09,31,15.51,36.22,25.87
0.10,0.09,31,15.96,36.00,25.98
0.10,0.09,34,12.78,39.56,26.17
0.10,0.09,34,13.04,39.33,26.19
0.10,0.09,34,13.29,39.11,26.20
0.10,0.09,34,13.76,38.89,26.32
0.10,0.10,34,14.24,38.44,26.34
0.10,0.10,34,14.47,38.22,26.34
0.10,0.10,34,14.93,38.22,26.58
0.10,0.10,34,15.44,38.22,26.83
0.10,0.10,34,15.93,37.56,26.74
0.10,0.10,34,16.40,37.33,26.87
0.10,0.10,34,16.89,37.11,27.00
0.10,0.10,34,17.36,36.44,26.90
0.10,0.10,34,17.76,35.78,26.77
0.10,0.10,34,18.47,35.56,27.01
0.10,0.11,35,18.09,36.44,27.27
0.10,0.11,35,18.51,35.56,27.03
0.10,0.11,35,19.00,35.33,27.17
0.10,0.11,35,19.51,35.33,27.42
0.10,0.11,37,16.22,39.11,27.67
0.10,0.11,37,16.73,38.44,27.59
0.10,0.11,35,21.07,34.44,27.76
0.10,0.11,37,17.93,37.78,27.86
0.10,0.11,37,18.56,37.33,27.94
0.10,0.11,37,19.09,36.44,27.77
0.10,0.12,37,19.44,35.56,27.50
0.10,0.12,37,20.00,35.56,27.78
0.10,0.12,36,21.62,33.33,27.48
0.10,0.12,36,22.27,32.89,27.58
0.10,0.12,36,22.93,32.67,27.80
0.20,0.02,0,17.13,33.11,25.12
0.20,0.02,0,17.38,33.11,25.24
0.20,0.02,0,17.71,32.44,25.08
0.20,0.02,0,17.98,32.44,25.21
0.20,0.02,0,18.51,32.00,25.26
0.20,0.03,0,18.89,31.56,25.22
0.20,0.03,0,19.29,31.33,25.31
0.20,0.03,0,19.76,30.89,25.32
0.20,0.03,0,20.16,30.89,25.52
0.20,0.03,0,20.58,30.89,25.73
