T1,T2,FAR_T,FAR,FRR_T,FRR,EER
0.00,0.00,0,0.00,0,100.00,50.00
0.00,0.10,0,0.00,0,100.00,50.00
0.00,0.20,0,0.00,0,100.00,50.00
0.00,0.30,0,0.00,0,100.00,50.00
0.00,0.40,0,0.00,0,100.00,50.00
0.00,0.50,0,0.00,0,100.00,50.00
0.00,0.60,0,0.00,0,100.00,50.00
0.00,0.70,0,0.00,0,100.00,50.00
0.00,0.80,0,0.00,0,100.00,50.00
0.00,0.90,0,0.00,0,100.00,50.00
0.10,0.00,0,0.00,0,100.00,50.00
0.10,0.10,0,56.56,62,100.00,78.28
0.10,0.20,0,92.02,62,100.00,96.01
0.10,0.30,0,98.20,62,100.00,99.10
0.10,0.40,0,99.51,62,100.00,99.76
0.10,0.50,0,99.76,62,100.00,99.88
0.10,0.60,0,99.84,64,100.00,99.92
0.10,0.70,0,99.91,68,100.00,99.96
0.10,0.80,0,99.96,72,100.00,99.98
0.10,0.90,0,99.96,71,100.00,99.98
0.20,0.00,0,0.00,0,100.00,50.00
0.20,0.10,0,74.13,65,100.00,87.07
0.20,0.20,0,96.71,65,100.00,98.36
0.20,0.30,0,99.42,65,100.00,99.71
0.20,0.40,0,99.89,68,100.00,99.94
0.20,0.50,0,99.93,69,100.00,99.97
0.20,0.60,0,99.96,73,100.00,99.98
0.20,0.70,0,99.96,79,100.00,99.98
0.20,0.80,0,100.00,82,100.00,100.00
0.20,0.90,0,100.00,82,100.00,100.00
0.30,0.00,0,0.00,0,100.00,50.00
0.30,0.10,0,82.44,71,100.00,91.22
0.30,0.20,0,98.47,71,100.00,99.23
0.30,0.30,0,99.76,71,100.00,99.88
0.30,0.40,0,99.91,74,100.00,99.96
0.30,0.50,0,99.93,77,100.00,99.97
0.30,0.60,0,99.96,79,100.00,99.98
0.30,0.70,0,100.00,84,100.00,100.00
0.30,0.80,0,100.00,84,100.00,100.00
0.30,0.90,0,100.00,87,100.00,100.00
0.40,0.00,0,0.00,0,100.00,50.00
0.40,0.10,0,86.67,71,100.00,93.33
0.40,0.20,0,99.00,74,100.00,99.50
0.40,0.30,0,99.84,74,100.00,99.92
0.40,0.40,0,99.96,77,100.00,99.98
0.40,0.50,0,99.98,81,100.00,99.99
0.40,0.60,0,99.98,84,100.00,99.99
0.40,0.70,0,100.00,86,100.00,100.00
0.40,0.80,0,100.00,87,100.00,100.00
0.40,0.90,0,100.00,91,100.00,100.00
0.50,0.00,0,0.00,0,100.00,50.00
0.50,0.10,0,89.33,77,100.00,94.67
0.50,0.20,0,99.22,80,100.00,99.61
0.50,0.30,0,99.89,80,100.00,99.94
0.50,0.40,0,99.96,80,100.00,99.98
0.50,0.50,0,100.00,83,100.00,100.00
0.50,0.60,0,100.00,86,100.00,100.00
0.50,0.70,0,100.00,88,100.00,100.00
0.50,0.80,0,100.00,91,100.00,100.00
0.50,0.90,0,100.00,94,100.00,100.00
0.60,0.00,0,0.00,0,100.00,50.00
0.60,0.10,0,91.38,77,100.00,95.69
0.60,0.20,0,99.51,80,100.00,99.76
0.60,0.30,0,99.96,80,100.00,99.98
0.60,0.40,0,99.98,80,100.00,99.99
0.60,0.50,0,100.00,86,100.00,100.00
0.60,0.60,0,100.00,90,100.00,100.00
0.60,0.70,0,100.00,93,100.00,100.00
0.60,0.80,0,100.00,96,100.00,100.00
0.60,0.90,0,100.00,97,100.00,100.00
0.70,0.00,0,0.00,0,100.00,50.00
0.70,0.10,0,92.98,77,100.00,96.49
0.70,0.20,0,99.60,80,100.00,99.80
0.70,0.30,0,99.96,80,100.00,99.98
0.70,0.40,0,100.00,82,100.00,100.00
0.70,0.50,0,100.00,88,100.00,100.00
0.70,0.60,0,100.00,90,100.00,100.00
0.70,0.70,0,100.00,94,100.00,100.00
0.70,0.80,0,100.00,96,100.00,100.00
0.70,0.90,0,100.00,97,100.00,100.00
0.80,0.00,0,0.00,0,100.00,50.00
0.80,0.10,0,94.16,77,100.00,97.08
0.80,0.20,0,99.69,80,100.00,99.84
0.80,0.30,0,100.00,80,100.00,100.00
0.80,0.40,0,100.00,83,100.00,100.00
0.80,0.50,0,100.00,91,100.00,100.00
0.80,0.60,0,100.00,92,100.00,100.00
0.80,0.70,0,100.00,94,100.00,100.00
0.80,0.80,0,100.00,96,100.00,100.00
0.80,0.90,0,100.00,98,100.00,100.00
0.90,0.00,0,0.00,0,100.00,50.00
0.90,0.10,0,95.22,77,100.00,97.61
0.90,0.20,0,99.73,80,100.00,99.87
0.90,0.30,0,100.00,80,100.00,100.00
0.90,0.40,0,100.00,84,100.00,100.00
0.90,0.50,0,100.00,93,100.00,100.00
0.90,0.60,0,100.00,94,100.00,100.00
0.90,0.70,0,100.00,94,100.00,100.00
0.90,0.80,0,100.00,96,100.00,100.00
0.90,0.90,0,100.00,98,100.00,100.00
