T1,T2,T3,FAR,FRR,EER
0.100,0.020,0,11.18,39.78,25.48
0.100,0.021,0,11.36,39.78,25.57
0.100,0.022,0,11.62,39.11,25.37
0.100,0.023,0,11.78,38.89,25.33
0.100,0.024,0,12.18,38.44,25.31
0.100,0.025,0,12.38,38.00,25.19
0.100,0.026,0,12.58,37.78,25.18
0.100,0.027,0,12.98,37.33,25.16
0.100,0.028,0,13.22,37.33,25.28
0.100,0.029,0,13.47,37.11,25.29
0.100,0.030,0,13.82,36.67,25.24
0.100,0.031,0,14.11,35.56,24.83
0.100,0.032,0,14.47,35.11,24.79
0.100,0.033,0,14.82,35.11,24.97
0.100,0.034,0,15.22,34.67,24.94
0.100,0.035,0,15.53,34.00,24.77
0.100,0.036,0,16.04,33.78,24.91
0.100,0.037,0,16.38,33.78,25.08
0.100,0.038,0,16.80,32.89,24.84
0.100,0.039,0,17.07,32.44,24.76
0.100,0.040,0,17.47,32.00,24.73
0.100,0.041,0,17.93,31.11,24.52
0.100,0.042,0,18.38,30.67,24.52
0.100,0.043,0,18.98,30.22,24.60
0.100,0.044,0,19.58,30.00,24.79
0.100,0.045,0,20.07,30.00,25.03
0.100,0.046,0,20.69,29.78,25.23
0.100,0.047,0,20.93,29.56,25.24
0.100,0.048,0,21.44,29.33,25.39
0.100,0.049,0,22.04,29.11,25.58
0.100,0.050,0,22.78,29.11,25.94
0.100,0.051,0,23.36,28.22,25.79
0.100,0.052,0,24.07,28.00,26.03
0.100,0.053,0,24.82,27.78,26.30
0.100,0.054,0,25.33,27.11,26.22
0.100,0.055,0,25.84,27.11,26.48
0.100,0.056,28,7.09,45.78,26.43
0.100,0.057,28,7.40,45.56,26.48
0.100,0.058,28,7.47,45.11,26.29
0.100,0.059,28,7.67,45.11,26.39
0.100,0.060,28,7.91,44.44,26.18
0.100,0.061,28,8.11,44.44,26.28
0.100,0.062,28,8.27,44.00,26.13
0.100,0.063,28,8.67,43.56,26.11
0.100,0.064,28,8.76,43.56,26.16
0.100,0.065,28,8.93,43.11,26.02
0.100,0.066,28,9.42,42.67,26.04
0.100,0.067,28,9.80,42.22,26.01
0.100,0.068,31,8.44,43.56,26.00
0.100,0.069,31,8.58,43.33,25.96
0.100,0.070,31,8.82,41.78,25.30
0.100,0.071,31,9.00,41.56,25.28
0.100,0.072,31,9.18,41.33,25.26
0.100,0.073,31,9.47,40.89,25.18
0.100,0.074,31,9.82,40.89,25.36
0.100,0.075,31,10.16,40.67,25.41
0.100,0.076,31,10.36,40.67,25.51
0.100,0.077,31,10.78,40.67,25.72
0.100,0.078,30,12.07,39.78,25.92
0.100,0.079,30,12.51,39.33,25.92
0.100,0.080,30,12.96,38.67,25.81
0.100,0.081,31,12.58,38.89,25.73
0.100,0.082,31,12.93,38.00,25.47
