T1,T2,T3,FAR,FRR,EER
0.100,0.020,8,2.78,52.00,27.39
0.100,0.120,52,13.00,47.56,30.28
0.100,0.220,142,12.18,55.33,33.76
0.100,0.320,224,13.22,58.00,35.61
0.100,0.420,296,11.76,62.22,36.99
0.100,0.520,321,22.38,53.11,37.74
0.100,0.620,366,16.27,58.44,37.36
0.100,0.720,401,11.33,64.67,38.00
0.100,0.820,394,18.67,56.89,37.78
0.100,0.920,413,12.73,63.33,38.03
0.100,1.020,402,17.13,57.11,37.12
0.100,1.120,401,15.07,58.22,36.64
0.100,1.220,386,18.02,55.78,36.90
0.100,1.320,372,19.07,54.89,36.98
0.100,1.420,352,22.44,52.00,37.22
0.200,0.020,7,4.69,48.44,26.57
0.200,0.120,78,15.36,42.89,29.12
0.200,0.220,214,11.44,55.78,33.61
0.200,0.320,317,14.49,55.78,35.13
0.200,0.420,404,11.78,60.44,36.11
0.200,0.520,448,14.02,58.00,36.01
0.200,0.620,480,13.69,58.00,35.84
0.200,0.720,492,16.27,55.11,35.69
0.200,0.820,496,17.73,56.00,36.87
0.200,0.920,490,20.38,51.33,35.86
0.200,1.020,497,14.38,56.44,35.41
0.200,1.120,457,29.64,42.44,36.04
0.200,1.220,459,20.67,50.22,35.44
0.200,1.320,443,20.38,50.44,35.41
0.200,1.420,393,38.56,31.33,34.94
0.300,0.020,0,6.62,46.89,26.76
0.300,0.120,98,16.76,41.78,29.27
0.300,0.220,246,18.71,47.11,32.91
0.300,0.320,367,18.58,49.33,33.96
0.300,0.420,449,18.11,51.56,34.83
0.300,0.520,507,14.80,53.33,34.07
0.300,0.620,525,19.24,48.67,33.96
0.300,0.720,542,18.84,48.89,33.87
0.300,0.820,528,27.31,40.00,33.66
0.300,0.920,535,21.69,44.00,32.84
0.300,1.020,521,24.49,39.11,31.80
0.300,1.120,509,23.82,40.89,32.36
0.300,1.220,452,45.31,18.67,31.99
0.300,1.320,468,26.22,38.00,32.11
0.300,1.420,417,42.00,22.44,32.22
0.400,0.020,8,7.73,45.33,26.53
0.400,0.120,121,14.44,40.22,27.33
0.400,0.220,292,14.82,49.56,32.19
0.400,0.320,410,18.38,48.89,33.63
0.400,0.420,491,18.96,46.67,32.81
0.400,0.520,533,21.11,44.89,33.00
0.400,0.620,555,22.93,40.67,31.80
0.400,0.720,561,26.02,36.89,31.46
0.400,0.820,570,22.20,40.67,31.43
0.400,0.920,563,22.00,37.56,29.78
0.400,1.020,539,29.31,31.11,30.21
0.400,1.120,532,24.44,35.11,29.78
0.400,1.220,499,32.40,27.11,29.76
0.400,1.320,480,31.27,29.78,30.52
0.400,1.420,468,25.00,35.11,30.06
0.500,0.020,8,9.27,43.11,26.19
0.500,0.120,136,15.64,40.44,28.04
0.500,0.220,328,13.53,51.56,32.54
0.500,0.320,453,15.67,49.78,32.72
0.500,0.420,499,30.62,35.11,32.87
0.500,0.520,554,25.69,39.56,32.62
0.500,0.620,573,27.13,35.11,31.12
0.500,0.720,599,19.58,40.67,30.12
0.500,0.820,597,19.82,39.33,29.58
0.500,0.920,589,19.64,38.44,29.04
0.500,1.020,572,21.51,36.89,29.20
0.500,1.120,552,23.38,34.67,29.02
0.500,1.220,508,35.49,21.78,28.63
0.500,1.320,494,31.44,26.67,29.06
0.500,1.420,463,34.60,23.56,29.08
0.600,0.020,7,10.60,42.44,26.52
0.600,0.120,151,16.18,39.78,27.98
0.600,0.220,335,21.16,42.89,32.02
0.600,0.320,474,17.84,46.44,32.14
0.600,0.420,557,16.07,48.22,32.14
0.600,0.520,574,26.22,36.44,31.33
0.600,0.620,601,23.47,37.33,30.40
0.600,0.720,599,27.87,31.56,29.71
0.600,0.820,611,21.13,36.00,28.57
0.600,0.920,576,33.40,23.33,28.37
0.600,1.020,558,35.04,21.33,28.19
0.600,1.120,537,36.56,19.33,27.94
0.600,1.220,536,26.82,29.56,28.19
0.600,1.320,513,26.93,30.00,28.47
0.600,1.420,464,38.22,19.56,28.89
0.700,0.020,13,5.04,47.11,26.08
0.700,0.120,170,14.04,43.11,28.58
0.700,0.220,364,18.53,44.67,31.60
0.700,0.320,486,22.04,40.89,31.47
0.700,0.420,554,25.71,37.56,31.63
0.700,0.520,605,20.56,39.33,29.94
0.700,0.620,629,18.33,40.00,29.17
0.700,0.720,621,24.22,32.22,28.22
0.700,0.820,584,38.87,17.78,28.32
0.700,0.920,609,23.02,31.56,27.29
0.700,1.020,584,27.47,27.11,27.29
0.700,1.120,567,26.62,27.56,27.09
0.700,1.220,510,42.49,11.78,27.13
0.700,1.320,481,43.82,11.56,27.69
0.700,1.420,475,36.38,19.78,28.08
0.800,0.020,13,5.62,46.67,26.14
0.800,0.120,180,16.16,39.78,27.97
0.800,0.220,405,11.29,50.89,31.09
0.800,0.320,512,19.51,41.11,30.31
0.800,0.420,586,19.09,41.78,30.43
0.800,0.520,620,20.49,37.78,29.13
0.800,0.620,634,21.42,35.78,28.60
0.800,0.720,643,19.71,36.00,27.86
0.800,0.820,628,24.02,30.89,27.46
0.800,0.920,622,21.69,30.67,26.18
0.800,1.020,601,23.87,29.33,26.60
0.800,1.120,584,22.80,30.44,26.62
0.800,1.220,542,31.64,20.67,26.16
0.800,1.320,510,35.33,17.78,26.56
0.800,1.420,484,35.27,18.67,26.97
0.900,0.020,13,6.27,45.56,25.91
0.900,0.120,185,20.11,35.78,27.94
0.900,0.220,429,9.56,52.44,31.00
0.900,0.320,529,19.22,40.89,30.06
0.900,0.420,579,27.87,30.89,29.38
0.900,0.520,619,26.20,30.89,28.54
0.900,0.620,655,17.33,37.56,27.44
0.900,0.720,647,21.51,32.67,27.09
0.900,0.820,628,27.56,26.44,27.00
0.900,0.920,627,23.04,28.44,25.74
0.900,1.020,573,39.27,12.44,25.86
0.900,1.120,575,30.04,20.89,25.47
0.900,1.220,546,32.91,18.22,25.57
0.900,1.320,527,30.60,22.44,26.52
0.900,1.420,492,34.53,19.56,27.04
1.000,0.020,13,6.93,44.89,25.91
1.000,0.120,200,18.44,39.56,29.00
1.000,0.220,449,8.69,52.89,30.79
1.000,0.320,547,17.58,42.22,29.90
1.000,0.420,601,23.53,34.44,28.99
1.000,0.520,638,22.27,34.00,28.13
1.000,0.620,660,18.62,35.78,27.20
1.000,0.720,627,33.60,19.56,26.58
1.000,0.820,631,29.62,22.89,26.26
1.000,0.920,614,31.56,19.56,25.56
1.000,1.020,616,23.49,27.56,25.52
1.000,1.120,583,28.87,21.11,24.99
1.000,1.220,553,32.27,18.67,25.47
1.000,1.320,529,32.04,19.56,25.80
1.000,1.420,498,34.24,19.33,26.79
1.100,0.020,13,7.51,44.89,26.20
1.100,0.120,219,15.24,42.44,28.84
1.100,0.220,418,24.51,37.11,30.81
1.100,0.320,542,24.96,34.00,29.48
1.100,0.420,606,26.13,30.67,28.40
1.100,0.520,655,18.93,36.89,27.91
1.100,0.620,670,18.09,36.00,27.04
1.100,0.720,644,29.36,22.44,25.90
1.100,0.820,641,27.93,24.00,25.97
1.100,0.920,609,36.51,14.22,25.37
1.100,1.020,620,23.96,26.44,25.20
1.100,1.120,586,30.29,19.78,25.03
1.100,1.220,570,26.78,23.78,25.28
1.100,1.320,531,33.53,17.56,25.54
1.100,1.420,500,35.56,16.89,26.22
1.200,0.020,13,8.24,44.00,26.12
1.200,0.120,232,14.40,41.56,27.98
1.200,0.220,446,18.04,42.00,30.02
1.200,0.320,565,19.60,38.44,29.02
1.200,0.420,631,20.07,36.00,28.03
1.200,0.520,659,20.58,33.78,27.18
1.200,0.620,672,20.13,32.89,26.51
1.200,0.720,651,29.07,22.44,25.76
1.200,0.820,645,28.60,22.44,25.52
1.200,0.920,618,34.98,15.33,25.16
1.200,1.020,623,25.22,24.89,25.06
1.200,1.120,591,30.09,19.33,24.71
1.200,1.220,573,27.58,22.00,24.79
1.200,1.320,535,33.51,17.56,25.53
1.200,1.420,518,28.91,23.78,26.34
1.300,0.020,13,8.93,43.78,26.36
1.300,0.120,236,17.13,39.11,28.12
1.300,0.220,473,12.98,47.33,30.16
1.300,0.320,576,19.60,38.00,28.80
1.300,0.420,631,23.62,32.00,27.81
1.300,0.520,660,23.27,31.33,27.30
1.300,0.620,677,20.98,31.56,26.27
1.300,0.720,653,31.07,20.89,25.98
1.300,0.820,647,30.22,20.44,25.33
1.300,0.920,642,26.62,23.56,25.09
1.300,1.020,619,29.33,20.22,24.78
1.300,1.120,601,27.64,20.89,24.27
1.300,1.220,573,29.67,20.67,25.17
1.300,1.320,550,28.58,22.44,25.51
1.300,1.420,509,34.80,17.78,26.29
