T1,T2,T3,FAR,FRR,EER
0.100,0.020,7,2.80,52.00,27.40
0.100,0.120,61,5.11,56.22,30.67
0.100,0.220,137,11.53,57.11,34.32
0.100,0.320,219,10.73,62.44,36.59
0.100,0.420,280,12.62,62.67,37.64
0.100,0.520,296,28.24,50.22,39.23
0.100,0.620,341,18.87,57.33,38.10
0.100,0.720,372,14.07,64.00,39.03
0.100,0.820,377,16.31,61.56,38.93
0.100,0.920,389,12.36,66.00,39.18
0.100,1.020,375,18.47,58.67,38.57
0.100,1.120,361,22.60,54.00,38.30
0.100,1.220,349,23.82,52.44,38.13
0.100,1.320,345,18.96,58.00,38.48
0.100,1.420,325,22.20,55.33,38.77
0.200,0.020,8,4.33,48.67,26.50
0.200,0.120,81,10.60,48.22,29.41
0.200,0.220,197,15.16,53.78,34.47
0.200,0.320,298,16.49,55.78,36.13
0.200,0.420,378,14.47,59.56,37.01
0.200,0.520,415,19.18,55.11,37.14
0.200,0.620,452,15.09,58.44,36.77
0.200,0.720,472,13.40,60.44,36.92
0.200,0.820,474,15.49,60.67,38.08
0.200,0.920,470,16.44,58.67,37.56
0.200,1.020,438,29.49,44.00,36.74
0.200,1.120,425,30.69,43.11,36.90
0.200,1.220,408,31.67,41.56,36.61
0.200,1.320,391,31.84,41.11,36.48
0.200,1.420,364,36.13,34.00,35.07
0.300,0.020,9,5.38,48.00,26.69
0.300,0.120,98,13.76,46.44,30.10
0.300,0.220,262,8.29,59.56,33.92
0.300,0.320,346,21.22,49.78,35.50
0.300,0.420,434,15.73,55.56,35.64
0.300,0.520,481,15.09,55.33,35.21
0.300,0.620,488,24.31,46.44,35.38
0.300,0.720,491,29.58,41.11,35.34
0.300,0.820,492,30.13,40.00,35.07
0.300,0.920,492,27.98,41.33,34.66
0.300,1.020,475,31.29,36.00,33.64
0.300,1.120,452,36.07,30.00,33.03
0.300,1.220,431,37.33,26.89,32.11
0.300,1.320,418,33.98,31.78,32.88
0.300,1.420,391,36.36,29.56,32.96
0.400,0.020,8,7.47,45.56,26.51
0.400,0.120,111,17.82,38.00,27.91
0.400,0.220,277,16.82,50.67,33.74
0.400,0.320,401,14.96,53.33,34.14
0.400,0.420,462,21.69,46.89,34.29
0.400,0.520,519,15.44,52.89,34.17
0.400,0.620,514,29.13,37.56,33.34
0.400,0.720,524,29.33,36.89,33.11
0.400,0.820,526,28.62,37.33,32.98
0.400,0.920,521,27.89,37.11,32.50
0.400,1.020,495,34.44,29.33,31.89
0.400,1.120,475,36.27,26.00,31.13
0.400,1.220,454,37.60,24.67,31.13
0.400,1.320,407,47.89,15.33,31.61
0.400,1.420,377,50.18,12.00,31.09
0.500,0.020,7,9.27,43.11,26.19
0.500,0.120,127,17.96,39.33,28.64
0.500,0.220,310,15.44,51.33,33.39
0.500,0.320,425,17.93,49.56,33.74
0.500,0.420,500,18.56,49.33,33.94
0.500,0.520,538,20.18,47.33,33.76
0.500,0.620,540,29.56,36.00,32.78
0.500,0.720,559,23.91,39.33,31.62
0.500,0.820,539,32.49,31.11,31.80
0.500,0.920,510,41.27,20.89,31.08
0.500,1.020,512,34.33,27.11,30.72
0.500,1.120,480,40.49,19.78,30.13
0.500,1.220,463,39.22,19.78,29.50
0.500,1.320,428,43.56,16.22,29.89
0.500,1.420,398,45.31,14.89,30.10
0.600,0.020,0,10.62,42.44,26.53
0.600,0.120,146,15.16,42.44,28.80
0.600,0.220,345,11.16,55.11,33.13
0.600,0.320,461,14.73,50.44,32.59
0.600,0.420,527,17.42,48.89,33.16
0.600,0.520,541,28.91,37.11,33.01
0.600,0.620,572,23.84,39.78,31.81
0.600,0.720,561,30.69,31.78,31.23
0.600,0.820,548,35.24,24.89,30.07
0.600,0.920,531,38.27,20.44,29.36
0.600,1.020,507,41.76,16.67,29.21
0.600,1.120,508,34.87,24.44,29.66
0.600,1.220,447,47.82,11.11,29.47
0.600,1.320,419,48.73,10.00,29.37
0.600,1.420,402,46.38,12.22,29.30
0.700,0.020,11,6.93,45.11,26.02
0.700,0.120,161,15.09,43.33,29.21
0.700,0.220,367,11.60,53.78,32.69
0.700,0.320,479,16.67,48.67,32.67
0.700,0.420,558,13.42,52.00,32.71
0.700,0.520,576,21.27,41.11,31.19
0.700,0.620,593,21.49,39.33,30.41
0.700,0.720,574,30.89,28.44,29.67
0.700,0.820,547,40.20,17.78,28.99
0.700,0.920,544,37.38,18.44,27.91
0.700,1.020,536,34.82,21.56,28.19
0.700,1.120,498,41.71,14.44,28.08
0.700,1.220,465,44.98,12.00,28.49
0.700,1.320,443,44.09,12.22,28.16
0.700,1.420,410,45.82,11.56,28.69
0.800,0.020,11,7.76,44.67,26.21
0.800,0.120,180,12.16,46.00,29.08
0.800,0.220,391,10.02,53.78,31.90
0.800,0.320,492,18.27,44.67,31.47
0.800,0.420,564,17.31,45.56,31.43
0.800,0.520,606,14.84,46.89,30.87
0.800,0.620,570,36.29,24.00,30.14
0.800,0.720,592,28.73,29.78,29.26
0.800,0.820,553,41.67,15.78,28.72
0.800,0.920,549,39.31,16.22,27.77
0.800,1.020,522,43.20,12.67,27.93
0.800,1.120,511,40.31,16.22,28.27
0.800,1.220,480,43.07,12.67,27.87
0.800,1.320,458,41.84,14.00,27.92
0.800,1.420,423,44.24,11.56,27.90
0.900,0.020,11,8.47,44.00,26.23
0.900,0.120,183,16.87,40.44,28.66
0.900,0.220,415,7.91,55.33,31.62
0.900,0.320,508,18.11,44.22,31.17
0.900,0.420,579,17.36,43.33,30.34
0.900,0.520,608,18.89,41.33,30.11
0.900,0.620,568,41.58,18.22,29.90
0.900,0.720,587,34.67,23.33,29.00
0.900,0.820,576,36.96,19.11,28.03
0.900,0.920,541,44.78,10.22,27.50
0.900,1.020,526,44.09,10.22,27.16
0.900,1.120,519,40.71,14.44,27.58
0.900,1.220,488,42.67,12.22,27.44
0.900,1.320,453,45.16,10.44,27.80
0.900,1.420,426,45.44,10.89,28.17
1.000,0.020,11,9.38,43.33,26.36
1.000,0.120,196,15.67,44.00,29.83
1.000,0.220,419,11.38,52.22,31.80
1.000,0.320,519,19.20,43.56,31.38
1.000,0.420,574,24.13,36.67,30.40
1.000,0.520,610,22.91,37.33,30.12
1.000,0.620,600,32.69,24.67,28.68
1.000,0.720,596,34.64,22.44,28.54
1.000,0.820,590,35.49,19.78,27.63
1.000,0.920,563,40.51,14.44,27.48
1.000,1.020,540,42.67,11.78,27.22
1.000,1.120,492,49.69,5.56,27.62
1.000,1.220,509,38.96,15.56,27.26
1.000,1.320,473,42.29,12.67,27.48
1.000,1.420,446,42.11,14.22,28.17
1.100,0.020,14,5.82,47.11,26.47
1.100,0.120,204,17.64,42.00,29.82
1.100,0.220,438,9.64,54.00,31.82
1.100,0.320,516,25.84,35.78,30.81
1.100,0.420,596,19.67,40.00,29.83
1.100,0.520,622,22.09,36.89,29.49
1.100,0.620,604,35.11,22.44,28.78
1.100,0.720,600,36.38,19.56,27.97
1.100,0.820,577,42.16,12.67,27.41
1.100,0.920,558,44.31,9.56,26.93
1.100,1.020,540,44.71,9.56,27.13
1.100,1.120,526,42.91,11.33,27.12
1.100,1.220,509,40.98,12.67,26.82
1.100,1.320,479,42.58,11.78,27.18
1.100,1.420,441,45.22,10.67,27.94
1.200,0.020,13,7.38,45.56,26.47
1.200,0.120,219,15.58,42.44,29.01
1.200,0.220,443,11.91,50.89,31.40
1.200,0.320,539,20.89,40.44,30.67
1.200,0.420,584,28.89,30.44,29.67
1.200,0.520,631,22.29,35.33,28.81
1.200,0.620,644,21.87,34.67,28.27
1.200,0.720,610,35.60,19.33,27.47
1.200,0.820,587,41.13,13.56,27.34
1.200,0.920,574,41.58,13.11,27.34
1.200,1.020,546,45.02,8.67,26.84
1.200,1.120,533,42.89,11.56,27.22
1.200,1.220,534,35.16,18.89,27.02
1.200,1.320,497,39.16,15.78,27.47
1.200,1.420,447,45.53,10.22,27.88
1.300,0.020,15,5.98,46.89,26.43
1.300,0.120,219,20.71,37.33,29.02
1.300,0.220,451,13.51,48.44,30.98
1.300,0.320,566,14.24,46.44,30.34
1.300,0.420,626,15.40,43.78,29.59
1.300,0.520,633,24.93,33.11,29.02
1.300,0.620,634,29.33,26.89,28.11
1.300,0.720,613,37.22,18.22,27.72
1.300,0.820,596,40.82,13.56,27.19
1.300,0.920,593,37.84,16.22,27.03
1.300,1.020,552,45.36,8.44,26.90
1.300,1.120,567,34.16,19.56,26.86
1.300,1.220,526,40.18,13.56,26.87
1.300,1.320,494,41.89,12.89,27.39
1.300,1.420,479,38.22,17.33,27.78
