T1,T2,F1_T,F1,MCC_T,MCC
1.00,1.00,80,17.26,80,4.54
1.00,1.01,80,17.13,80,4.18
1.00,1.02,80,17.06,80,4.00
1.00,1.03,80,16.93,80,3.65
1.00,1.05,80,16.72,80,3.02
1.00,1.04,80,16.80,80,3.26
1.00,1.06,80,16.61,80,2.72
1.00,1.07,80,16.54,80,2.49
1.00,1.08,80,16.45,80,2.23
1.00,1.09,80,16.34,80,1.90
1.00,1.11,0,16.28,80,1.35
1.00,1.10,0,16.28,80,1.65
1.00,1.12,0,16.28,80,1.12
1.00,1.13,0,16.28,80,0.89
1.00,1.14,0,16.28,80,0.59
1.00,1.15,0,16.28,80,0.35
1.00,1.16,0,16.28,0,0.00
1.00,1.17,0,16.28,0,0.00
1.00,1.18,0,16.28,0,0.00
1.00,1.19,0,16.28,0,0.00
1.00,1.20,0,16.28,0,0.00
1.00,1.21,0,16.28,0,0.00
1.00,1.22,0,16.28,0,0.00
1.00,1.23,0,16.28,0,0.00
1.00,1.24,0,16.28,0,0.00
1.00,1.26,0,16.28,0,0.00
1.00,1.25,0,16.28,0,0.00
1.00,1.27,0,16.28,0,0.00
1.00,1.28,0,16.28,0,0.00
1.00,1.29,0,16.28,0,0.00
1.00,1.30,0,16.28,0,0.00
1.00,1.31,0,16.28,0,0.00
1.00,1.32,0,16.28,0,0.00
1.00,1.34,0,16.28,0,0.00
1.00,1.33,0,16.28,0,0.00
1.00,1.36,0,16.28,0,0.00
1.00,1.35,0,16.28,0,0.00
1.00,1.37,0,16.28,0,0.00
1.00,1.38,0,16.28,0,0.00
1.00,1.39,0,16.28,0,0.00
1.00,1.40,0,16.28,0,0.00
1.00,1.41,0,16.28,0,0.00
1.00,1.42,0,16.28,0,0.00
1.00,1.43,0,16.28,0,0.00
1.00,1.44,0,16.28,0,0.00
1.00,1.45,0,16.28,0,0.00
1.00,1.46,0,16.28,0,0.00
1.00,1.47,0,16.28,0,0.00
1.00,1.48,0,16.28,0,0.00
1.00,1.49,0,16.28,0,0.00
1.00,1.50,0,16.28,0,0.00
1.00,1.52,0,16.28,0,0.00
1.00,1.51,0,16.28,0,0.00
1.00,1.54,0,16.28,0,0.00
1.00,1.53,0,16.28,0,0.00
1.00,1.55,0,16.28,0,0.00
1.00,1.56,0,16.28,0,0.00
1.00,1.57,0,16.28,0,0.00
1.00,1.59,0,16.28,0,0.00
1.00,1.58,0,16.28,0,0.00
1.00,1.60,0,16.28,0,0.00
1.00,1.61,0,16.28,0,0.00
1.00,1.62,0,16.28,0,0.00
1.00,1.63,0,16.28,0,0.00
1.00,1.64,0,16.28,0,0.00
1.00,1.65,0,16.28,0,0.00
1.00,1.66,0,16.28,0,0.00
1.00,1.67,0,16.28,0,0.00
1.00,1.68,0,16.28,0,0.00
1.00,1.69,0,16.28,0,0.00
1.00,1.70,0,16.28,0,0.00
1.00,1.71,0,16.28,0,0.00
1.00,1.72,0,16.28,0,0.00
1.00,1.74,0,16.28,0,0.00
1.00,1.73,0,16.28,0,0.00
1.00,1.75,0,16.28,0,0.00
1.00,1.76,0,16.28,0,0.00
1.00,1.77,0,16.28,0,0.00
1.00,1.78,0,16.28,0,0.00
1.00,1.79,0,16.28,0,0.00
1.00,1.80,0,16.28,0,0.00
1.00,1.81,0,16.28,0,0.00
1.00,1.82,0,16.28,0,0.00
1.00,1.84,0,16.28,0,0.00
1.00,1.83,0,16.28,0,0.00
1.00,1.85,0,16.28,0,0.00
1.00,1.86,0,16.28,0,0.00
1.00,1.87,0,16.28,0,0.00
1.00,1.88,0,16.28,0,0.00
1.00,1.89,0,16.28,0,0.00
1.00,1.90,0,16.28,0,0.00
1.00,1.91,0,16.28,0,0.00
1.00,1.92,0,16.28,0,0.00
1.00,1.93,0,16.28,0,0.00
1.00,1.94,0,16.28,0,0.00
1.00,1.96,0,16.28,0,0.00
1.00,1.95,0,16.28,0,0.00
1.00,1.97,0,16.28,0,0.00
1.00,1.98,0,16.28,0,0.00
1.00,1.99,0,16.28,0,0.00
1.01,1.00,80,17.22,80,4.42
1.01,1.01,80,17.08,80,4.04
1.01,1.02,80,17.01,80,3.84
1.01,1.04,80,16.76,80,3.14
1.01,1.03,80,16.88,80,3.49
1.01,1.05,80,16.68,80,2.92
1.01,1.06,80,16.57,80,2.59
1.01,1.07,80,16.50,80,2.39
1.01,1.08,80,16.42,80,2.14
1.01,1.10,0,16.28,80,1.54
1.01,1.09,80,16.31,80,1.81
1.01,1.11,0,16.28,80,1.25
1.01,1.12,0,16.28,80,1.01
1.01,1.14,0,16.28,80,0.50
1.01,1.13,0,16.28,80,0.78
1.01,1.15,0,16.28,80,0.22
1.01,1.16,0,16.28,0,0.00
1.01,1.18,0,16.28,0,0.00
1.01,1.17,0,16.28,0,0.00
1.01,1.19,0,16.28,0,0.00
1.01,1.20,0,16.28,0,0.00
1.01,1.21,0,16.28,0,0.00
1.01,1.22,0,16.28,0,0.00
1.01,1.23,0,16.28,0,0.00
1.01,1.24,0,16.28,0,0.00
1.01,1.26,0,16.28,0,0.00
1.01,1.25,0,16.28,0,0.00
1.01,1.27,0,16.28,0,0.00
1.01,1.28,0,16.28,0,0.00
1.01,1.29,0,16.28,0,0.00
1.01,1.30,0,16.28,0,0.00
1.01,1.31,0,16.28,0,0.00
1.01,1.32,0,16.28,0,0.00
1.01,1.34,0,16.28,0,0.00
1.01,1.33,0,16.28,0,0.00
1.01,1.35,0,16.28,0,0.00
1.01,1.36,0,16.28,0,0.00
1.01,1.37,0,16.28,0,0.00
1.01,1.38,0,16.28,0,0.00
1.01,1.39,0,16.28,0,0.00
1.01,1.40,0,16.28,0,0.00
1.01,1.41,0,16.28,0,0.00
1.01,1.42,0,16.28,0,0.00
1.01,1.43,0,16.28,0,0.00
1.01,1.44,0,16.28,0,0.00
1.01,1.45,0,16.28,0,0.00
1.01,1.47,0,16.28,0,0.00
1.01,1.46,0,16.28,0,0.00
1.01,1.48,0,16.28,0,0.00
1.01,1.49,0,16.28,0,0.00
1.01,1.50,0,16.28,0,0.00
1.01,1.51,0,16.28,0,0.00
1.01,1.52,0,16.28,0,0.00
1.01,1.53,0,16.28,0,0.00
1.01,1.54,0,16.28,0,0.00
1.01,1.55,0,16.28,0,0.00
1.01,1.58,0,16.28,0,0.00
1.01,1.57,0,16.28,0,0.00
1.01,1.56,0,16.28,0,0.00
1.01,1.59,0,16.28,0,0.00
1.01,1.60,0,16.28,0,0.00
1.01,1.61,0,16.28,0,0.00
1.01,1.62,0,16.28,0,0.00
1.01,1.63,0,16.28,0,0.00
1.01,1.64,0,16.28,0,0.00
1.01,1.65,0,16.28,0,0.00
1.01,1.66,0,16.28,0,0.00
1.01,1.67,0,16.28,0,0.00
1.01,1.68,0,16.28,0,0.00
1.01,1.70,0,16.28,0,0.00
1.01,1.69,0,16.28,0,0.00
1.01,1.71,0,16.28,0,0.00
1.01,1.72,0,16.28,0,0.00
1.01,1.73,0,16.28,0,0.00
1.01,1.74,0,16.28,0,0.00
1.01,1.75,0,16.28,0,0.00
1.01,1.76,0,16.28,0,0.00
1.01,1.77,0,16.28,0,0.00
1.01,1.78,0,16.28,0,0.00
1.01,1.79,0,16.28,0,0.00
1.01,1.80,0,16.28,0,0.00
1.01,1.81,0,16.28,0,0.00
1.01,1.82,0,16.28,0,0.00
1.01,1.83,0,16.28,0,0.00
1.01,1.84,0,16.28,0,0.00
1.01,1.85,0,16.28,0,0.00
1.01,1.86,0,16.28,0,0.00
1.01,1.88,0,16.28,0,0.00
1.01,1.87,0,16.28,0,0.00
