T1,T2,F1_T,F1,MCC_T,MCC
1.00,0.00,0,0.00,0,0.00
1.00,0.01,0,20.16,4,12.84
1.00,0.02,0,24.02,2,15.92
1.00,0.03,0,26.53,0,18.42
1.00,0.04,5,28.24,5,22.13
1.00,0.05,5,33.97,5,26.80
1.00,0.06,8,33.52,8,27.49
1.00,0.07,9,35.12,9,28.13
1.00,0.08,12,37.81,13,31.83
1.00,0.09,13,36.63,13,29.95
1.00,0.10,18,34.18,18,27.46
1.00,0.11,19,34.31,19,27.24
1.00,0.12,20,32.25,20,25.12
1.00,0.13,24,31.58,24,24.04
1.00,0.14,26,29.45,30,22.06
1.00,0.15,27,28.88,27,21.42
1.00,0.16,31,28.57,31,20.66
1.00,0.17,33,27.06,29,19.52
1.00,0.18,35,26.07,31,18.90
1.00,0.19,37,24.95,34,16.35
1.01,0.00,0,0.00,0,0.00
1.01,0.01,0,20.13,4,12.84
1.01,0.02,0,24.02,2,15.87
1.01,0.03,0,26.48,0,18.36
1.01,0.04,5,28.12,5,21.96
1.01,0.05,5,33.67,5,26.46
1.01,0.06,8,33.02,8,26.81
1.01,0.07,9,34.76,8,27.71
1.01,0.08,12,37.50,13,31.55
1.01,0.09,13,36.29,15,29.62
1.01,0.10,18,34.01,18,27.24
1.01,0.11,19,34.17,19,27.09
1.01,0.12,21,32.16,20,24.99
1.01,0.13,24,31.73,24,24.22
1.01,0.14,29,29.71,29,22.07
1.01,0.15,28,29.00,27,21.58
1.01,0.16,34,28.57,34,20.56
1.01,0.17,34,26.86,29,19.61
1.01,0.18,33,26.14,31,18.92
1.01,0.19,37,24.70,31,16.32
1.02,0.00,0,0.00,0,0.00
1.02,0.01,0,20.39,4,12.70
1.02,0.02,0,24.19,2,16.18
1.02,0.03,0,26.43,0,18.30
1.02,0.04,5,27.91,5,21.64
1.02,0.05,5,33.43,5,26.18
1.02,0.06,8,32.78,8,26.48
1.02,0.07,8,34.63,8,27.67
1.02,0.08,12,37.79,13,31.78
1.02,0.09,14,36.86,14,30.11
1.02,0.10,18,33.84,18,27.03
1.02,0.11,19,34.20,19,27.14
1.02,0.12,21,32.37,20,25.18
1.02,0.13,24,31.58,21,24.38
1.02,0.14,29,29.65,29,21.97
1.02,0.15,28,29.12,28,21.47
1.02,0.16,31,28.45,31,20.57
1.02,0.17,33,27.14,29,19.46
1.02,0.18,35,26.41,31,18.84
1.02,0.19,36,24.76,36,16.24
1.03,0.00,0,0.00,0,0.00
1.03,0.01,0,20.68,4,12.70
1.03,0.02,0,24.35,2,16.44
1.03,0.03,2,26.62,0,18.43
1.03,0.04,5,27.85,5,21.56
1.03,0.05,5,33.29,5,26.01
1.03,0.06,8,32.97,8,26.64
1.03,0.07,8,34.36,8,27.37
1.03,0.08,12,38.25,13,32.31
1.03,0.09,14,37.01,14,30.29
1.03,0.10,17,33.73,20,26.78
1.03,0.11,20,34.31,20,27.28
1.03,0.12,21,32.54,20,25.50
1.03,0.13,24,31.39,21,24.09
1.03,0.14,29,29.94,29,22.27
1.03,0.15,29,29.23,27,21.73
1.03,0.16,31,28.54,29,21.05
1.03,0.17,34,27.48,33,19.41
1.03,0.18,35,26.50,33,18.76
1.03,0.19,35,24.58,35,16.32
1.04,0.00,0,0.00,0,0.00
1.04,0.01,0,20.68,4,13.12
1.04,0.02,0,24.32,2,16.39
1.04,0.03,2,27.01,2,18.61
1.04,0.04,3,28.09,5,21.40
1.04,0.05,5,33.19,5,25.90
1.04,0.06,8,33.27,8,26.88
1.04,0.07,9,34.24,8,27.12
1.04,0.08,12,38.02,13,31.90
1.04,0.09,14,36.77,14,30.03
1.04,0.10,16,34.00,20,27.28
1.04,0.11,20,34.35,20,27.28
1.04,0.12,21,32.50,20,25.42
1.04,0.13,24,31.17,21,24.09
1.04,0.14,29,29.91,29,22.18
1.04,0.15,30,29.18,27,21.47
1.04,0.16,33,28.82,31,20.84
1.04,0.17,34,27.67,34,19.65
1.04,0.18,35,26.13,33,18.44
1.04,0.19,35,24.31,34,16.21
1.05,0.00,0,0.00,0,0.00
1.05,0.01,0,20.61,4,13.12
1.05,0.02,0,24.23,2,16.33
1.05,0.03,2,26.88,2,18.45
1.05,0.04,3,27.96,5,21.25
1.05,0.05,5,33.33,5,26.06
1.05,0.06,8,32.97,8,26.48
1.05,0.07,8,34.30,8,27.34
1.05,0.08,12,37.72,13,31.46
1.05,0.09,14,36.51,14,29.75
1.05,0.10,16,33.91,20,27.07
1.05,0.11,20,34.04,18,26.96
1.05,0.12,21,32.39,21,25.25
1.05,0.13,26,31.04,21,23.65
1.05,0.14,29,29.94,29,22.20
1.05,0.15,30,29.17,32,21.27
